settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,9.53,1171,23,1
2024-01-01,Abruzzo,Altre job board,RND_IT_CAREERJET_CPC,8.97,965,27,1
2024-01-01,Abruzzo,Altre job board,RND_IT_TALENT_COM_FEED,6.79,661,18,1
2024-01-01,Abruzzo,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,12.37,1068,20,2
2024-01-01,Basilicata,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,4.75,590,12,0
2024-01-01,Basilicata,Altre job board,RND_IT_CAREERJET_CPC,2.69,310,8,0
2024-01-01,Basilicata,Altre job board,RND_IT_TALENT_COM_FEED,2.85,285,7,0
2024-01-01,Basilicata,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.74,576,11,1
2024-01-01,Calabria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,21.62,2657,56,1
2024-01-01,Calabria,Altre job board,RND_IT_CAREERJET_CPC,14.52,1643,43,1
2024-01-01,Calabria,Altre job board,RND_IT_TALENT_COM_FEED,8.27,818,18,1
2024-01-01,Calabria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,14.41,1119,22,1
2024-01-01,Campania,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,60.77,7333,128,5
2024-01-01,Campania,Altre job board,RND_IT_CAREERJET_CPC,29.88,3153,68,4
2024-01-01,Campania,Altre job board,RND_IT_TALENT_COM_FEED,18.79,1894,49,3
2024-01-01,Campania,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,46.10,3890,74,7
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,47.77,6025,111,2
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_CAREERJET_CPC,23.33,2595,65,1
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TALENT_COM_FEED,24.23,2416,56,2
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,53.46,4466,80,4
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,13.92,1769,36,1
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_CAREERJET_CPC,8.18,891,24,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TALENT_COM_FEED,8.47,834,21,1
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.31,879,16,1
2024-01-01,Lazio,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,42.62,5274,104,1
2024-01-01,Lazio,Altre job board,RND_IT_CAREERJET_CPC,32.57,3657,94,2
2024-01-01,Lazio,Altre job board,RND_IT_TALENT_COM_FEED,28.48,2814,70,2
2024-01-01,Lazio,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,51.48,4269,71,4
2024-01-01,Liguria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,17.36,2168,47,1
2024-01-01,Liguria,Altre job board,RND_IT_CAREERJET_CPC,8.19,910,24,1
2024-01-01,Liguria,Altre job board,RND_IT_TALENT_COM_FEED,9.47,1006,23,1
2024-01-01,Liguria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.95,919,17,1
2024-01-01,Lombardia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,118.61,15101,316,4
2024-01-01,Lombardia,Altre job board,RND_IT_CAREERJET_CPC,65.17,7368,203,4
2024-01-01,Lombardia,Altre job board,RND_IT_TALENT_COM_FEED,55.27,5919,150,3
2024-01-01,Lombardia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,53.87,4541,77,4
2024-01-01,Marche,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,16.98,2088,38,1
2024-01-01,Marche,Altre job board,RND_IT_CAREERJET_CPC,12.18,1415,39,1
2024-01-01,Marche,Altre job board,RND_IT_TALENT_COM_FEED,7.24,732,18,1
2024-01-01,Marche,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,12.08,1006,20,1
2024-01-01,Molise,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,2.53,306,5,0
2024-01-01,Molise,Altre job board,RND_IT_CAREERJET_CPC,1.72,188,5,0
2024-01-01,Molise,Altre job board,RND_IT_TALENT_COM_FEED,1.83,184,4,0
2024-01-01,Molise,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,3.06,253,4,0
2024-01-01,Piemonte,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,58.15,7840,158,2
2024-01-01,Piemonte,Altre job board,RND_IT_CAREERJET_CPC,23.52,2623,75,1
2024-01-01,Piemonte,Altre job board,RND_IT_TALENT_COM_FEED,16.95,1679,43,1
