settimana,regione,candidature
2024-01-01,Abruzzo,132
2024-01-01,Basilicata,68
2024-01-01,Calabria,202
2024-01-01,Campania,616
2024-01-01,Emilia-Romagna,377
2024-01-01,Friuli-Venezia Giulia,123
2024-01-01,Lazio,854
2024-01-01,Liguria,108
2024-01-01,Lombardia,1022
2024-01-01,Marche,204
2024-01-01,Molise,28
2024-01-01,Piemonte,419
2024-01-01,Puglia,380
2024-01-01,Sardegna,202
2024-01-01,Sicilia,400
2024-01-01,Toscana,367
2024-01-01,Trentino-Alto Adige,128
2024-01-01,Umbria,86
2024-01-01,Valle d'Aosta,6
2024-01-01,Veneto,538
2024-01-08,Abruzzo,179
2024-01-08,Basilicata,55
2024-01-08,Calabria,184
2024-01-08,Campania,594
2024-01-08,Emilia-Romagna,393
2024-01-08,Friuli-Venezia Giulia,174
2024-01-08,Lazio,914
2024-01-08,Liguria,210
2024-01-08,Lombardia,1330
2024-01-08,Marche,201
2024-01-08,Molise,28
2024-01-08,Piemonte,529
2024-01-08,Puglia,414
2024-01-08,Sardegna,162
2024-01-08,Sicilia,501
2024-01-08,Toscana,372
2024-01-08,Trentino-Alto Adige,112
2024-01-08,Umbria,63
2024-01-08,Valle d'Aosta,14
2024-01-08,Veneto,593
2024-01-15,Abruzzo,169
2024-01-15,Basilicata,99
2024-01-15,Calabria,249
2024-01-15,Campania,844
2024-01-15,Emilia-Romagna,424
2024-01-15,Friuli-Venezia Giulia,145
2024-01-15,Lazio,1078
2024-01-15,Liguria,262
2024-01-15,Lombardia,1371
2024-01-15,Marche,257
2024-01-15,Molise,39
2024-01-15,Piemonte,451
2024-01-15,Puglia,458
2024-01-15,Sardegna,248
2024-01-15,Sicilia,436
2024-01-15,Toscana,421
2024-01-15,Trentino-Alto Adige,143
2024-01-15,Umbria,93
2024-01-15,Valle d'Aosta,14
2024-01-15,Veneto,697
2024-01-22,Abruzzo,144
2024-01-22,Basilicata,63
2024-01-22,Calabria,184
2024-01-22,Campania,772
2024-01-22,Emilia-Romagna,484
2024-01-22,Friuli-Venezia Giulia,129
2024-01-22,Lazio,1023
2024-01-22,Liguria,192
2024-01-22,Lombardia,1203
2024-01-22,Marche,210
2024-01-22,Molise,55
2024-01-22,Piemonte,494
2024-01-22,Puglia,395
2024-01-22,Sardegna,189
2024-01-22,Sicilia,578
2024-01-22,Toscana,411
2024-01-22,Trentino-Alto Adige,133
2024-01-22,Umbria,116
2024-01-22,Valle d'Aosta,13
2024-01-22,Veneto,659
2024-01-29,Abruzzo,130
2024-01-29,Basilicata,94
2024-01-29,Calabria,224
2024-01-29,Campania,722
2024-01-29,Emilia-Romagna,453
2024-01-29,Friuli-Venezia Giulia,145
2024-01-29,Lazio,1158
2024-01-29,Liguria,198
2024-01-29,Lombardia,1405
2024-01-29,Marche,251
2024-01-29,Molise,49
2024-01-29,Piemonte,593
2024-01-29,Puglia,486
2024-01-29,Sardegna,247
2024-01-29,Sicilia,525
2024-01-29,Toscana,384
2024-01-29,Trentino-Alto Adige,131
2024-01-29,Umbria,80
2024-01-29,Valle d'Aosta,8
2024-01-29,Veneto,568
2024-02-05,Abruzzo,189
2024-02-05,Basilicata,57
2024-02-05,Calabria,214
2024-02-05,Campania,701
2024-02-05,Emilia-Romagna,542
2024-02-05,Friuli-Venezia Giulia,113
2024-02-05,Lazio,961
2024-02-05,Liguria,213
2024-02-05,Lombardia,1432
2024-02-05,Marche,194
2024-02-05,Molise,37
2024-02-05,Piemonte,483
2024-02-05,Puglia,326
2024-02-05,Sardegna,249
2024-02-05,Sicilia,499
2024-02-05,Toscana,356
2024-02-05,Trentino-Alto Adige,175
2024-02-05,Umbria,84
2024-02-05,Valle d'Aosta,18
2024-02-05,Veneto,597
2024-02-12,Abruzzo,153
2024-02-12,Basilicata,70
2024-02-12,Calabria,243
2024-02-12,Campania,589
2024-02-12,Emilia-Romagna,476
2024-02-12,Friuli-Venezia Giulia,133
2024-02-12,Lazio,971
2024-02-12,Liguria,224
2024-02-12,Lombardia,1431
2024-02-12,Marche,219
2024-02-12,Molise,40
2024-02-12,Piemonte,531
2024-02-12,Puglia,569
2024-02-12,Sardegna,209
2024-02-12,Sicilia,505
2024-02-12,Toscana,378
2024-02-12,Trentino-Alto Adige,157
2024-02-12,Umbria,84
2024-02-12,Valle d'Aosta,12
2024-02-12,Veneto,563
2024-02-19,Abruzzo,124
2024-02-19,Basilicata,90
2024-02-19,Calabria,206
2024-02-19,Campania,757
2024-02-19,Emilia-Romagna,431
2024-02-19,Friuli-Venezia Giulia,157
2024-02-19,Lazio,886
2024-02-19,Liguria,237
2024-02-19,Lombardia,1170
2024-02-19,Marche,247
2024-02-19,Molise,34
2024-02-19,Piemonte,592
2024-02-19,Puglia,455
2024-02-19,Sardegna,202
2024-02-19,Sicilia,553
2024-02-19,Toscana,432
2024-02-19,Trentino-Alto Adige,139
2024-02-19,Umbria,104
2024-02-19,Valle d'Aosta,14
2024-02-19,Veneto,576
2024-02-26,Abruzzo,174
2024-02-26,Basilicata,83
2024-02-26,Calabria,231
2024-02-26,Campania,675
2024-02-26,Emilia-Romagna,514
2024-02-26,Friuli-Venezia Giulia,131
2024-02-26,Lazio,992
2024-02-26,Liguria,179
2024-02-26,Lombardia,1146
2024-02-26,Marche,290
2024-02-26,Molise,28
2024-02-26,Piemonte,531
2024-02-26,Puglia,482
2024-02-26,Sardegna,182
