settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_DISPLAY,32.57,5404,32,0
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,28.12,938,74,0
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,97.62,1805,92,2
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,37.65,754,35,1
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_DISPLAY,11.47,1880,12,0
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,22.60,762,62,0
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,52.56,932,47,1
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,24.17,497,22,1
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_DISPLAY,56.29,9139,60,1
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,55.23,1817,142,2
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,105.82,1848,97,3
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,48.95,1033,41,2
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_DISPLAY,187.73,31271,171,2
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,146.83,4941,387,5
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,532.81,9390,505,16
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,248.83,4982,219,12
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_DISPLAY,147.86,25685,149,2
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,167.48,5554,432,8
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,243.49,4465,230,9
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,128.10,2626,119,7
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_DISPLAY,40.78,6519,35,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,27.18,863,69,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,80.77,1464,78,3
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,35.13,723,30,2
2024-01-01,Lazio,Google Ads,RND_IT_GOOGLE_DISPLAY,163.40,27192,184,2
2024-01-01,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,132.94,4433,290,6
2024-01-01,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,398.22,6777,331,16
