settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_DISPLAY_RETE,18.23,3166,16,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,13.07,1448,24,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,98.66,4661,181,5
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_DISPLAY_RETE,5.47,894,4,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,6.28,713,14,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,25.07,1142,43,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,21.25,3674,16,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,26.65,2726,45,2
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,146.77,6696,291,10
2024-01-01,Campania,Indeed,AZ_IT_INDEED_DISPLAY_RETE,85.36,14331,66,3
2024-01-01,Campania,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,32.42,3544,65,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,214.24,9240,388,13
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,34.49,5713,29,1
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,51.71,6131,112,3
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,312.62,13951,604,15
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,14.67,2408,14,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.38,1089,22,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,62.49,2996,118,5
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_DISPLAY_RETE,87.76,14521,77,3
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,75.21,7985,149,6
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,252.10,10917,445,16
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,17.31,2873,15,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,13.05,1381,28,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,54.81,2470,107,4
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,146.09,23333,129,5
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,82.34,8736,148,7
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,595.38,26847,1038,44
2024-01-01,Marche,Indeed,AZ_IT_INDEED_DISPLAY_RETE,17.51,2901,14,1
