settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.60,888,25,1
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.39,291,6,0
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.96,415,10,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,4.52,366,12,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,1.35,163,3,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.10,236,6,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,15.06,1299,41,2
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,3.30,399,8,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,9.92,721,23,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,49.26,4078,122,3
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,17.20,2208,43,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,21.82,1598,49,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,50.14,3926,122,6
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,10.67,1365,28,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.05,1078,37,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.69,883,24,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,2.34,293,6,0
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.66,330,9,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,102.89,8735,291,5
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,10.51,1356,29,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,23.15,1574,45,1
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.73,792,24,1
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,3.32,428,8,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.73,354,11,0
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,81.45,6491,195,7
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,23.52,2928,55,2
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,37.32,2698,68,2
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,14.99,1240,37,1
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,4.12,507,10,0
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,8.42,598,17,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.71,150,5,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.66,87,2,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.40,104,3,0
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,32.84,2852,85,3
