settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,26.40,757,6,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,54.12,1977,12,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,11.22,632,2,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,22.28,939,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,16.31,450,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,19.84,689,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,6.21,355,1,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,6.29,245,1,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,32.86,909,7,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,78.35,2756,17,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,23.14,1323,4,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,24.19,1028,4,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,115.38,3410,31,1
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,303.90,10796,65,2
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,66.52,3502,12,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,81.01,3447,13,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,113.03,3371,28,1
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,207.79,7592,46,1
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,37.09,2161,7,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,56.36,2256,12,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,38.66,1143,11,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,48.33,1735,11,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,9.53,513,2,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,23.83,971,4,0
2024-01-01,Lazio,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,118.61,3444,27,1
