settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,27.75,3805,49,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,77.30,8373,103,3
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_PROSPECTING_DABA,43.56,5577,87,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_RETARGETING_SITO,22.67,2576,55,2
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_VIDEO_REELS,31.65,6220,58,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,10.21,1480,19,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,22.11,2520,32,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_PROSPECTING_DABA,23.51,3161,44,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_RETARGETING_SITO,10.36,1201,28,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_VIDEO_REELS,12.63,2678,23,0
2024-01-01,Calabria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,39.79,5585,63,2
2024-01-01,Calabria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,115.20,13151,150,5
2024-01-01,Calabria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,61.60,8165,108,2
2024-01-01,Calabria,Meta Ads,AZ_IT_META_RETARGETING_SITO,42.67,4878,104,4
2024-01-01,Calabria,Meta Ads,AZ_IT_META_VIDEO_REELS,40.12,8304,78,2
2024-01-01,Campania,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,75.40,10726,137,4
2024-01-01,Campania,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,383.72,42296,523,18
2024-01-01,Campania,Meta Ads,AZ_IT_META_PROSPECTING_DABA,258.96,34204,551,11
2024-01-01,Campania,Meta Ads,AZ_IT_META_RETARGETING_SITO,141.32,17566,334,14
2024-01-01,Campania,Meta Ads,AZ_IT_META_VIDEO_REELS,129.77,25721,253,6
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,80.04,12003,170,3
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,261.71,28564,343,11
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_PROSPECTING_DABA,219.19,30310,413,8
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_RETARGETING_SITO,68.39,8226,187,5
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_VIDEO_REELS,61.99,12648,120,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,26.38,3781,48,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,66.10,7346,95,3
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,40.58,5597,74,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_RETARGETING_SITO,33.53,3906,89,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_VIDEO_REELS,31.53,6347,47,1
2024-01-01,Lazio,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,137.31,19464,249,5
2024-01-01,Lazio,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,387.58,43008,497,17
2024-01-01,Lazio,Meta Ads,AZ_IT_META_PROSPECTING_DABA,236.51,30663,417,8
2024-01-01,Lazio,Meta Ads,AZ_IT_META_RETARGETING_SITO,170.96,20974,448,13
2024-01-01,Lazio,Meta Ads,AZ_IT_META_VIDEO_REELS,115.66,24340,217,4
2024-01-01,Liguria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,34.41,4845,64,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,116.36,13172,181,5
2024-01-01,Liguria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,67.83,9164,124,2
2024-01-01,Liguria,Meta Ads,AZ_IT_META_RETARGETING_SITO,37.47,4279,106,3
2024-01-01,Liguria,Meta Ads,AZ_IT_META_VIDEO_REELS,41.99,8365,70,1
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,160.71,23392,280,4
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,365.65,37775,464,11
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,559.65,71119,1084,13
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_RETARGETING_SITO,230.03,26793,567,12
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_VIDEO_REELS,278.03,55981,528,8
2024-01-01,Marche,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,30.92,4301,57,1
2024-01-01,Marche,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,80.43,8740,104,3
2024-01-01,Marche,Meta Ads,AZ_IT_META_PROSPECTING_DABA,60.17,7641,94,2
2024-01-01,Marche,Meta Ads,AZ_IT_META_RETARGETING_SITO,25.40,3065,74,2
2024-01-01,Marche,Meta Ads,AZ_IT_META_VIDEO_REELS,26.72,5217,47,1
2024-01-01,Molise,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,4.01,576,7,0
