settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,3.21,452,5,0
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,15.36,1477,18,1
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,17.91,1367,26,1
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.87,263,3,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,6.56,591,8,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,4.25,340,6,0
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,5.38,798,10,1
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,26.16,2499,36,2
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,13.04,967,16,1
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,25.52,3753,49,2
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,34.19,3017,46,2
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,57.54,4394,75,4
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,21.64,2997,37,2
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,48.11,4585,68,3
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,32.53,2479,44,3
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.74,418,5,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,9.54,915,12,1
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,8.45,646,13,1
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,17.25,2452,34,1
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,53.30,5142,78,4
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,21.71,1637,28,2
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,3.98,558,7,0
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,25.31,2409,36,1
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,7.87,605,10,0
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,30.30,4254,55,2
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,189.84,17478,249,12
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,70.22,5520,97,5
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,5.54,757,10,0
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,19.51,1784,27,2
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,8.48,651,10,1
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,0.95,132,2,0
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,2.27,208,3,0
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,1.78,140,3,0
2024-01-01,Piemonte,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,13.18,1985,25,1
