settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,2.551
2024-01-01,Basilicata,Google Ads,1.578
2024-01-01,Calabria,Google Ads,6.492
2024-01-01,Campania,Google Ads,29.556
2024-01-01,Emilia-Romagna,Google Ads,22.371
2024-01-01,Friuli-Venezia Giulia,Google Ads,6.019
2024-01-01,Lazio,Google Ads,33.506
2024-01-01,Liguria,Google Ads,6.816
2024-01-01,Lombardia,Google Ads,45.648
2024-01-01,Marche,Google Ads,4.91
2024-01-01,Molise,Google Ads,1.757
2024-01-01,Piemonte,Google Ads,16.052
2024-01-01,Puglia,Google Ads,14.912
2024-01-01,Sardegna,Google Ads,6.457
2024-01-01,Sicilia,Google Ads,27.957
2024-01-01,Toscana,Google Ads,14.658
2024-01-01,Trentino-Alto Adige,Google Ads,3.797
2024-01-01,Umbria,Google Ads,4.092
2024-01-01,Valle d'Aosta,Google Ads,0.575
2024-01-01,Veneto,Google Ads,14.32
2024-01-08,Abruzzo,Google Ads,3.085
2024-01-08,Basilicata,Google Ads,1.842
2024-01-08,Calabria,Google Ads,7.974
2024-01-08,Campania,Google Ads,35.62
2024-01-08,Emilia-Romagna,Google Ads,26.743
2024-01-08,Friuli-Venezia Giulia,Google Ads,7.551
2024-01-08,Lazio,Google Ads,39.243
2024-01-08,Liguria,Google Ads,8.211
2024-01-08,Lombardia,Google Ads,52.732
2024-01-08,Marche,Google Ads,6.231
2024-01-08,Molise,Google Ads,2.4
2024-01-08,Piemonte,Google Ads,20.391
2024-01-08,Puglia,Google Ads,17.152
2024-01-08,Sardegna,Google Ads,7.011
2024-01-08,Sicilia,Google Ads,31.659
2024-01-08,Toscana,Google Ads,19.945
2024-01-08,Trentino-Alto Adige,Google Ads,4.017
2024-01-08,Umbria,Google Ads,5.098
2024-01-08,Valle d'Aosta,Google Ads,0.643
2024-01-08,Veneto,Google Ads,18.839
2024-01-15,Abruzzo,Google Ads,3.103
2024-01-15,Basilicata,Google Ads,1.943
2024-01-15,Calabria,Google Ads,9.583
2024-01-15,Campania,Google Ads,34.42
2024-01-15,Emilia-Romagna,Google Ads,26.941
2024-01-15,Friuli-Venezia Giulia,Google Ads,7.476
2024-01-15,Lazio,Google Ads,38.848
2024-01-15,Liguria,Google Ads,8.622
2024-01-15,Lombardia,Google Ads,52.146
2024-01-15,Marche,Google Ads,6.179
2024-01-15,Molise,Google Ads,2.467
2024-01-15,Piemonte,Google Ads,21.129
2024-01-15,Puglia,Google Ads,16.848
2024-01-15,Sardegna,Google Ads,7.385
2024-01-15,Sicilia,Google Ads,34.376
2024-01-15,Toscana,Google Ads,18.437
2024-01-15,Trentino-Alto Adige,Google Ads,4.801
2024-01-15,Umbria,Google Ads,4.876
2024-01-15,Valle d'Aosta,Google Ads,0.714
2024-01-15,Veneto,Google Ads,20.9
2024-01-22,Abruzzo,Google Ads,4.157
2024-01-22,Basilicata,Google Ads,2.145
2024-01-22,Calabria,Google Ads,10.299
2024-01-22,Campania,Google Ads,39.727
2024-01-22,Emilia-Romagna,Google Ads,29.807
2024-01-22,Friuli-Venezia Giulia,Google Ads,9.675
2024-01-22,Lazio,Google Ads,44.748
2024-01-22,Liguria,Google Ads,10.334
2024-01-22,Lombardia,Google Ads,55.147
2024-01-22,Marche,Google Ads,6.342
2024-01-22,Molise,Google Ads,2.914
2024-01-22,Piemonte,Google Ads,23.946
2024-01-22,Puglia,Google Ads,19.843
2024-01-22,Sardegna,Google Ads,8.068
2024-01-22,Sicilia,Google Ads,38.443
2024-01-22,Toscana,Google Ads,23.197
2024-01-22,Trentino-Alto Adige,Google Ads,5.173
2024-01-22,Umbria,Google Ads,5.979
2024-01-22,Valle d'Aosta,Google Ads,0.683
2024-01-22,Veneto,Google Ads,22.934
2024-01-29,Abruzzo,Google Ads,4.053
2024-01-29,Basilicata,Google Ads,2.632
2024-01-29,Calabria,Google Ads,11.537
2024-01-29,Campania,Google Ads,41.488
2024-01-29,Emilia-Romagna,Google Ads,35.24
2024-01-29,Friuli-Venezia Giulia,Google Ads,11.634
2024-01-29,Lazio,Google Ads,54.31
2024-01-29,Liguria,Google Ads,11.571
2024-01-29,Lombardia,Google Ads,54.219
2024-01-29,Marche,Google Ads,7.265
2024-01-29,Molise,Google Ads,3.294
2024-01-29,Piemonte,Google Ads,30.004
2024-01-29,Puglia,Google Ads,22.243
2024-01-29,Sardegna,Google Ads,9.263
2024-01-29,Sicilia,Google Ads,47.48
2024-01-29,Toscana,Google Ads,26.506
2024-01-29,Trentino-Alto Adige,Google Ads,5.55
2024-01-29,Umbria,Google Ads,6.514
2024-01-29,Valle d'Aosta,Google Ads,0.881
2024-01-29,Veneto,Google Ads,25.304
2024-02-05,Abruzzo,Google Ads,3.755
2024-02-05,Basilicata,Google Ads,1.995
2024-02-05,Calabria,Google Ads,9.11
2024-02-05,Campania,Google Ads,34.286
2024-02-05,Emilia-Romagna,Google Ads,28.996
2024-02-05,Friuli-Venezia Giulia,Google Ads,9.518
2024-02-05,Lazio,Google Ads,48.42
2024-02-05,Liguria,Google Ads,11.137
2024-02-05,Lombardia,Google Ads,46.098
2024-02-05,Marche,Google Ads,6.134
2024-02-05,Molise,Google Ads,2.6
2024-02-05,Piemonte,Google Ads,26.202
2024-02-05,Puglia,Google Ads,19.644
2024-02-05,Sardegna,Google Ads,7.84
2024-02-05,Sicilia,Google Ads,44.162
2024-02-05,Toscana,Google Ads,19.797
2024-02-05,Trentino-Alto Adige,Google Ads,5.184
2024-02-05,Umbria,Google Ads,5.802
2024-02-05,Valle d'Aosta,Google Ads,0.72
2024-02-05,Veneto,Google Ads,20.725
2024-02-12,Abruzzo,Google Ads,4.275
2024-02-12,Basilicata,Google Ads,2.533
2024-02-12,Calabria,Google Ads,11.773
2024-02-12,Campania,Google Ads,50.047
2024-02-12,Emilia-Romagna,Google Ads,44.71
2024-02-12,Friuli-Venezia Giulia,Google Ads,13.734
2024-02-12,Lazio,Google Ads,64.881
2024-02-12,Liguria,Google Ads,15.677
2024-02-12,Lombardia,Google Ads,66.679
2024-02-12,Marche,Google Ads,8.939
2024-02-12,Molise,Google Ads,3.409
2024-02-12,Piemonte,Google Ads,33.212
2024-02-12,Puglia,Google Ads,26.077
2024-02-12,Sardegna,Google Ads,10.385
2024-02-12,Sicilia,Google Ads,49.488
2024-02-12,Toscana,Google Ads,25.075
2024-02-12,Trentino-Alto Adige,Google Ads,6.173
2024-02-12,Umbria,Google Ads,7.793
2024-02-12,Valle d'Aosta,Google Ads,1.038
2024-02-12,Veneto,Google Ads,23.986
2024-02-19,Abruzzo,Google Ads,4.244
2024-02-19,Basilicata,Google Ads,2.482
2024-02-19,Calabria,Google Ads,10.93
2024-02-19,Campania,Google Ads,45.545
2024-02-19,Emilia-Romagna,Google Ads,44.066
2024-02-19,Friuli-Venezia Giulia,Google Ads,11.965
2024-02-19,Lazio,Google Ads,62.108
2024-02-19,Liguria,Google Ads,15.141
2024-02-19,Lombardia,Google Ads,65.056
2024-02-19,Marche,Google Ads,9.334
2024-02-19,Molise,Google Ads,3.395
2024-02-19,Piemonte,Google Ads,30.817
2024-02-19,Puglia,Google Ads,29.142
2024-02-19,Sardegna,Google Ads,11.508
2024-02-19,Sicilia,Google Ads,44.781
2024-02-19,Toscana,Google Ads,25.366
2024-02-19,Trentino-Alto Adige,Google Ads,6.97
2024-02-19,Umbria,Google Ads,6.935
2024-02-19,Valle d'Aosta,Google Ads,1.042
2024-02-19,Veneto,Google Ads,23.946
2024-02-26,Abruzzo,Google Ads,4.169
2024-02-26,Basilicata,Google Ads,2.261
2024-02-26,Calabria,Google Ads,10.222
2024-02-26,Campania,Google Ads,41.935
2024-02-26,Emilia-Romagna,Google Ads,36.943
2024-02-26,Friuli-Venezia Giulia,Google Ads,9.843
2024-02-26,Lazio,Google Ads,52.08
2024-02-26,Liguria,Google Ads,12.399
2024-02-26,Lombardia,Google Ads,62.042
2024-02-26,Marche,Google Ads,7.639
