settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,9.88,1213,24,1
2024-01-01,Abruzzo,Altre job board,RND_IT_CAREERJET_CPC,9.29,1000,28,1
2024-01-01,Abruzzo,Altre job board,RND_IT_TALENT_COM_FEED,7.04,685,19,1
2024-01-01,Abruzzo,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,12.81,1106,20,2
2024-01-01,Basilicata,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,4.93,611,13,0
2024-01-01,Basilicata,Altre job board,RND_IT_CAREERJET_CPC,2.79,321,9,0
2024-01-01,Basilicata,Altre job board,RND_IT_TALENT_COM_FEED,2.96,295,8,0
2024-01-01,Basilicata,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.98,597,11,1
2024-01-01,Calabria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,22.40,2752,58,1
2024-01-01,Calabria,Altre job board,RND_IT_CAREERJET_CPC,15.05,1703,45,1
2024-01-01,Calabria,Altre job board,RND_IT_TALENT_COM_FEED,8.57,847,19,1
2024-01-01,Calabria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,14.93,1160,23,1
2024-01-01,Campania,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,62.95,7597,133,5
2024-01-01,Campania,Altre job board,RND_IT_CAREERJET_CPC,30.95,3266,70,4
2024-01-01,Campania,Altre job board,RND_IT_TALENT_COM_FEED,19.46,1962,51,3
2024-01-01,Campania,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,47.76,4030,77,7
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,49.49,6241,115,2
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_CAREERJET_CPC,24.17,2688,67,1
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TALENT_COM_FEED,25.10,2503,58,2
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,55.38,4626,83,4
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,14.42,1832,37,1
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_CAREERJET_CPC,8.48,923,25,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TALENT_COM_FEED,8.77,863,22,1
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.68,910,17,1
2024-01-01,Lazio,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,44.15,5463,107,2
2024-01-01,Lazio,Altre job board,RND_IT_CAREERJET_CPC,33.74,3789,98,2
2024-01-01,Lazio,Altre job board,RND_IT_TALENT_COM_FEED,29.50,2915,73,2
2024-01-01,Lazio,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,53.33,4423,74,4
2024-01-01,Liguria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,17.98,2246,48,1
2024-01-01,Liguria,Altre job board,RND_IT_CAREERJET_CPC,8.49,943,25,1
2024-01-01,Liguria,Altre job board,RND_IT_TALENT_COM_FEED,9.81,1042,24,1
2024-01-01,Liguria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,11.34,952,17,1
2024-01-01,Lombardia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,122.88,15644,328,4
2024-01-01,Lombardia,Altre job board,RND_IT_CAREERJET_CPC,67.51,7633,210,3
2024-01-01,Lombardia,Altre job board,RND_IT_TALENT_COM_FEED,57.25,6131,156,3
2024-01-01,Lombardia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,55.81,4704,80,4
2024-01-01,Marche,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,17.59,2163,40,1
2024-01-01,Marche,Altre job board,RND_IT_CAREERJET_CPC,12.62,1466,41,1
2024-01-01,Marche,Altre job board,RND_IT_TALENT_COM_FEED,7.50,758,19,1
2024-01-01,Marche,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,12.52,1043,20,1
2024-01-01,Molise,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,2.62,317,5,0
2024-01-01,Molise,Altre job board,RND_IT_CAREERJET_CPC,1.79,195,5,0
2024-01-01,Molise,Altre job board,RND_IT_TALENT_COM_FEED,1.90,190,5,0
2024-01-01,Molise,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,3.17,262,5,0
2024-01-01,Piemonte,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,60.25,8122,164,2
2024-01-01,Piemonte,Altre job board,RND_IT_CAREERJET_CPC,24.37,2718,77,1
2024-01-01,Piemonte,Altre job board,RND_IT_TALENT_COM_FEED,17.56,1739,45,1
2024-01-01,Piemonte,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,33.34,2699,50,2
2024-01-01,Puglia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,45.75,5604,111,1
2024-01-01,Puglia,Altre job board,RND_IT_CAREERJET_CPC,34.36,3573,89,2
2024-01-01,Puglia,Altre job board,RND_IT_TALENT_COM_FEED,19.92,1994,50,1
2024-01-01,Puglia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,37.85,3142,55,3
2024-01-01,Sardegna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,12.66,1648,32,1
2024-01-01,Sardegna,Altre job board,RND_IT_CAREERJET_CPC,9.16,988,26,1
2024-01-01,Sardegna,Altre job board,RND_IT_TALENT_COM_FEED,7.70,791,22,1
2024-01-01,Sardegna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,19.69,1561,28,2
2024-01-01,Sicilia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,49.33,6513,121,2
2024-01-01,Sicilia,Altre job board,RND_IT_CAREERJET_CPC,41.45,4593,118,2
2024-01-01,Sicilia,Altre job board,RND_IT_TALENT_COM_FEED,37.89,3895,102,2
2024-01-01,Sicilia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,23.55,2008,40,2
2024-01-01,Toscana,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,36.48,4880,99,2
2024-01-01,Toscana,Altre job board,RND_IT_CAREERJET_CPC,32.45,3488,82,3
2024-01-01,Toscana,Altre job board,RND_IT_TALENT_COM_FEED,20.02,2081,49,2
2024-01-01,Toscana,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,30.74,2563,44,4
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,12.13,1510,31,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_CAREERJET_CPC,5.40,628,16,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_TALENT_COM_FEED,4.87,476,12,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.19,858,16,2
2024-01-01,Umbria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,8.12,1021,21,0
2024-01-01,Umbria,Altre job board,RND_IT_CAREERJET_CPC,3.49,405,10,0
2024-01-01,Umbria,Altre job board,RND_IT_TALENT_COM_FEED,2.65,264,6,0
2024-01-01,Umbria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,5.26,421,8,0
2024-01-01,Valle d'Aosta,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,1.11,137,3,0
2024-01-01,Valle d'Aosta,Altre job board,RND_IT_CAREERJET_CPC,0.85,94,2,0
2024-01-01,Valle d'Aosta,Altre job board,RND_IT_TALENT_COM_FEED,0.78,78,2,0
2024-01-01,Valle d'Aosta,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,1.22,99,2,0
2024-01-01,Veneto,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,60.59,7376,145,2
2024-01-01,Veneto,Altre job board,RND_IT_CAREERJET_CPC,57.89,6574,180,4
2024-01-01,Veneto,Altre job board,RND_IT_TALENT_COM_FEED,19.30,2000,53,1
2024-01-01,Veneto,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,93.45,7514,134,9
2024-01-08,Abruzzo,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,11.33,1437,26,1
2024-01-08,Abruzzo,Altre job board,RND_IT_CAREERJET_CPC,7.28,833,20,1
2024-01-08,Abruzzo,Altre job board,RND_IT_TALENT_COM_FEED,5.17,505,10,1
2024-01-08,Abruzzo,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,11.76,892,16,2
2024-01-08,Basilicata,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,4.81,619,11,0
2024-01-08,Basilicata,Altre job board,RND_IT_CAREERJET_CPC,2.03,229,7,0
2024-01-08,Basilicata,Altre job board,RND_IT_TALENT_COM_FEED,2.57,264,6,0
2024-01-08,Basilicata,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.37,521,11,1
2024-01-08,Calabria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,28.43,3632,78,1
2024-01-08,Calabria,Altre job board,RND_IT_CAREERJET_CPC,10.55,1199,29,1
2024-01-08,Calabria,Altre job board,RND_IT_TALENT_COM_FEED,6.61,641,17,0
2024-01-08,Calabria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,13.65,1065,17,2
2024-01-08,Campania,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,56.93,7244,148,5
2024-01-08,Campania,Altre job board,RND_IT_CAREERJET_CPC,32.49,3616,95,5
2024-01-08,Campania,Altre job board,RND_IT_TALENT_COM_FEED,16.18,1550,39,3
2024-01-08,Campania,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,40.83,3481,60,8
2024-01-08,Emilia-Romagna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,51.46,6518,131,2
2024-01-08,Emilia-Romagna,Altre job board,RND_IT_CAREERJET_CPC,19.85,2163,55,1
2024-01-08,Emilia-Romagna,Altre job board,RND_IT_TALENT_COM_FEED,22.01,2146,50,2
2024-01-08,Emilia-Romagna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,51.71,4350,77,5
2024-01-08,Friuli-Venezia Giulia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,14.14,1804,35,1
2024-01-08,Friuli-Venezia Giulia,Altre job board,RND_IT_CAREERJET_CPC,6.53,734,17,1
2024-01-08,Friuli-Venezia Giulia,Altre job board,RND_IT_TALENT_COM_FEED,7.73,762,18,1
2024-01-08,Friuli-Venezia Giulia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,8.30,739,14,1
2024-01-08,Lazio,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,46.98,6050,127,2
2024-01-08,Lazio,Altre job board,RND_IT_CAREERJET_CPC,25.17,2797,76,2
2024-01-08,Lazio,Altre job board,RND_IT_TALENT_COM_FEED,29.81,3008,73,2
2024-01-08,Lazio,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,48.12,3952,71,5
2024-01-08,Liguria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,17.79,2288,51,1
2024-01-08,Liguria,Altre job board,RND_IT_CAREERJET_CPC,7.62,841,22,1
2024-01-08,Liguria,Altre job board,RND_IT_TALENT_COM_FEED,8.21,797,20,1
2024-01-08,Liguria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.99,917,16,1
2024-01-08,Lombardia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,118.75,14593,282,4
2024-01-08,Lombardia,Altre job board,RND_IT_CAREERJET_CPC,57.06,6465,179,3
2024-01-08,Lombardia,Altre job board,RND_IT_TALENT_COM_FEED,42.66,4227,104,2
2024-01-08,Lombardia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,52.38,4459,92,5
2024-01-08,Marche,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,20.27,2488,51,1
2024-01-08,Marche,Altre job board,RND_IT_CAREERJET_CPC,11.16,1260,29,1
2024-01-08,Marche,Altre job board,RND_IT_TALENT_COM_FEED,6.99,705,18,1
2024-01-08,Marche,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,9.96,819,13,1
2024-01-08,Molise,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,2.78,342,6,0
2024-01-08,Molise,Altre job board,RND_IT_CAREERJET_CPC,1.60,173,4,0
2024-01-08,Molise,Altre job board,RND_IT_TALENT_COM_FEED,1.29,135,3,0
2024-01-08,Molise,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,2.85,244,4,0
2024-01-08,Piemonte,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,56.69,6977,144,2
2024-01-08,Piemonte,Altre job board,RND_IT_CAREERJET_CPC,20.53,2199,56,1
2024-01-08,Piemonte,Altre job board,RND_IT_TALENT_COM_FEED,16.18,1703,43,1
2024-01-08,Piemonte,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,32.09,2721,56,3
2024-01-08,Puglia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,56.18,7024,146,2
2024-01-08,Puglia,Altre job board,RND_IT_CAREERJET_CPC,27.38,2941,83,2
2024-01-08,Puglia,Altre job board,RND_IT_TALENT_COM_FEED,14.99,1422,36,1
2024-01-08,Puglia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,31.44,2707,44,2
2024-01-08,Sardegna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,16.54,2027,39,1
2024-01-08,Sardegna,Altre job board,RND_IT_CAREERJET_CPC,7.94,913,24,1
2024-01-08,Sardegna,Altre job board,RND_IT_TALENT_COM_FEED,6.26,629,14,1
2024-01-08,Sardegna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,17.62,1424,24,2
2024-01-08,Sicilia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,60.75,7425,149,2
2024-01-08,Sicilia,Altre job board,RND_IT_CAREERJET_CPC,35.65,3962,99,2
2024-01-08,Sicilia,Altre job board,RND_IT_TALENT_COM_FEED,28.73,2803,69,2
2024-01-08,Sicilia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,21.80,1791,36,2
2024-01-08,Toscana,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,43.29,5325,108,2
2024-01-08,Toscana,Altre job board,RND_IT_CAREERJET_CPC,30.41,3297,87,2
2024-01-08,Toscana,Altre job board,RND_IT_TALENT_COM_FEED,21.59,2063,54,2
2024-01-08,Toscana,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,34.08,2796,47,4
