settimana,regione,candidature
2024-01-01,Abruzzo,132
2024-01-01,Basilicata,68
2024-01-01,Calabria,203
2024-01-01,Campania,620
2024-01-01,Emilia-Romagna,380
2024-01-01,Friuli-Venezia Giulia,124
2024-01-01,Lazio,858
2024-01-01,Liguria,109
2024-01-01,Lombardia,1027
2024-01-01,Marche,204
2024-01-01,Molise,28
2024-01-01,Piemonte,421
2024-01-01,Puglia,382
2024-01-01,Sardegna,203
2024-01-01,Sicilia,402
2024-01-01,Toscana,369
2024-01-01,Trentino-Alto Adige,129
2024-01-01,Umbria,87
2024-01-01,Valle d'Aosta,6
2024-01-01,Veneto,540
2024-01-08,Abruzzo,179
2024-01-08,Basilicata,55
2024-01-08,Calabria,185
2024-01-08,Campania,596
2024-01-08,Emilia-Romagna,395
2024-01-08,Friuli-Venezia Giulia,174
2024-01-08,Lazio,916
2024-01-08,Liguria,210
2024-01-08,Lombardia,1333
2024-01-08,Marche,202
2024-01-08,Molise,28
2024-01-08,Piemonte,530
2024-01-08,Puglia,415
2024-01-08,Sardegna,162
2024-01-08,Sicilia,503
2024-01-08,Toscana,373
2024-01-08,Trentino-Alto Adige,113
2024-01-08,Umbria,64
2024-01-08,Valle d'Aosta,14
2024-01-08,Veneto,594
2024-01-15,Abruzzo,169
2024-01-15,Basilicata,99
2024-01-15,Calabria,249
2024-01-15,Campania,845
2024-01-15,Emilia-Romagna,425
2024-01-15,Friuli-Venezia Giulia,145
2024-01-15,Lazio,1080
2024-01-15,Liguria,263
2024-01-15,Lombardia,1373
2024-01-15,Marche,257
2024-01-15,Molise,39
2024-01-15,Piemonte,451
2024-01-15,Puglia,459
2024-01-15,Sardegna,248
2024-01-15,Sicilia,437
2024-01-15,Toscana,421
2024-01-15,Trentino-Alto Adige,143
2024-01-15,Umbria,93
2024-01-15,Valle d'Aosta,14
2024-01-15,Veneto,698
2024-01-22,Abruzzo,144
2024-01-22,Basilicata,63
2024-01-22,Calabria,185
2024-01-22,Campania,773
2024-01-22,Emilia-Romagna,485
2024-01-22,Friuli-Venezia Giulia,129
2024-01-22,Lazio,1024
2024-01-22,Liguria,192
2024-01-22,Lombardia,1204
2024-01-22,Marche,210
2024-01-22,Molise,59
2024-01-22,Piemonte,494
2024-01-22,Puglia,396
2024-01-22,Sardegna,189
2024-01-22,Sicilia,578
2024-01-22,Toscana,411
2024-01-22,Trentino-Alto Adige,133
2024-01-22,Umbria,116
2024-01-22,Valle d'Aosta,13
2024-01-22,Veneto,660
2024-01-29,Abruzzo,130
2024-01-29,Basilicata,94
2024-01-29,Calabria,224
2024-01-29,Campania,723
2024-01-29,Emilia-Romagna,453
2024-01-29,Friuli-Venezia Giulia,146
2024-01-29,Lazio,1159
2024-01-29,Liguria,198
2024-01-29,Lombardia,1406
2024-01-29,Marche,251
2024-01-29,Molise,49
2024-01-29,Piemonte,593
2024-01-29,Puglia,487
2024-01-29,Sardegna,248
2024-01-29,Sicilia,526
2024-01-29,Toscana,385
2024-01-29,Trentino-Alto Adige,131
2024-01-29,Umbria,80
2024-01-29,Valle d'Aosta,8
2024-01-29,Veneto,568
2024-02-05,Abruzzo,189
2024-02-05,Basilicata,57
2024-02-05,Calabria,214
2024-02-05,Campania,702
2024-02-05,Emilia-Romagna,543
2024-02-05,Friuli-Venezia Giulia,113
2024-02-05,Lazio,962
2024-02-05,Liguria,214
2024-02-05,Lombardia,1434
2024-02-05,Marche,194
2024-02-05,Molise,37
2024-02-05,Piemonte,484
2024-02-05,Puglia,326
2024-02-05,Sardegna,249
2024-02-05,Sicilia,500
2024-02-05,Toscana,357
2024-02-05,Trentino-Alto Adige,175
2024-02-05,Umbria,84
2024-02-05,Valle d'Aosta,18
2024-02-05,Veneto,597
2024-02-12,Abruzzo,153
2024-02-12,Basilicata,70
2024-02-12,Calabria,243
2024-02-12,Campania,590
2024-02-12,Emilia-Romagna,477
2024-02-12,Friuli-Venezia Giulia,134
2024-02-12,Lazio,972
2024-02-12,Liguria,225
2024-02-12,Lombardia,1432
2024-02-12,Marche,219
2024-02-12,Molise,40
2024-02-12,Piemonte,531
2024-02-12,Puglia,569
2024-02-12,Sardegna,210
2024-02-12,Sicilia,506
2024-02-12,Toscana,378
2024-02-12,Trentino-Alto Adige,157
2024-02-12,Umbria,84
2024-02-12,Valle d'Aosta,12
2024-02-12,Veneto,583
2024-02-19,Abruzzo,137
2024-02-19,Basilicata,80
2024-02-19,Calabria,189
2024-02-19,Campania,833
2024-02-19,Emilia-Romagna,448
2024-02-19,Friuli-Venezia Giulia,165
2024-02-19,Lazio,753
2024-02-19,Liguria,271
2024-02-19,Lombardia,1183
2024-02-19,Marche,234
2024-02-19,Molise,49
2024-02-19,Piemonte,535
2024-02-19,Puglia,466
2024-02-19,Sardegna,233
2024-02-19,Sicilia,515
2024-02-19,Toscana,413
2024-02-19,Trentino-Alto Adige,146
2024-02-19,Umbria,127
2024-02-19,Valle d'Aosta,15
2024-02-19,Veneto,546
2024-02-26,Abruzzo,192
2024-02-26,Basilicata,81
2024-02-26,Calabria,229
2024-02-26,Campania,643
2024-02-26,Emilia-Romagna,504
2024-02-26,Friuli-Venezia Giulia,163
2024-02-26,Lazio,922
2024-02-26,Liguria,190
2024-02-26,Lombardia,1143
2024-02-26,Marche,238
2024-02-26,Molise,22
2024-02-26,Piemonte,556
2024-02-26,Puglia,489
2024-02-26,Sardegna,209
