settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_DISPLAY,34.71,5759,34,0
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,29.97,999,79,0
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,104.03,1924,98,2
2024-01-01,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,40.12,804,37,1
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_DISPLAY,12.22,2003,13,0
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,24.08,812,66,0
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,56.01,994,50,1
2024-01-01,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,25.76,529,24,1
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_DISPLAY,59.99,9739,64,1
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,58.85,1936,151,2
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,112.77,1969,104,3
2024-01-01,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,52.16,1101,44,3
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_DISPLAY,200.06,33324,182,3
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,156.47,5265,413,5
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,567.79,10007,538,19
2024-01-01,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,265.16,5309,233,13
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_DISPLAY,157.56,27371,158,3
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,178.47,5919,460,8
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,259.47,4758,246,10
2024-01-01,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,136.51,2798,127,8
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_DISPLAY,43.46,6947,37,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,28.97,920,73,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,86.08,1560,83,3
2024-01-01,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,37.44,770,32,2
2024-01-01,Lazio,Google Ads,RND_IT_GOOGLE_DISPLAY,174.12,28977,196,2
2024-01-01,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,141.67,4724,309,6
