settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_DISPLAY_RETE,18.36,3188,16,1
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,13.16,1458,25,1
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_SPONSORED_JOBS,99.36,4694,182,6
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_DISPLAY_RETE,5.51,900,4,0
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,6.33,719,14,0
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_SPONSORED_JOBS,25.25,1150,43,1
2024-01-01,Calabria,Indeed,RND_IT_INDEED_DISPLAY_RETE,21.40,3700,16,1
2024-01-01,Calabria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,26.84,2745,45,2
2024-01-01,Calabria,Indeed,RND_IT_INDEED_SPONSORED_JOBS,147.81,6744,293,8
2024-01-01,Campania,Indeed,RND_IT_INDEED_DISPLAY_RETE,85.96,14432,66,3
2024-01-01,Campania,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,32.65,3569,65,2
2024-01-01,Campania,Indeed,RND_IT_INDEED_SPONSORED_JOBS,215.76,9305,391,14
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_DISPLAY_RETE,34.74,5753,29,1
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,52.07,6175,113,2
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_SPONSORED_JOBS,314.84,14050,608,15
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_DISPLAY_RETE,14.77,2425,14,1
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,9.44,1096,22,1
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_SPONSORED_JOBS,62.93,3018,119,5
2024-01-01,Lazio,Indeed,RND_IT_INDEED_DISPLAY_RETE,88.38,14624,78,3
2024-01-01,Lazio,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,75.75,8041,150,6
2024-01-01,Lazio,Indeed,RND_IT_INDEED_SPONSORED_JOBS,253.89,10995,448,19
2024-01-01,Liguria,Indeed,RND_IT_INDEED_DISPLAY_RETE,17.43,2893,15,1
2024-01-01,Liguria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,13.14,1390,28,1
2024-01-01,Liguria,Indeed,RND_IT_INDEED_SPONSORED_JOBS,55.20,2487,107,3
