settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,11.95,1002,28,1
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.69,328,7,0
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,6.72,468,11,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,5.10,413,14,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,1.52,184,4,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.50,266,7,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,16.98,1465,47,2
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,3.72,450,9,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,11.18,813,26,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,55.54,4599,137,4
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,19.39,2489,49,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,24.61,1802,55,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,56.54,4427,137,6
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,12.03,1539,31,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,16.97,1216,41,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,12.05,996,27,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,2.64,330,6,0
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.25,372,10,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,116.02,9849,328,5
