settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,27.54,790,7,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,56.46,2062,12,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,11.71,660,2,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,23.25,980,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,17.02,469,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,20.70,719,4,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,6.48,371,1,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,6.56,256,1,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,34.29,948,7,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,81.74,2876,17,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,24.14,1380,4,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,25.24,1073,4,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,120.37,3558,32,1
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,317.06,11264,68,2
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,69.40,3653,13,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,84.52,3597,13,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,117.93,3517,29,1
