settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,2.74
2024-01-01,Basilicata,Google Ads,1.694
2024-01-01,Calabria,Google Ads,6.968
2024-01-01,Campania,Google Ads,31.64
2024-01-01,Emilia-Romagna,Google Ads,23.963
2024-01-01,Friuli-Venezia Giulia,Google Ads,6.454
2024-01-01,Lazio,Google Ads,35.95
2024-01-01,Liguria,Google Ads,7.344
2024-01-01,Lombardia,Google Ads,48.845
2024-01-01,Marche,Google Ads,5.284
2024-01-01,Molise,Google Ads,1.883
2024-01-01,Piemonte,Google Ads,17.242
2024-01-01,Puglia,Google Ads,15.97
2024-01-01,Sardegna,Google Ads,6.94
2024-01-01,Sicilia,Google Ads,29.995
2024-01-01,Toscana,Google Ads,15.764
2024-01-01,Trentino-Alto Adige,Google Ads,4.072
2024-01-01,Umbria,Google Ads,4.391
2024-01-01,Valle d'Aosta,Google Ads,0.616
2024-01-01,Veneto,Google Ads,15.38
2024-01-08,Abruzzo,Google Ads,3.198
2024-01-08,Basilicata,Google Ads,1.91
2024-01-08,Calabria,Google Ads,8.263
2024-01-08,Campania,Google Ads,36.857
2024-01-08,Emilia-Romagna,Google Ads,27.687
2024-01-08,Friuli-Venezia Giulia,Google Ads,7.817
2024-01-08,Lazio,Google Ads,40.681
2024-01-08,Liguria,Google Ads,8.532
2024-01-08,Lombardia,Google Ads,54.585
2024-01-08,Marche,Google Ads,6.465
2024-01-08,Molise,Google Ads,2.48
2024-01-08,Piemonte,Google Ads,21.132
2024-01-08,Puglia,Google Ads,17.765
2024-01-08,Sardegna,Google Ads,7.283
2024-01-08,Sicilia,Google Ads,32.836
2024-01-08,Toscana,Google Ads,20.667
2024-01-08,Trentino-Alto Adige,Google Ads,4.168
2024-01-08,Umbria,Google Ads,5.28
2024-01-08,Valle d'Aosta,Google Ads,0.665
2024-01-08,Veneto,Google Ads,19.512
2024-01-15,Abruzzo,Google Ads,3.167
2024-01-15,Basilicata,Google Ads,1.981
2024-01-15,Calabria,Google Ads,9.76
2024-01-15,Campania,Google Ads,35.09
2024-01-15,Emilia-Romagna,Google Ads,27.464
