settimana,regione,candidature
2024-01-01,Abruzzo,127
2024-01-01,Basilicata,66
2024-01-01,Calabria,195
2024-01-01,Campania,589
2024-01-01,Emilia-Romagna,361
2024-01-01,Friuli-Venezia Giulia,119
2024-01-01,Lazio,831
2024-01-01,Liguria,104
2024-01-01,Lombardia,987
2024-01-01,Marche,197
2024-01-01,Molise,26
2024-01-01,Piemonte,402
2024-01-01,Puglia,366
2024-01-01,Sardegna,196
2024-01-01,Sicilia,382
2024-01-01,Toscana,352
2024-01-01,Trentino-Alto Adige,123
2024-01-01,Umbria,83
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,502
2024-01-08,Abruzzo,214
2024-01-08,Basilicata,64
2024-01-08,Calabria,177
2024-01-08,Campania,562
2024-01-08,Emilia-Romagna,415
2024-01-08,Friuli-Venezia Giulia,173
2024-01-08,Lazio,848
2024-01-08,Liguria,234
2024-01-08,Lombardia,1291
2024-01-08,Marche,210
2024-01-08,Molise,26
2024-01-08,Piemonte,503
2024-01-08,Puglia,386
2024-01-08,Sardegna,202
2024-01-08,Sicilia,484
2024-01-08,Toscana,311
2024-01-08,Trentino-Alto Adige,95
2024-01-08,Umbria,76
2024-01-08,Valle d'Aosta,13
2024-01-08,Veneto,605
2024-01-15,Abruzzo,157
2024-01-15,Basilicata,98
2024-01-15,Calabria,210
2024-01-15,Campania,777
2024-01-15,Emilia-Romagna,383
2024-01-15,Friuli-Venezia Giulia,131
2024-01-15,Lazio,1025
2024-01-15,Liguria,227
2024-01-15,Lombardia,1324
2024-01-15,Marche,286
2024-01-15,Molise,33
2024-01-15,Piemonte,481
2024-01-15,Puglia,408
2024-01-15,Sardegna,252
2024-01-15,Sicilia,468
2024-01-15,Toscana,401
2024-01-15,Trentino-Alto Adige,161
2024-01-15,Umbria,79
2024-01-15,Valle d'Aosta,13
2024-01-15,Veneto,676
2024-01-22,Abruzzo,168
2024-01-22,Basilicata,69
2024-01-22,Calabria,178
2024-01-22,Campania,717
2024-01-22,Emilia-Romagna,529
2024-01-22,Friuli-Venezia Giulia,158
2024-01-22,Lazio,973
2024-01-22,Liguria,167
2024-01-22,Lombardia,1208
2024-01-22,Marche,243
2024-01-22,Molise,39
2024-01-22,Piemonte,511
2024-01-22,Puglia,378
2024-01-22,Sardegna,191
2024-01-22,Sicilia,553
2024-01-22,Toscana,322
2024-01-22,Trentino-Alto Adige,136
2024-01-22,Umbria,111
2024-01-22,Valle d'Aosta,9
2024-01-22,Veneto,619
2024-01-29,Abruzzo,138
2024-01-29,Basilicata,92
2024-01-29,Calabria,235
2024-01-29,Campania,689
2024-01-29,Emilia-Romagna,496
2024-01-29,Friuli-Venezia Giulia,152
2024-01-29,Lazio,1053
2024-01-29,Liguria,221
2024-01-29,Lombardia,1250
2024-01-29,Marche,255
2024-01-29,Molise,35
2024-01-29,Piemonte,577
2024-01-29,Puglia,466
2024-01-29,Sardegna,227
2024-01-29,Sicilia,521
2024-01-29,Toscana,381
2024-01-29,Trentino-Alto Adige,138
2024-01-29,Umbria,54
2024-01-29,Valle d'Aosta,2
2024-01-29,Veneto,538
2024-02-05,Abruzzo,163
2024-02-05,Basilicata,62
2024-02-05,Calabria,217
2024-02-05,Campania,731
2024-02-05,Emilia-Romagna,560
2024-02-05,Friuli-Venezia Giulia,86
2024-02-05,Lazio,912
2024-02-05,Liguria,221
2024-02-05,Lombardia,1382
2024-02-05,Marche,174
2024-02-05,Molise,38
2024-02-05,Piemonte,482
2024-02-05,Puglia,299
2024-02-05,Sardegna,228
2024-02-05,Sicilia,481
2024-02-05,Toscana,318
2024-02-05,Trentino-Alto Adige,122
2024-02-05,Umbria,101
2024-02-05,Valle d'Aosta,9
2024-02-05,Veneto,566
2024-02-12,Abruzzo,180
2024-02-12,Basilicata,71
2024-02-12,Calabria,264
2024-02-12,Campania,628
2024-02-12,Emilia-Romagna,523
2024-02-12,Friuli-Venezia Giulia,144
2024-02-12,Lazio,851
2024-02-12,Liguria,243
2024-02-12,Lombardia,1487
2024-02-12,Marche,223
2024-02-12,Molise,38
2024-02-12,Piemonte,538
2024-02-12,Puglia,531
2024-02-12,Sardegna,157
2024-02-12,Sicilia,500
2024-02-12,Toscana,375
2024-02-12,Trentino-Alto Adige,133
2024-02-12,Umbria,96
2024-02-12,Valle d'Aosta,11
2024-02-12,Veneto,639
2024-02-19,Abruzzo,156
2024-02-19,Basilicata,64
2024-02-19,Calabria,212
2024-02-19,Campania,820
2024-02-19,Emilia-Romagna,405
2024-02-19,Friuli-Venezia Giulia,159
2024-02-19,Lazio,743
2024-02-19,Liguria,275
2024-02-19,Lombardia,1259
2024-02-19,Marche,251
2024-02-19,Molise,31
2024-02-19,Piemonte,555
2024-02-19,Puglia,484
2024-02-19,Sardegna,173
2024-02-19,Sicilia,526
2024-02-19,Toscana,398
2024-02-19,Trentino-Alto Adige,148
2024-02-19,Umbria,105
2024-02-19,Valle d'Aosta,11
2024-02-19,Veneto,549
2024-02-26,Abruzzo,192
2024-02-26,Basilicata,81
2024-02-26,Calabria,230
2024-02-26,Campania,649
2024-02-26,Emilia-Romagna,511
2024-02-26,Friuli-Venezia Giulia,165
2024-02-26,Lazio,868
2024-02-26,Liguria,193
2024-02-26,Lombardia,1153
2024-02-26,Marche,239
2024-02-26,Molise,19
2024-02-26,Piemonte,561
2024-02-26,Puglia,461
2024-02-26,Sardegna,199
2024-02-26,Sicilia,596
2024-02-26,Toscana,475
2024-02-26,Trentino-Alto Adige,157
2024-02-26,Umbria,116
2024-02-26,Valle d'Aosta,10
2024-02-26,Veneto,608
2024-03-04,Abruzzo,146
2024-03-04,Basilicata,105
2024-03-04,Calabria,206
2024-03-04,Campania,746
2024-03-04,Emilia-Romagna,466
2024-03-04,Friuli-Venezia Giulia,132
2024-03-04,Lazio,1087
2024-03-04,Liguria,210
2024-03-04,Lombardia,1225
2024-03-04,Marche,267
2024-03-04,Molise,43
2024-03-04,Piemonte,410
2024-03-04,Puglia,361
2024-03-04,Sardegna,207
2024-03-04,Sicilia,502
2024-03-04,Toscana,443
2024-03-04,Trentino-Alto Adige,143
2024-03-04,Umbria,95
2024-03-04,Valle d'Aosta,11
2024-03-04,Veneto,623
2024-03-11,Abruzzo,174
2024-03-11,Basilicata,82
2024-03-11,Calabria,237
2024-03-11,Campania,625
2024-03-11,Emilia-Romagna,480
2024-03-11,Friuli-Venezia Giulia,130
2024-03-11,Lazio,1100
2024-03-11,Liguria,245
2024-03-11,Lombardia,1298
2024-03-11,Marche,233
2024-03-11,Molise,31
2024-03-11,Piemonte,423
2024-03-11,Puglia,518
2024-03-11,Sardegna,221
2024-03-11,Sicilia,516
2024-03-11,Toscana,358
2024-03-11,Trentino-Alto Adige,176
2024-03-11,Umbria,101
2024-03-11,Valle d'Aosta,25
2024-03-11,Veneto,606
2024-03-18,Abruzzo,146
2024-03-18,Basilicata,62
2024-03-18,Calabria,267
2024-03-18,Campania,695
2024-03-18,Emilia-Romagna,515
2024-03-18,Friuli-Venezia Giulia,139
2024-03-18,Lazio,1015
2024-03-18,Liguria,288
2024-03-18,Lombardia,1210
2024-03-18,Marche,210
2024-03-18,Molise,29
2024-03-18,Piemonte,518
2024-03-18,Puglia,464
2024-03-18,Sardegna,200
2024-03-18,Sicilia,491
2024-03-18,Toscana,407
2024-03-18,Trentino-Alto Adige,132
2024-03-18,Umbria,141
2024-03-18,Valle d'Aosta,10
2024-03-18,Veneto,650
2024-03-25,Abruzzo,197
2024-03-25,Basilicata,76
2024-03-25,Calabria,222
2024-03-25,Campania,681
2024-03-25,Emilia-Romagna,461
2024-03-25,Friuli-Venezia Giulia,167
2024-03-25,Lazio,943
2024-03-25,Liguria,231
2024-03-25,Lombardia,1405
2024-03-25,Marche,240
2024-03-25,Molise,31
2024-03-25,Piemonte,564
2024-03-25,Puglia,586
2024-03-25,Sardegna,182
2024-03-25,Sicilia,494
2024-03-25,Toscana,487
2024-03-25,Trentino-Alto Adige,154
2024-03-25,Umbria,79
2024-03-25,Valle d'Aosta,8
2024-03-25,Veneto,659
2024-04-01,Abruzzo,173
2024-04-01,Basilicata,64
2024-04-01,Calabria,234
2024-04-01,Campania,610
2024-04-01,Emilia-Romagna,567
2024-04-01,Friuli-Venezia Giulia,136
2024-04-01,Lazio,976
2024-04-01,Liguria,223
2024-04-01,Lombardia,1311
2024-04-01,Marche,310
2024-04-01,Molise,41
2024-04-01,Piemonte,467
2024-04-01,Puglia,498
2024-04-01,Sardegna,232
2024-04-01,Sicilia,538
2024-04-01,Toscana,405
2024-04-01,Trentino-Alto Adige,187
2024-04-01,Umbria,124
2024-04-01,Valle d'Aosta,8
2024-04-01,Veneto,632
2024-04-08,Abruzzo,117
2024-04-08,Basilicata,68
2024-04-08,Calabria,233
2024-04-08,Campania,619
2024-04-08,Emilia-Romagna,520
2024-04-08,Friuli-Venezia Giulia,175
2024-04-08,Lazio,1073
2024-04-08,Liguria,283
2024-04-08,Lombardia,1113
2024-04-08,Marche,288
2024-04-08,Molise,34
2024-04-08,Piemonte,523
2024-04-08,Puglia,449
2024-04-08,Sardegna,220
2024-04-08,Sicilia,547
2024-04-08,Toscana,433
2024-04-08,Trentino-Alto Adige,126
2024-04-08,Umbria,105
2024-04-08,Valle d'Aosta,16
2024-04-08,Veneto,687
2024-04-15,Abruzzo,181
2024-04-15,Basilicata,98
2024-04-15,Calabria,219
