settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,7.34,615,17,1
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,1.65,201,4,0
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.13,287,7,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.13,253,9,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,0.93,113,2,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.15,163,4,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.43,900,29,1
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,2.28,276,5,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,6.87,499,16,0
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,34.11,2824,84,3
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,11.91,1529,30,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.11,1106,34,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,34.73,2719,84,4
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,7.39,945,19,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,10.42,747,25,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,7.40,612,17,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,1.62,203,4,0
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.23,228,6,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,71.26,6049,201,4
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,7.28,939,20,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,16.03,1090,31,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,6.74,548,17,1
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,2.30,296,5,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.27,245,7,0
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,56.41,4496,135,6
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,16.29,2028,38,2
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,25.85,1868,47,1
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.38,858,26,1
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,2.85,351,7,0
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.83,414,12,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.18,104,3,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.46,60,1,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.97,72,2,0
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,22.74,1975,59,3
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_RETARGETING,4.46,554,9,1
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,16.64,1198,31,1
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,14.29,1237,41,2
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_RETARGETING,4.68,590,11,1
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,12.88,886,23,1
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.59,738,23,1
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_RETARGETING,2.81,352,6,0
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.40,172,5,0
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,20.46,1696,49,2
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_RETARGETING,7.56,954,21,1
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,16.49,1161,31,1
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,21.74,1782,53,1
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_RETARGETING,6.88,874,17,0
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,18.46,1302,37,1
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.78,905,29,1
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_RETARGETING,1.20,143,3,0
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.16,162,5,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.85,328,11,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_RETARGETING,0.98,119,3,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.80,130,4,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,0.98,79,2,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_RETARGETING,0.23,29,1,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.35,26,1,0
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,22.84,1891,57,2
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_RETARGETING,8.59,1055,21,1
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,19.65,1456,38,1
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,6.86,596,16,1
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.56,318,7,0
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.51,402,12,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,2.85,243,7,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,1.01,120,3,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.14,230,7,0
2024-01-08,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.37,890,25,1
2024-01-08,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,2.61,325,7,0
2024-01-08,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,6.37,464,12,0
2024-01-08,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,27.69,2136,58,2
2024-01-08,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,14.29,1806,33,1
2024-01-08,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,18.27,1312,41,1
2024-01-08,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,32.23,2707,89,3
2024-01-08,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,8.44,1060,20,1
2024-01-08,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,12.28,882,23,1
2024-01-08,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,7.64,639,21,1
2024-01-08,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,2.19,276,5,0
2024-01-08,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.48,313,10,0
2024-01-08,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,81.22,6525,185,4
2024-01-08,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,10.57,1328,25,1
2024-01-08,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,18.33,1298,38,1
2024-01-08,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,6.94,585,18,1
2024-01-08,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,2.80,350,7,0
2024-01-08,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.95,286,8,0
2024-01-08,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,65.05,5622,167,6
2024-01-08,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,23.59,2968,54,3
2024-01-08,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,33.11,2384,76,2
2024-01-08,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,11.26,930,28,1
2024-01-08,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,3.84,464,10,0
2024-01-08,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,8.39,588,15,0
2024-01-08,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.15,97,3,0
2024-01-08,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.60,79,2,0
2024-01-08,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.35,96,3,0
2024-01-08,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,29.02,2388,73,3
2024-01-08,Piemonte,Jooble,RND_IT_JOOBLE_RETARGETING,7.03,851,15,1
2024-01-08,Piemonte,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,23.32,1650,42,1
2024-01-08,Puglia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,16.63,1401,42,2
2024-01-08,Puglia,Jooble,RND_IT_JOOBLE_RETARGETING,6.86,852,21,1
2024-01-08,Puglia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.96,1182,33,1
2024-01-08,Sardegna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.80,691,24,1
2024-01-08,Sardegna,Jooble,RND_IT_JOOBLE_RETARGETING,3.86,482,10,0
2024-01-08,Sardegna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.26,233,6,0
2024-01-08,Sicilia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,25.54,2077,62,2
2024-01-08,Sicilia,Jooble,RND_IT_JOOBLE_RETARGETING,9.18,1163,25,1
2024-01-08,Sicilia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,24.19,1706,45,1
2024-01-08,Toscana,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,22.88,1863,55,2
2024-01-08,Toscana,Jooble,RND_IT_JOOBLE_RETARGETING,9.87,1271,28,1
2024-01-08,Toscana,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,24.60,1702,49,1
2024-01-08,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,12.16,1006,26,1
2024-01-08,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_RETARGETING,1.86,240,5,0
2024-01-08,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.65,183,5,0
2024-01-08,Umbria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.68,297,10,0
2024-01-08,Umbria,Jooble,RND_IT_JOOBLE_RETARGETING,1.36,174,3,0
2024-01-08,Umbria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.26,155,4,0
2024-01-08,Valle d'Aosta,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,0.97,82,2,0
2024-01-08,Valle d'Aosta,Jooble,RND_IT_JOOBLE_RETARGETING,0.27,32,1,0
2024-01-08,Valle d'Aosta,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.46,34,1,0
2024-01-08,Veneto,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,23.82,2059,67,2
2024-01-08,Veneto,Jooble,RND_IT_JOOBLE_RETARGETING,11.01,1376,30,1
2024-01-08,Veneto,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,21.20,1463,38,1
2024-01-15,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.22,779,22,1
2024-01-15,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.38,293,6,0
2024-01-15,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.07,351,10,0
2024-01-15,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,4.01,337,10,0
2024-01-15,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,1.21,157,3,0
2024-01-15,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.83,189,6,0
2024-01-15,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,11.90,996,31,1
2024-01-15,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,2.43,309,7,0
2024-01-15,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,7.21,505,14,0
2024-01-15,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,42.13,3638,127,3
2024-01-15,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,15.96,2067,39,1
2024-01-15,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,19.31,1309,40,1
2024-01-15,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,40.81,3278,92,5
2024-01-15,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,10.12,1273,25,1
2024-01-15,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,11.35,772,25,1
2024-01-15,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.87,769,26,1
2024-01-15,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,2.37,299,6,0
2024-01-15,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.18,305,9,0
2024-01-15,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,80.80,6476,185,4
2024-01-15,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,10.90,1418,33,1
2024-01-15,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,21.86,1561,45,1
2024-01-15,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.86,725,22,1
2024-01-15,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,2.46,297,7,0
2024-01-15,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.13,290,8,0
2024-01-15,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,66.30,5550,154,7
2024-01-15,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,18.86,2382,45,2
2024-01-15,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,35.23,2585,67,2
2024-01-15,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,15.32,1307,40,1
2024-01-15,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,3.70,480,10,0
2024-01-15,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,8.29,587,17,0
2024-01-15,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.52,126,4,0
2024-01-15,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.55,68,1,0
2024-01-15,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.27,87,2,0
2024-01-15,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,33.93,2759,88,4
2024-01-15,Piemonte,Jooble,RND_IT_JOOBLE_RETARGETING,6.75,837,16,1
2024-01-15,Piemonte,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,25.73,1880,56,1
2024-01-15,Puglia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,22.18,1842,58,3
2024-01-15,Puglia,Jooble,RND_IT_JOOBLE_RETARGETING,6.24,777,17,1
2024-01-15,Puglia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.67,1142,30,1
2024-01-15,Sardegna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.69,916,27,1
2024-01-15,Sardegna,Jooble,RND_IT_JOOBLE_RETARGETING,3.80,461,8,0
2024-01-15,Sardegna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.87,269,8,0
2024-01-15,Sicilia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,28.16,2332,68,2
2024-01-15,Sicilia,Jooble,RND_IT_JOOBLE_RETARGETING,7.41,914,21,1
2024-01-15,Sicilia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,22.61,1586,43,1
2024-01-15,Toscana,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,25.89,2122,68,2
2024-01-15,Toscana,Jooble,RND_IT_JOOBLE_RETARGETING,9.58,1171,21,1
2024-01-15,Toscana,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,23.85,1677,44,1
2024-01-15,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,14.35,1232,41,1
2024-01-15,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_RETARGETING,1.69,208,4,0
2024-01-15,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.12,234,7,0
2024-01-15,Umbria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,4.71,416,11,0
2024-01-15,Umbria,Jooble,RND_IT_JOOBLE_RETARGETING,1.41,167,4,0
2024-01-15,Umbria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.26,159,4,0
2024-01-15,Valle d'Aosta,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.07,90,3,0
2024-01-15,Valle d'Aosta,Jooble,RND_IT_JOOBLE_RETARGETING,0.24,31,1,0
2024-01-15,Valle d'Aosta,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.53,38,1,0
2024-01-15,Veneto,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,28.91,2350,68,3
2024-01-15,Veneto,Jooble,RND_IT_JOOBLE_RETARGETING,11.04,1392,27,1
2024-01-15,Veneto,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,25.20,1758,52,1
2024-01-22,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,7.88,641,20,1
2024-01-22,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.71,332,7,0
2024-01-22,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.85,269,7,0
2024-01-22,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.31,289,8,0
2024-01-22,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,1.19,149,3,0
2024-01-22,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.45,177,5,0
2024-01-22,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.44,804,24,1
2024-01-22,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,2.21,266,6,0
2024-01-22,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,6.09,452,13,0
2024-01-22,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,36.75,3101,100,3
2024-01-22,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,14.49,1855,37,1
2024-01-22,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,16.31,1135,32,1
2024-01-22,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,36.18,3061,81,4
2024-01-22,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,9.63,1225,25,1
2024-01-22,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,9.32,617,17,1
2024-01-22,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.94,736,21,1
2024-01-22,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,2.32,300,6,0
2024-01-22,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.58,256,7,0
2024-01-22,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,55.02,4697,141,3
2024-01-22,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,9.99,1234,24,1
2024-01-22,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,20.89,1373,37,1
2024-01-22,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,7.10,611,17,1
2024-01-22,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,2.55,333,7,0
2024-01-22,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.67,260,7,0
2024-01-22,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,57.21,4794,148,6
2024-01-22,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,17.88,2275,45,2
2024-01-22,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,29.50,2105,62,2
2024-01-22,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,10.96,902,25,1
2024-01-22,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,3.33,437,8,0
2024-01-22,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,6.13,418,12,0
2024-01-22,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,1.09,90,3,0
2024-01-22,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.58,74,1,0
2024-01-22,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.82,59,2,0
2024-01-22,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,27.18,2262,68,4
2024-01-22,Piemonte,Jooble,RND_IT_JOOBLE_RETARGETING,6.34,770,16,1
2024-01-22,Piemonte,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,19.05,1353,38,1
2024-01-22,Puglia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,19.63,1685,48,3
2024-01-22,Puglia,Jooble,RND_IT_JOOBLE_RETARGETING,5.15,651,13,1
2024-01-22,Puglia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.56,1050,33,1
2024-01-22,Sardegna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.23,790,22,1
2024-01-22,Sardegna,Jooble,RND_IT_JOOBLE_RETARGETING,3.54,464,9,0
2024-01-22,Sardegna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.27,227,6,0
2024-01-22,Sicilia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,25.20,2117,65,3
2024-01-22,Sicilia,Jooble,RND_IT_JOOBLE_RETARGETING,7.81,953,21,1
2024-01-22,Sicilia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,17.77,1266,36,1
2024-01-22,Toscana,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,18.84,1588,54,1
2024-01-22,Toscana,Jooble,RND_IT_JOOBLE_RETARGETING,7.08,887,16,1
2024-01-22,Toscana,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,22.42,1644,54,1
2024-01-22,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.68,725,23,1
2024-01-22,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_RETARGETING,1.66,206,4,0
2024-01-22,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.76,193,6,0
2024-01-22,Umbria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.90,300,9,0
2024-01-22,Umbria,Jooble,RND_IT_JOOBLE_RETARGETING,1.36,167,3,0
2024-01-22,Umbria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.83,129,4,0
2024-01-22,Valle d'Aosta,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,0.75,62,2,0
2024-01-22,Valle d'Aosta,Jooble,RND_IT_JOOBLE_RETARGETING,0.20,25,0,0
2024-01-22,Valle d'Aosta,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.42,29,1,0
2024-01-22,Veneto,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,27.26,2259,68,3
2024-01-22,Veneto,Jooble,RND_IT_JOOBLE_RETARGETING,11.30,1435,30,1
2024-01-22,Veneto,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,21.82,1566,45,1
2024-01-29,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,5.58,467,13,1
2024-01-29,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,1.78,220,4,0
2024-01-29,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.73,265,9,0
