settimana,indice_stagionale
2024-01-01,0.8319
2024-01-08,0.929
2024-01-15,0.9615
2024-01-22,0.9646
2024-01-29,0.9629
2024-02-05,0.9616
2024-02-12,0.9609
2024-02-19,0.9606
2024-02-26,0.9606
2024-03-04,0.9608
2024-03-11,0.9613
2024-03-18,0.9622
2024-03-25,0.9637
2024-04-01,0.9661
2024-04-08,0.9699
2024-04-15,0.9755
2024-04-22,0.9835
2024-04-29,0.9942
2024-05-06,1.008
2024-05-13,1.0247
2024-05-20,1.0439
2024-05-27,1.0644
2024-06-03,1.085
2024-06-10,1.1036
2024-06-17,1.1183
2024-06-24,1.1265
2024-07-01,1.1253
2024-07-08,1.1114
2024-07-15,1.0825
2024-07-22,1.0386
2024-07-29,0.9844
2024-08-05,0.9311
2024-08-12,0.8989
2024-08-19,0.9036
2024-08-26,0.9366
2024-09-02,0.9723
2024-09-09,0.9961
2024-09-16,1.0115
2024-09-23,1.0262
2024-09-30,1.0439
2024-10-07,1.0642
2024-10-14,1.0848
2024-10-21,1.1026
2024-10-28,1.1146
2024-11-04,1.1188
2024-11-11,1.1142
2024-11-18,1.1009
2024-11-25,1.0749
2024-12-02,1.0136
2024-12-09,0.884
2024-12-16,0.7387
2024-12-23,0.7211
2024-12-30,0.8319
2025-01-06,0.929
2025-01-13,0.9615
2025-01-20,0.9646
2025-01-27,0.9629
2025-02-03,0.9616
2025-02-10,0.9609
2025-02-17,0.9606
2025-02-24,0.9606
2025-03-03,0.9608
2025-03-10,0.9613
2025-03-17,0.9622
2025-03-24,0.9637
2025-03-31,0.9661
2025-04-07,0.9699
2025-04-14,0.9755
2025-04-21,0.9835
2025-04-28,0.9942
2025-05-05,1.008
2025-05-12,1.0247
2025-05-19,1.0439
2025-05-26,1.0644
2025-06-02,1.085
2025-06-09,1.1036
2025-06-16,1.1183
2025-06-23,1.1265
2025-06-30,1.1253
2025-07-07,1.1114
2025-07-14,1.0825
2025-07-21,1.0386
2025-07-28,0.9844
2025-08-04,0.9311
2025-08-11,0.8989
2025-08-18,0.9036
2025-08-25,0.9366
2025-09-01,0.9723
2025-09-08,0.9961
2025-09-15,1.0115
2025-09-22,1.0262
2025-09-29,1.0439
2025-10-06,1.0642
2025-10-13,1.0848
2025-10-20,1.1026
2025-10-27,1.1146
2025-11-03,1.1188
2025-11-10,1.1142
2025-11-17,1.1009
2025-11-24,1.0749
2025-12-01,1.0136
2025-12-08,0.884
2025-12-15,0.7387
2025-12-22,0.7211
