settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.40,338,4,0
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,11.49,1106,14,1
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,13.41,1023,20,1
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.40,197,2,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,4.91,443,6,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,3.18,255,4,0
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.03,597,8,0
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,19.58,1870,27,2
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,9.76,724,12,1
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,19.10,2809,37,1
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,25.59,2258,34,1
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,43.07,3289,56,3
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,16.20,2244,28,1
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,36.01,3432,51,2
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,24.35,1856,33,2
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.05,313,4,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,7.14,685,9,1
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,6.32,484,10,1
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,12.91,1835,25,1
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,39.89,3849,58,3
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,16.25,1225,21,2
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.98,418,5,0
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,18.95,1803,27,1
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,5.89,453,8,0
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,22.68,3184,41,2
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,142.10,13083,187,8
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,52.56,4132,72,4
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.14,566,7,0
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,14.60,1335,20,1
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,6.35,487,7,1
