settimana,regione,candidature_organiche_vere,candidature_organiche_osservate
2024-01-01,Abruzzo,115.4,129
2024-01-01,Basilicata,51.1,67
2024-01-01,Calabria,146.6,154
2024-01-01,Campania,428.0,316
2024-01-01,Emilia-Romagna,318.8,327
2024-01-01,Friuli-Venezia Giulia,92.7,95
2024-01-01,Lazio,675.5,601
2024-01-01,Liguria,129.2,93
2024-01-01,Lombardia,895.6,883
2024-01-01,Marche,167.9,114
2024-01-01,Molise,19.6,19
2024-01-01,Piemonte,338.3,337
2024-01-01,Puglia,303.4,494
2024-01-01,Sardegna,150.9,188
2024-01-01,Sicilia,337.1,403
2024-01-01,Toscana,268.7,297
2024-01-01,Trentino-Alto Adige,103.2,99
2024-01-01,Umbria,74.5,70
2024-01-01,Valle d'Aosta,5.7,5
2024-01-01,Veneto,404.9,477
2024-01-08,Abruzzo,151.1,200
2024-01-08,Basilicata,63.8,60
2024-01-08,Calabria,171.0,168
2024-01-08,Campania,519.8,601
2024-01-08,Emilia-Romagna,361.4,484
2024-01-08,Friuli-Venezia Giulia,123.5,168
2024-01-08,Lazio,825.3,1282
2024-01-08,Liguria,194.6,225
2024-01-08,Lombardia,1000.4,1171
2024-01-08,Marche,202.2,261
2024-01-08,Molise,20.2,18
2024-01-08,Piemonte,371.0,439
2024-01-08,Puglia,364.9,376
2024-01-08,Sardegna,168.1,203
2024-01-08,Sicilia,380.6,379
2024-01-08,Toscana,271.3,276
2024-01-08,Trentino-Alto Adige,104.0,92
2024-01-08,Umbria,86.8,111
2024-01-08,Valle d'Aosta,11.8,14
2024-01-08,Veneto,479.4,554
2024-01-15,Abruzzo,140.6,121
2024-01-15,Basilicata,68.2,69
2024-01-15,Calabria,181.3,234
2024-01-15,Campania,549.6,761
2024-01-15,Emilia-Romagna,391.7,472
2024-01-15,Friuli-Venezia Giulia,124.6,115
2024-01-15,Lazio,876.5,1047
2024-01-15,Liguria,191.0,237
2024-01-15,Lombardia,1134.5,1029
2024-01-15,Marche,207.1,205
2024-01-15,Molise,36.1,41
2024-01-15,Piemonte,419.7,538
2024-01-15,Puglia,366.2,378
2024-01-15,Sardegna,187.9,139
2024-01-15,Sicilia,403.4,384
2024-01-15,Toscana,328.4,397
2024-01-15,Trentino-Alto Adige,112.2,108
2024-01-15,Umbria,81.2,75
2024-01-15,Valle d'Aosta,11.2,10
2024-01-15,Veneto,507.0,466
2024-01-22,Abruzzo,122.4,116
2024-01-22,Basilicata,60.5,66
2024-01-22,Calabria,158.7,120
2024-01-22,Campania,566.2,428
2024-01-22,Emilia-Romagna,390.0,289
2024-01-22,Friuli-Venezia Giulia,109.2,117
2024-01-22,Lazio,836.7,834
2024-01-22,Liguria,192.0,162
2024-01-22,Lombardia,1038.9,1310
2024-01-22,Marche,211.3,265
2024-01-22,Molise,30.4,36
2024-01-22,Piemonte,389.5,406
2024-01-22,Puglia,376.9,270
2024-01-22,Sardegna,176.6,211
2024-01-22,Sicilia,425.2,498
2024-01-22,Toscana,334.4,309
2024-01-22,Trentino-Alto Adige,114.3,94
2024-01-22,Umbria,90.5,109
2024-01-22,Valle d'Aosta,9.3,9
2024-01-22,Veneto,487.9,704
2024-01-29,Abruzzo,146.5,120
2024-01-29,Basilicata,85.1,81
2024-01-29,Calabria,175.7,170
2024-01-29,Campania,547.0,529
2024-01-29,Emilia-Romagna,391.1,374
2024-01-29,Friuli-Venezia Giulia,125.3,119
2024-01-29,Lazio,848.3,747
2024-01-29,Liguria,169.2,96
2024-01-29,Lombardia,1115.1,1138
2024-01-29,Marche,208.7,227
2024-01-29,Molise,31.4,34
2024-01-29,Piemonte,392.3,324
2024-01-29,Puglia,390.2,455
2024-01-29,Sardegna,172.2,263
2024-01-29,Sicilia,445.1,584
2024-01-29,Toscana,345.5,275
2024-01-29,Trentino-Alto Adige,102.6,96
2024-01-29,Umbria,69.3,61
2024-01-29,Valle d'Aosta,5.9,7
2024-01-29,Veneto,496.9,503
2024-02-05,Abruzzo,144.0,145
2024-02-05,Basilicata,74.6,99
2024-02-05,Calabria,196.8,238
2024-02-05,Campania,580.5,577
2024-02-05,Emilia-Romagna,378.9,503
2024-02-05,Friuli-Venezia Giulia,88.4,72
2024-02-05,Lazio,830.7,1049
2024-02-05,Liguria,184.8,149
2024-02-05,Lombardia,1093.6,1571
2024-02-05,Marche,180.1,201
2024-02-05,Molise,29.4,28
2024-02-05,Piemonte,401.5,387
2024-02-05,Puglia,369.5,319
2024-02-05,Sardegna,197.6,186
2024-02-05,Sicilia,414.6,449
2024-02-05,Toscana,312.9,292
2024-02-05,Trentino-Alto Adige,97.0,113
2024-02-05,Umbria,77.0,77
2024-02-05,Valle d'Aosta,9.5,8
2024-02-05,Veneto,510.8,548
2024-02-12,Abruzzo,132.9,115
2024-02-12,Basilicata,65.6,57
2024-02-12,Calabria,190.6,135
2024-02-12,Campania,532.3,581
2024-02-12,Emilia-Romagna,393.4,269
2024-02-12,Friuli-Venezia Giulia,103.7,153
2024-02-12,Lazio,847.9,832
2024-02-12,Liguria,190.6,226
2024-02-12,Lombardia,1116.1,1502
2024-02-12,Marche,204.9,191
2024-02-12,Molise,23.4,25
2024-02-12,Piemonte,386.7,289
2024-02-12,Puglia,394.3,385
2024-02-12,Sardegna,168.9,239
2024-02-12,Sicilia,408.4,372
2024-02-12,Toscana,342.4,323
2024-02-12,Trentino-Alto Adige,122.6,139
2024-02-12,Umbria,73.2,54
2024-02-12,Valle d'Aosta,6.3,6
2024-02-12,Veneto,503.4,498
2024-02-19,Abruzzo,122.7,167
2024-02-19,Basilicata,71.9,74
2024-02-19,Calabria,181.7,259
2024-02-19,Campania,555.4,530
