settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,2.079
2024-01-01,Basilicata,Google Ads,1.289
2024-01-01,Calabria,Google Ads,5.301
2024-01-01,Campania,Google Ads,24.301
2024-01-01,Emilia-Romagna,Google Ads,18.361
2024-01-01,Friuli-Venezia Giulia,Google Ads,4.927
2024-01-01,Lazio,Google Ads,27.382
2024-01-01,Liguria,Google Ads,5.508
2024-01-01,Lombardia,Google Ads,37.573
2024-01-01,Marche,Google Ads,3.98
2024-01-01,Molise,Google Ads,1.441
2024-01-01,Piemonte,Google Ads,13.076
2024-01-01,Puglia,Google Ads,12.245
2024-01-01,Sardegna,Google Ads,5.253
2024-01-01,Sicilia,Google Ads,22.848
2024-01-01,Toscana,Google Ads,11.901
2024-01-01,Trentino-Alto Adige,Google Ads,3.108
2024-01-01,Umbria,Google Ads,3.344
2024-01-01,Valle d'Aosta,Google Ads,0.472
2024-01-01,Veneto,Google Ads,11.671
2024-01-08,Abruzzo,Google Ads,3.706
2024-01-08,Basilicata,Google Ads,2.212
2024-01-08,Calabria,Google Ads,9.53
2024-01-08,Campania,Google Ads,42.401
2024-01-08,Emilia-Romagna,Google Ads,31.839
2024-01-08,Friuli-Venezia Giulia,Google Ads,9.016
2024-01-08,Lazio,Google Ads,3.767
2024-01-08,Liguria,Google Ads,9.96
2024-01-08,Lombardia,Google Ads,62.377
2024-01-08,Marche,Google Ads,7.537
2024-01-08,Molise,Google Ads,0.201
2024-01-08,Piemonte,Google Ads,24.458
2024-01-08,Puglia,Google Ads,1.715
2024-01-08,Sardegna,Google Ads,0.711
2024-01-08,Sicilia,Google Ads,37.983
2024-01-08,Toscana,Google Ads,1.6
2024-01-08,Trentino-Alto Adige,Google Ads,0.43
2024-01-08,Umbria,Google Ads,6.103
2024-01-08,Valle d'Aosta,Google Ads,0.766
2024-01-08,Veneto,Google Ads,22.739
2024-01-15,Abruzzo,Google Ads,4.005
2024-01-15,Basilicata,Google Ads,2.505
2024-01-15,Calabria,Google Ads,12.169
2024-01-15,Campania,Google Ads,43.875
2024-01-15,Emilia-Romagna,Google Ads,34.332
2024-01-15,Friuli-Venezia Giulia,Google Ads,9.536
2024-01-15,Lazio,Google Ads,0.472
2024-01-15,Liguria,Google Ads,11.329
2024-01-15,Lombardia,Google Ads,66.234
2024-01-15,Marche,Google Ads,8.035
2024-01-15,Molise,Google Ads,0.025
2024-01-15,Piemonte,Google Ads,27.161
2024-01-15,Puglia,Google Ads,0.215
2024-01-15,Sardegna,Google Ads,0.089
2024-01-15,Sicilia,Google Ads,44.166
2024-01-15,Toscana,Google Ads,0.2
2024-01-15,Trentino-Alto Adige,Google Ads,0.054
2024-01-15,Umbria,Google Ads,6.266
2024-01-15,Valle d'Aosta,Google Ads,0.909
2024-01-15,Veneto,Google Ads,26.795
2024-01-22,Abruzzo,Google Ads,5.409
2024-01-22,Basilicata,Google Ads,2.812
2024-01-22,Calabria,Google Ads,13.34
2024-01-22,Campania,Google Ads,51.472
2024-01-22,Emilia-Romagna,Google Ads,38.706
2024-01-22,Friuli-Venezia Giulia,Google Ads,12.454
2024-01-22,Lazio,Google Ads,0.058
2024-01-22,Liguria,Google Ads,13.845
2024-01-22,Lombardia,Google Ads,71.748
2024-01-22,Marche,Google Ads,8.472
2024-01-22,Molise,Google Ads,0.003
2024-01-22,Piemonte,Google Ads,31.459
2024-01-22,Puglia,Google Ads,0.027
2024-01-22,Sardegna,Google Ads,0.011
2024-01-22,Sicilia,Google Ads,50.412
2024-01-22,Toscana,Google Ads,0.025
2024-01-22,Trentino-Alto Adige,Google Ads,0.007
2024-01-22,Umbria,Google Ads,7.783
2024-01-22,Valle d'Aosta,Google Ads,0.896
2024-01-22,Veneto,Google Ads,29.968
2024-01-29,Abruzzo,Google Ads,5.358
2024-01-29,Basilicata,Google Ads,3.439
2024-01-29,Calabria,Google Ads,15.028
2024-01-29,Campania,Google Ads,54.278
2024-01-29,Emilia-Romagna,Google Ads,45.707
2024-01-29,Friuli-Venezia Giulia,Google Ads,14.914
2024-01-29,Lazio,Google Ads,0.007
2024-01-29,Liguria,Google Ads,15.603
2024-01-29,Lombardia,Google Ads,71.683
2024-01-29,Marche,Google Ads,9.777
2024-01-29,Molise,Google Ads,0.0
2024-01-29,Piemonte,Google Ads,39.23
2024-01-29,Puglia,Google Ads,0.003
2024-01-29,Sardegna,Google Ads,0.001
2024-01-29,Sicilia,Google Ads,62.064
2024-01-29,Toscana,Google Ads,0.003
2024-01-29,Trentino-Alto Adige,Google Ads,0.001
2024-01-29,Umbria,Google Ads,8.546
2024-01-29,Valle d'Aosta,Google Ads,1.148
2024-01-29,Veneto,Google Ads,33.301
2024-02-05,Abruzzo,Google Ads,4.995
2024-02-05,Basilicata,Google Ads,2.666
2024-02-05,Calabria,Google Ads,12.112
2024-02-05,Campania,Google Ads,45.575
2024-02-05,Emilia-Romagna,Google Ads,38.301
2024-02-05,Friuli-Venezia Giulia,Google Ads,12.487
2024-02-05,Lazio,Google Ads,0.001
2024-02-05,Liguria,Google Ads,15.091
2024-02-05,Lombardia,Google Ads,61.76
2024-02-05,Marche,Google Ads,8.335
2024-02-05,Molise,Google Ads,0.0
2024-02-05,Piemonte,Google Ads,34.689
2024-02-05,Puglia,Google Ads,0.0
2024-02-05,Sardegna,Google Ads,0.0
2024-02-05,Sicilia,Google Ads,58.17
2024-02-05,Toscana,Google Ads,0.0
2024-02-05,Trentino-Alto Adige,Google Ads,0.0
2024-02-05,Umbria,Google Ads,7.689
2024-02-05,Valle d'Aosta,Google Ads,0.954
2024-02-05,Veneto,Google Ads,27.721
2024-02-12,Abruzzo,Google Ads,5.625
2024-02-12,Basilicata,Google Ads,3.324
2024-02-12,Calabria,Google Ads,15.296
2024-02-12,Campania,Google Ads,64.18
2024-02-12,Emilia-Romagna,Google Ads,56.585
2024-02-12,Friuli-Venezia Giulia,Google Ads,17.294
2024-02-12,Lazio,Google Ads,0.0
2024-02-12,Liguria,Google Ads,20.673
2024-02-12,Lombardia,Google Ads,86.552
2024-02-12,Marche,Google Ads,11.818
2024-02-12,Molise,Google Ads,0.0
2024-02-12,Piemonte,Google Ads,42.958
2024-02-12,Puglia,Google Ads,0.0
2024-02-12,Sardegna,Google Ads,0.0
2024-02-12,Sicilia,Google Ads,64.395
2024-02-12,Toscana,Google Ads,0.0
2024-02-12,Trentino-Alto Adige,Google Ads,0.0
2024-02-12,Umbria,Google Ads,10.023
2024-02-12,Valle d'Aosta,Google Ads,1.332
2024-02-12,Veneto,Google Ads,31.573
2024-02-19,Abruzzo,Google Ads,5.679
2024-02-19,Basilicata,Google Ads,3.298
2024-02-19,Calabria,Google Ads,14.477
2024-02-19,Campania,Google Ads,59.783
2024-02-19,Emilia-Romagna,Google Ads,56.59
2024-02-19,Friuli-Venezia Giulia,Google Ads,15.498
2024-02-19,Lazio,Google Ads,0.0
2024-02-19,Liguria,Google Ads,20.273
2024-02-19,Lombardia,Google Ads,85.663
2024-02-19,Marche,Google Ads,12.486
2024-02-19,Molise,Google Ads,0.0
2024-02-19,Piemonte,Google Ads,40.679
2024-02-19,Puglia,Google Ads,0.0
2024-02-19,Sardegna,Google Ads,0.0
2024-02-19,Sicilia,Google Ads,59.532
2024-02-19,Toscana,Google Ads,0.0
2024-02-19,Trentino-Alto Adige,Google Ads,0.0
2024-02-19,Umbria,Google Ads,9.132
2024-02-19,Valle d'Aosta,Google Ads,1.352
2024-02-19,Veneto,Google Ads,31.966
2024-02-26,Abruzzo,Google Ads,5.493
2024-02-26,Basilicata,Google Ads,2.998
2024-02-26,Calabria,Google Ads,13.425
2024-02-26,Campania,Google Ads,54.701
2024-02-26,Emilia-Romagna,Google Ads,47.619
2024-02-26,Friuli-Venezia Giulia,Google Ads,12.809
2024-02-26,Lazio,Google Ads,0.0
2024-02-26,Liguria,Google Ads,16.645
2024-02-26,Lombardia,Google Ads,80.881
2024-02-26,Marche,Google Ads,10.232
2024-02-26,Molise,Google Ads,0.0
2024-02-26,Piemonte,Google Ads,34.6
2024-02-26,Puglia,Google Ads,0.0
2024-02-26,Sardegna,Google Ads,0.0
2024-02-26,Sicilia,Google Ads,55.27
2024-02-26,Toscana,Google Ads,0.0
2024-02-26,Trentino-Alto Adige,Google Ads,0.0
2024-02-26,Umbria,Google Ads,8.271
2024-02-26,Valle d'Aosta,Google Ads,1.181
2024-02-26,Veneto,Google Ads,27.76
2024-03-04,Abruzzo,Google Ads,3.468
2024-03-04,Basilicata,Google Ads,1.665
2024-03-04,Calabria,Google Ads,8.151
2024-03-04,Campania,Google Ads,32.218
2024-03-04,Emilia-Romagna,Google Ads,29.247
2024-03-04,Friuli-Venezia Giulia,Google Ads,8.596
2024-03-04,Lazio,Google Ads,25.174
2024-03-04,Liguria,Google Ads,9.798
2024-03-04,Lombardia,Google Ads,57.216
2024-03-04,Marche,Google Ads,6.028
2024-03-04,Molise,Google Ads,1.826
2024-03-04,Piemonte,Google Ads,19.161
2024-03-04,Puglia,Google Ads,13.756
2024-03-04,Sardegna,Google Ads,4.294
2024-03-04,Sicilia,Google Ads,34.012
2024-03-04,Toscana,Google Ads,11.302
2024-03-04,Trentino-Alto Adige,Google Ads,2.579
2024-03-04,Umbria,Google Ads,5.048
2024-03-04,Valle d'Aosta,Google Ads,0.707
2024-03-04,Veneto,Google Ads,18.53
2024-03-11,Abruzzo,Google Ads,4.305
2024-03-11,Basilicata,Google Ads,1.998
2024-03-11,Calabria,Google Ads,10.217
2024-03-11,Campania,Google Ads,32.455
2024-03-11,Emilia-Romagna,Google Ads,32.164
2024-03-11,Friuli-Venezia Giulia,Google Ads,8.816
2024-03-11,Lazio,Google Ads,42.847
2024-03-11,Liguria,Google Ads,12.041
2024-03-11,Lombardia,Google Ads,69.223
2024-03-11,Marche,Google Ads,7.998
2024-03-11,Molise,Google Ads,2.873
2024-03-11,Piemonte,Google Ads,25.38
2024-03-11,Puglia,Google Ads,21.481
2024-03-11,Sardegna,Google Ads,8.528
2024-03-11,Sicilia,Google Ads,39.705
2024-03-11,Toscana,Google Ads,22.831
2024-03-11,Trentino-Alto Adige,Google Ads,4.716
2024-03-11,Umbria,Google Ads,5.62
2024-03-11,Valle d'Aosta,Google Ads,0.817
2024-03-11,Veneto,Google Ads,21.956
2024-03-18,Abruzzo,Google Ads,4.072
2024-03-18,Basilicata,Google Ads,1.94
2024-03-18,Calabria,Google Ads,10.102
2024-03-18,Campania,Google Ads,34.858
2024-03-18,Emilia-Romagna,Google Ads,30.125
2024-03-18,Friuli-Venezia Giulia,Google Ads,8.542
2024-03-18,Lazio,Google Ads,45.324
2024-03-18,Liguria,Google Ads,11.674
2024-03-18,Lombardia,Google Ads,69.416
2024-03-18,Marche,Google Ads,8.023
2024-03-18,Molise,Google Ads,2.825
2024-03-18,Piemonte,Google Ads,24.755
2024-03-18,Puglia,Google Ads,20.958
