settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,6.65,817,16,0
2024-01-01,Abruzzo,Altre job board,AZ_IT_CAREERJET_CPC,6.25,673,19,1
2024-01-01,Abruzzo,Altre job board,AZ_IT_TALENT_COM_FEED,4.74,461,13,0
2024-01-01,Abruzzo,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,8.63,745,14,1
2024-01-01,Basilicata,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,3.32,412,9,0
2024-01-01,Basilicata,Altre job board,AZ_IT_CAREERJET_CPC,1.88,216,6,0
2024-01-01,Basilicata,Altre job board,AZ_IT_TALENT_COM_FEED,1.99,199,5,0
2024-01-01,Basilicata,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,4.70,402,7,1
2024-01-01,Calabria,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,15.08,1853,39,1
2024-01-01,Calabria,Altre job board,AZ_IT_CAREERJET_CPC,10.13,1146,30,1
2024-01-01,Calabria,Altre job board,AZ_IT_TALENT_COM_FEED,5.77,570,13,0
2024-01-01,Calabria,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,10.05,781,16,1
2024-01-01,Campania,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,42.38,5115,90,4
2024-01-01,Campania,Altre job board,AZ_IT_CAREERJET_CPC,20.84,2199,47,3
2024-01-01,Campania,Altre job board,AZ_IT_TALENT_COM_FEED,13.11,1321,34,2
2024-01-01,Campania,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,32.16,2713,52,6
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,33.32,4202,77,1
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_CAREERJET_CPC,16.27,1810,45,1
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_TALENT_COM_FEED,16.90,1685,39,1
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,37.29,3115,56,3
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,9.71,1234,25,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_CAREERJET_CPC,5.71,621,17,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_TALENT_COM_FEED,5.91,581,15,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,7.19,613,11,1
2024-01-01,Lazio,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,29.73,3678,72,1
2024-01-01,Lazio,Altre job board,AZ_IT_CAREERJET_CPC,22.71,2551,66,1
2024-01-01,Lazio,Altre job board,AZ_IT_TALENT_COM_FEED,19.86,1963,49,1
2024-01-01,Lazio,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,35.91,2978,50,3
2024-01-01,Liguria,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,12.11,1512,33,1
2024-01-01,Liguria,Altre job board,AZ_IT_CAREERJET_CPC,5.71,635,17,1
2024-01-01,Liguria,Altre job board,AZ_IT_TALENT_COM_FEED,6.61,701,16,1
2024-01-01,Liguria,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,7.63,641,12,1
2024-01-01,Lombardia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,82.73,10533,221,2
2024-01-01,Lombardia,Altre job board,AZ_IT_CAREERJET_CPC,45.45,5139,141,3
2024-01-01,Lombardia,Altre job board,AZ_IT_TALENT_COM_FEED,38.55,4128,105,2
2024-01-01,Lombardia,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,37.57,3167,54,3
2024-01-01,Marche,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,11.85,1456,27,1
2024-01-01,Marche,Altre job board,AZ_IT_CAREERJET_CPC,8.49,987,28,1
2024-01-01,Marche,Altre job board,AZ_IT_TALENT_COM_FEED,5.05,511,13,0
2024-01-01,Marche,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,8.43,702,14,1
2024-01-01,Molise,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,1.76,214,3,0
2024-01-01,Molise,Altre job board,AZ_IT_CAREERJET_CPC,1.20,131,4,0
2024-01-01,Molise,Altre job board,AZ_IT_TALENT_COM_FEED,1.28,128,3,0
2024-01-01,Molise,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,2.13,176,3,0
2024-01-01,Piemonte,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,40.56,5468,110,1
2024-01-01,Piemonte,Altre job board,AZ_IT_CAREERJET_CPC,16.41,1830,52,1
2024-01-01,Piemonte,Altre job board,AZ_IT_TALENT_COM_FEED,11.82,1171,30,1
2024-01-01,Piemonte,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,22.45,1817,34,2
2024-01-01,Puglia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,30.80,3773,75,1
2024-01-01,Puglia,Altre job board,AZ_IT_CAREERJET_CPC,23.14,2406,60,1
2024-01-01,Puglia,Altre job board,AZ_IT_TALENT_COM_FEED,13.41,1342,34,1
2024-01-01,Puglia,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,25.48,2116,37,2
2024-01-01,Sardegna,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,8.52,1110,22,0
2024-01-01,Sardegna,Altre job board,AZ_IT_CAREERJET_CPC,6.16,665,17,0
2024-01-01,Sardegna,Altre job board,AZ_IT_TALENT_COM_FEED,5.18,533,15,0
2024-01-01,Sardegna,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,13.26,1051,19,1
2024-01-01,Sicilia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,33.21,4385,81,1
2024-01-01,Sicilia,Altre job board,AZ_IT_CAREERJET_CPC,27.91,3092,79,2
