settimana,regione,candidature
2024-01-01,Abruzzo,127
2024-01-01,Basilicata,66
2024-01-01,Calabria,194
2024-01-01,Campania,589
2024-01-01,Emilia-Romagna,361
2024-01-01,Friuli-Venezia Giulia,118
2024-01-01,Lazio,831
2024-01-01,Liguria,104
2024-01-01,Lombardia,986
2024-01-01,Marche,197
2024-01-01,Molise,26
2024-01-01,Piemonte,401
2024-01-01,Puglia,366
2024-01-01,Sardegna,195
2024-01-01,Sicilia,382
2024-01-01,Toscana,352
2024-01-01,Trentino-Alto Adige,123
2024-01-01,Umbria,83
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,502
2024-01-08,Abruzzo,213
2024-01-08,Basilicata,63
2024-01-08,Calabria,175
2024-01-08,Campania,553
2024-01-08,Emilia-Romagna,408
2024-01-08,Friuli-Venezia Giulia,170
2024-01-08,Lazio,878
2024-01-08,Liguria,231
2024-01-08,Lombardia,1275
2024-01-08,Marche,208
2024-01-08,Molise,28
2024-01-08,Piemonte,496
2024-01-08,Puglia,399
2024-01-08,Sardegna,208
2024-01-08,Sicilia,475
2024-01-08,Toscana,327
2024-01-08,Trentino-Alto Adige,97
2024-01-08,Umbria,74
2024-01-08,Valle d'Aosta,13
2024-01-08,Veneto,599
2024-01-15,Abruzzo,156
2024-01-15,Basilicata,90
2024-01-15,Calabria,239
2024-01-15,Campania,760
2024-01-15,Emilia-Romagna,393
2024-01-15,Friuli-Venezia Giulia,122
2024-01-15,Lazio,998
2024-01-15,Liguria,257
2024-01-15,Lombardia,1289
2024-01-15,Marche,238
2024-01-15,Molise,54
2024-01-15,Piemonte,456
2024-01-15,Puglia,447
2024-01-15,Sardegna,225
2024-01-15,Sicilia,477
2024-01-15,Toscana,392
2024-01-15,Trentino-Alto Adige,168
2024-01-15,Umbria,114
2024-01-15,Valle d'Aosta,7
2024-01-15,Veneto,684
2024-01-22,Abruzzo,150
2024-01-22,Basilicata,67
2024-01-22,Calabria,184
2024-01-22,Campania,714
2024-01-22,Emilia-Romagna,492
2024-01-22,Friuli-Venezia Giulia,154
2024-01-22,Lazio,1017
2024-01-22,Liguria,164
2024-01-22,Lombardia,1189
2024-01-22,Marche,241
2024-01-22,Molise,42
2024-01-22,Piemonte,503
2024-01-22,Puglia,394
2024-01-22,Sardegna,199
2024-01-22,Sicilia,539
2024-01-22,Toscana,341
2024-01-22,Trentino-Alto Adige,141
2024-01-22,Umbria,109
2024-01-22,Valle d'Aosta,8
2024-01-22,Veneto,611
2024-01-29,Abruzzo,136
2024-01-29,Basilicata,91
2024-01-29,Calabria,231
2024-01-29,Campania,674
2024-01-29,Emilia-Romagna,484
2024-01-29,Friuli-Venezia Giulia,148
2024-01-29,Lazio,1110
2024-01-29,Liguria,217
2024-01-29,Lombardia,1230
2024-01-29,Marche,252
2024-01-29,Molise,38
2024-01-29,Piemonte,566
2024-01-29,Puglia,487
2024-01-29,Sardegna,238
2024-01-29,Sicilia,506
2024-01-29,Toscana,404
2024-01-29,Trentino-Alto Adige,144
2024-01-29,Umbria,53
2024-01-29,Valle d'Aosta,2
2024-01-29,Veneto,530
2024-02-05,Abruzzo,161
2024-02-05,Basilicata,62
2024-02-05,Calabria,213
2024-02-05,Campania,718
2024-02-05,Emilia-Romagna,548
2024-02-05,Friuli-Venezia Giulia,111
2024-02-05,Lazio,859
2024-02-05,Liguria,201
2024-02-05,Lombardia,1398
2024-02-05,Marche,164
2024-02-05,Molise,39
2024-02-05,Piemonte,484
2024-02-05,Puglia,339
2024-02-05,Sardegna,226
2024-02-05,Sicilia,477
2024-02-05,Toscana,334
2024-02-05,Trentino-Alto Adige,128
2024-02-05,Umbria,98
2024-02-05,Valle d'Aosta,9
2024-02-05,Veneto,559
2024-02-12,Abruzzo,178
2024-02-12,Basilicata,70
2024-02-12,Calabria,259
2024-02-12,Campania,614
2024-02-12,Emilia-Romagna,509
2024-02-12,Friuli-Venezia Giulia,140
2024-02-12,Lazio,909
2024-02-12,Liguria,237
2024-02-12,Lombardia,1463
2024-02-12,Marche,220
2024-02-12,Molise,42
2024-02-12,Piemonte,526
2024-02-12,Puglia,559
2024-02-12,Sardegna,166
2024-02-12,Sicilia,484
2024-02-12,Toscana,396
2024-02-12,Trentino-Alto Adige,139
2024-02-12,Umbria,93
2024-02-12,Valle d'Aosta,10
2024-02-12,Veneto,559
2024-02-19,Abruzzo,99
2024-02-19,Basilicata,78
2024-02-19,Calabria,225
2024-02-19,Campania,812
2024-02-19,Emilia-Romagna,368
2024-02-19,Friuli-Venezia Giulia,147
2024-02-19,Lazio,769
2024-02-19,Liguria,285
2024-02-19,Lombardia,1177
2024-02-19,Marche,232
2024-02-19,Molise,43
2024-02-19,Piemonte,555
2024-02-19,Puglia,462
2024-02-19,Sardegna,201
2024-02-19,Sicilia,472
2024-02-19,Toscana,445
2024-02-19,Trentino-Alto Adige,126
2024-02-19,Umbria,105
2024-02-19,Valle d'Aosta,7
2024-02-19,Veneto,517
2024-02-26,Abruzzo,210
2024-02-26,Basilicata,81
2024-02-26,Calabria,200
2024-02-26,Campania,724
2024-02-26,Emilia-Romagna,479
2024-02-26,Friuli-Venezia Giulia,138
2024-02-26,Lazio,925
2024-02-26,Liguria,144
2024-02-26,Lombardia,1135
2024-02-26,Marche,233
2024-02-26,Molise,42
2024-02-26,Piemonte,530
2024-02-26,Puglia,497
2024-02-26,Sardegna,233
2024-02-26,Sicilia,660
2024-02-26,Toscana,465
2024-02-26,Trentino-Alto Adige,179
2024-02-26,Umbria,117
2024-02-26,Valle d'Aosta,5
2024-02-26,Veneto,596
2024-03-04,Abruzzo,174
2024-03-04,Basilicata,84
2024-03-04,Calabria,181
2024-03-04,Campania,718
2024-03-04,Emilia-Romagna,485
2024-03-04,Friuli-Venezia Giulia,154
2024-03-04,Lazio,1125
2024-03-04,Liguria,197
2024-03-04,Lombardia,1234
2024-03-04,Marche,242
2024-03-04,Molise,34
2024-03-04,Piemonte,431
2024-03-04,Puglia,388
2024-03-04,Sardegna,213
2024-03-04,Sicilia,516
2024-03-04,Toscana,433
2024-03-04,Trentino-Alto Adige,134
2024-03-04,Umbria,89
2024-03-04,Valle d'Aosta,13
2024-03-04,Veneto,662
2024-03-11,Abruzzo,184
2024-03-11,Basilicata,78
2024-03-11,Calabria,224
2024-03-11,Campania,609
2024-03-11,Emilia-Romagna,468
2024-03-11,Friuli-Venezia Giulia,146
2024-03-11,Lazio,1062
2024-03-11,Liguria,234
2024-03-11,Lombardia,1309
2024-03-11,Marche,252
2024-03-11,Molise,39
2024-03-11,Piemonte,360
2024-03-11,Puglia,506
2024-03-11,Sardegna,248
2024-03-11,Sicilia,560
2024-03-11,Toscana,347
2024-03-11,Trentino-Alto Adige,178
2024-03-11,Umbria,104
2024-03-11,Valle d'Aosta,8
2024-03-11,Veneto,600
2024-03-18,Abruzzo,177
2024-03-18,Basilicata,58
2024-03-18,Calabria,264
2024-03-18,Campania,707
2024-03-18,Emilia-Romagna,552
2024-03-18,Friuli-Venezia Giulia,173
2024-03-18,Lazio,947
2024-03-18,Liguria,235
2024-03-18,Lombardia,1200
2024-03-18,Marche,224
2024-03-18,Molise,35
2024-03-18,Piemonte,512
2024-03-18,Puglia,452
2024-03-18,Sardegna,216
2024-03-18,Sicilia,496
2024-03-18,Toscana,421
2024-03-18,Trentino-Alto Adige,129
2024-03-18,Umbria,129
2024-03-18,Valle d'Aosta,14
2024-03-18,Veneto,641
2024-03-25,Abruzzo,191
2024-03-25,Basilicata,63
2024-03-25,Calabria,213
2024-03-25,Campania,756
2024-03-25,Emilia-Romagna,497
2024-03-25,Friuli-Venezia Giulia,141
2024-03-25,Lazio,887
2024-03-25,Liguria,227
2024-03-25,Lombardia,1385
2024-03-25,Marche,251
2024-03-25,Molise,40
2024-03-25,Piemonte,527
2024-03-25,Puglia,544
2024-03-25,Sardegna,209
2024-03-25,Sicilia,531
2024-03-25,Toscana,449
2024-03-25,Trentino-Alto Adige,125
2024-03-25,Umbria,75
2024-03-25,Valle d'Aosta,16
2024-03-25,Veneto,692
2024-04-01,Abruzzo,173
2024-04-01,Basilicata,66
2024-04-01,Calabria,215
2024-04-01,Campania,610
2024-04-01,Emilia-Romagna,525
2024-04-01,Friuli-Venezia Giulia,127
2024-04-01,Lazio,1030
2024-04-01,Liguria,238
2024-04-01,Lombardia,1350
2024-04-01,Marche,274
2024-04-01,Molise,38
2024-04-01,Piemonte,472
2024-04-01,Puglia,537
2024-04-01,Sardegna,246
2024-04-01,Sicilia,560
2024-04-01,Toscana,392
2024-04-01,Trentino-Alto Adige,172
2024-04-01,Umbria,122
2024-04-01,Valle d'Aosta,10
2024-04-01,Veneto,601
2024-04-08,Abruzzo,145
2024-04-08,Basilicata,68
2024-04-08,Calabria,214
2024-04-08,Campania,644
2024-04-08,Emilia-Romagna,449
2024-04-08,Friuli-Venezia Giulia,157
2024-04-08,Lazio,1063
2024-04-08,Liguria,262
2024-04-08,Lombardia,1170
2024-04-08,Marche,299
2024-04-08,Molise,41
2024-04-08,Piemonte,567
2024-04-08,Puglia,437
2024-04-08,Sardegna,223
2024-04-08,Sicilia,543
2024-04-08,Toscana,387
2024-04-08,Trentino-Alto Adige,129
2024-04-08,Umbria,109
2024-04-08,Valle d'Aosta,7
2024-04-08,Veneto,716
2024-04-15,Abruzzo,182
2024-04-15,Basilicata,87
2024-04-15,Calabria,253
