settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_DISPLAY,27.10,4497,27,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,23.40,781,62,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,81.24,1502,76,1
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,31.33,628,29,1
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_DISPLAY,9.54,1564,10,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,18.81,635,51,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,43.74,776,39,1
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,20.12,413,18,0
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_DISPLAY,46.85,7605,50,0
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,45.96,1512,118,2
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,88.06,1538,81,2
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,40.73,860,34,2
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_DISPLAY,156.23,26024,142,2
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,122.19,4112,322,5
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,443.41,7815,420,13
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,207.07,4146,182,9
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_DISPLAY,123.05,21375,124,2
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,139.37,4622,359,6
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,202.63,3716,192,8
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,106.61,2185,99,6
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_DISPLAY,33.94,5425,29,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,22.62,718,57,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,67.22,1219,65,3
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,29.24,601,25,2
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_DISPLAY,135.98,22629,153,2
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,110.63,3689,241,5
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,331.40,5640,275,16
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,235.29,4912,231,11
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_DISPLAY,21.18,3349,21,0
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,28.43,916,62,1
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,85.93,1544,92,3
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,37.83,823,39,2
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_DISPLAY,290.61,47838,247,3
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,319.82,10106,719,10
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,669.48,12599,576,18
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,308.19,6363,276,13
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_DISPLAY,24.38,4095,24,0
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,39.04,1307,97,1
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,70.97,1273,61,2
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,37.46,764,36,1
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_DISPLAY,8.00,1269,7,0
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,5.98,202,16,0
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,20.15,365,19,1
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,11.69,264,12,1
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_DISPLAY,74.94,12323,70,1
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,90.07,3050,234,2
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,381.45,7152,376,8
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,122.09,2510,122,3
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_DISPLAY,104.76,17612,113,1
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,91.52,3103,251,2
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,209.25,3895,201,5
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,182.90,3789,195,6
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_DISPLAY,30.56,5113,33,0
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,38.64,1213,98,1
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,99.11,1857,97,3
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,39.54,815,34,2
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_DISPLAY,111.16,18715,114,1
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,91.75,2933,207,4
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,332.91,5550,237,11
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,175.38,3623,172,9
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_DISPLAY,70.16,11351,65,1
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,80.09,2828,216,3
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,150.01,2869,159,5
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,114.00,2381,117,5
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_DISPLAY,30.52,5132,29,0
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,21.21,685,48,1
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,41.24,764,38,1
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,25.29,541,23,1
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_DISPLAY,15.41,2521,15,0
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,29.70,1008,75,1
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,62.36,1218,66,2
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,28.47,600,26,1
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_DISPLAY,3.30,562,3,0
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,3.05,100,8,0
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,6.38,113,5,0
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,3.09,66,3,0
2024-01-01,Veneto,Google Ads,AZ_IT_GOOGLE_DISPLAY,117.67,18252,109,1
2024-01-01,Veneto,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,113.03,3777,216,3
2024-01-01,Veneto,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,201.40,3468,177,5
2024-01-01,Veneto,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,157.47,3383,151,6
2024-01-08,Abruzzo,Google Ads,AZ_IT_GOOGLE_DISPLAY,29.69,4905,31,0
2024-01-08,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,34.11,1116,98,1
2024-01-08,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,73.51,1337,64,1
2024-01-08,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,36.75,770,34,1
2024-01-08,Basilicata,Google Ads,AZ_IT_GOOGLE_DISPLAY,10.20,1705,9,0
2024-01-08,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,20.65,700,55,1
2024-01-08,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,39.61,714,37,1
2024-01-08,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,22.07,465,21,1
2024-01-08,Calabria,Google Ads,AZ_IT_GOOGLE_DISPLAY,48.48,8408,48,1
2024-01-08,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,58.72,1965,141,2
2024-01-08,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,91.94,1704,87,3
2024-01-08,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,37.63,810,39,2
2024-01-08,Campania,Google Ads,AZ_IT_GOOGLE_DISPLAY,172.95,28900,173,2
