settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_DISPLAY_RETE,13.36,2320,12,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.58,1061,18,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,72.30,3416,133,4
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_DISPLAY_RETE,4.01,655,3,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,4.61,523,10,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,18.37,837,32,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,15.57,2692,12,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,19.53,1997,33,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,107.56,4907,213,8
2024-01-01,Campania,Indeed,AZ_IT_INDEED_DISPLAY_RETE,62.55,10502,48,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,23.76,2597,48,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,157.00,6771,285,10
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,25.28,4186,21,1
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,37.89,4493,82,2
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,229.10,10224,443,13
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,10.75,1764,10,0
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,6.87,798,16,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,45.79,2196,87,4
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_DISPLAY_RETE,64.31,10642,57,2
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,55.12,5852,109,4
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,184.75,8001,326,15
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,12.69,2105,11,0
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.56,1012,20,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,40.16,1810,78,2
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,107.06,17099,95,4
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,60.34,6402,108,5
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,436.32,19675,761,35
2024-01-01,Marche,Indeed,AZ_IT_INDEED_DISPLAY_RETE,12.83,2126,10,1
2024-01-01,Marche,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.86,1068,20,1
2024-01-01,Marche,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,32.97,1508,66,5
2024-01-01,Molise,Indeed,AZ_IT_INDEED_DISPLAY_RETE,2.78,464,2,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,2.97,330,6,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,7.45,342,14,1
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_DISPLAY_RETE,42.80,6865,32,2
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,34.26,3906,73,4
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,122.54,5472,245,15
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,53.18,8739,44,3
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,40.25,4618,78,4
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,96.73,4505,197,10
