settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,20.92,2868,37,1
2024-01-01,Abruzzo,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,58.27,6312,78,2
2024-01-01,Abruzzo,Meta Ads,RND_IT_META_PROSPECTING_DABA,32.84,4204,66,1
2024-01-01,Abruzzo,Meta Ads,RND_IT_META_RETARGETING_SITO,17.09,1942,42,1
2024-01-01,Abruzzo,Meta Ads,RND_IT_META_VIDEO_REELS,23.86,4689,44,1
2024-01-01,Basilicata,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,7.70,1116,14,0
2024-01-01,Basilicata,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,16.67,1899,24,1
2024-01-01,Basilicata,Meta Ads,RND_IT_META_PROSPECTING_DABA,17.73,2383,33,0
2024-01-01,Basilicata,Meta Ads,RND_IT_META_RETARGETING_SITO,7.81,906,21,1
2024-01-01,Basilicata,Meta Ads,RND_IT_META_VIDEO_REELS,9.52,2019,17,0
2024-01-01,Calabria,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,29.99,4210,48,1
2024-01-01,Calabria,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,86.84,9913,113,4
2024-01-01,Calabria,Meta Ads,RND_IT_META_PROSPECTING_DABA,46.44,6155,81,2
2024-01-01,Calabria,Meta Ads,RND_IT_META_RETARGETING_SITO,32.17,3677,79,2
2024-01-01,Calabria,Meta Ads,RND_IT_META_VIDEO_REELS,30.24,6260,59,1
2024-01-01,Campania,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,56.84,8086,103,3
2024-01-01,Campania,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,289.26,31884,395,18
2024-01-01,Campania,Meta Ads,RND_IT_META_PROSPECTING_DABA,195.21,25784,415,9
2024-01-01,Campania,Meta Ads,RND_IT_META_RETARGETING_SITO,106.53,13242,252,10
2024-01-01,Campania,Meta Ads,RND_IT_META_VIDEO_REELS,97.82,19389,190,5
2024-01-01,Emilia-Romagna,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,60.34,9048,128,2
2024-01-01,Emilia-Romagna,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,197.29,21532,258,8
2024-01-01,Emilia-Romagna,Meta Ads,RND_IT_META_PROSPECTING_DABA,165.23,22849,312,5
2024-01-01,Emilia-Romagna,Meta Ads,RND_IT_META_RETARGETING_SITO,51.55,6201,141,3
2024-01-01,Emilia-Romagna,Meta Ads,RND_IT_META_VIDEO_REELS,46.73,9535,91,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,19.88,2850,36,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,49.83,5538,72,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,RND_IT_META_PROSPECTING_DABA,30.59,4219,56,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,RND_IT_META_RETARGETING_SITO,25.27,2944,67,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,RND_IT_META_VIDEO_REELS,23.77,4784,36,1
2024-01-01,Lazio,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,103.51,14673,187,3
2024-01-01,Lazio,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,292.17,32421,374,11
2024-01-01,Lazio,Meta Ads,RND_IT_META_PROSPECTING_DABA,178.29,23115,314,5
2024-01-01,Lazio,Meta Ads,RND_IT_META_RETARGETING_SITO,128.88,15811,338,8
2024-01-01,Lazio,Meta Ads,RND_IT_META_VIDEO_REELS,87.19,18349,163,3
2024-01-01,Liguria,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,25.94,3652,49,1
2024-01-01,Liguria,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,87.71,9929,136,4
2024-01-01,Liguria,Meta Ads,RND_IT_META_PROSPECTING_DABA,51.13,6908,94,2
2024-01-01,Liguria,Meta Ads,RND_IT_META_RETARGETING_SITO,28.25,3226,80,2
2024-01-01,Liguria,Meta Ads,RND_IT_META_VIDEO_REELS,31.65,6306,53,1
2024-01-01,Lombardia,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,121.15,17634,211,4
2024-01-01,Lombardia,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,275.64,28476,350,9
2024-01-01,Lombardia,Meta Ads,RND_IT_META_PROSPECTING_DABA,421.89,53612,817,10
2024-01-01,Lombardia,Meta Ads,RND_IT_META_RETARGETING_SITO,173.40,20197,427,10
2024-01-01,Lombardia,Meta Ads,RND_IT_META_VIDEO_REELS,209.59,42200,398,6
2024-01-01,Marche,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,23.31,3242,43,1
2024-01-01,Marche,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,60.63,6588,78,2
2024-01-01,Marche,Meta Ads,RND_IT_META_PROSPECTING_DABA,45.36,5760,71,2
2024-01-01,Marche,Meta Ads,RND_IT_META_RETARGETING_SITO,19.15,2311,56,1
2024-01-01,Marche,Meta Ads,RND_IT_META_VIDEO_REELS,20.14,3933,36,1
2024-01-01,Molise,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,3.03,434,5,0
2024-01-01,Molise,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,10.99,1184,14,1
2024-01-01,Molise,Meta Ads,RND_IT_META_PROSPECTING_DABA,14.68,1905,28,1
2024-01-01,Molise,Meta Ads,RND_IT_META_RETARGETING_SITO,3.44,391,8,0
2024-01-01,Molise,Meta Ads,RND_IT_META_VIDEO_REELS,4.38,873,9,0
2024-01-01,Piemonte,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,45.29,6457,81,2
2024-01-01,Piemonte,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,155.23,15945,191,8
2024-01-01,Piemonte,Meta Ads,RND_IT_META_PROSPECTING_DABA,74.06,9859,138,3
2024-01-01,Piemonte,Meta Ads,RND_IT_META_RETARGETING_SITO,78.76,9457,212,8
2024-01-01,Piemonte,Meta Ads,RND_IT_META_VIDEO_REELS,48.51,8904,78,2
2024-01-01,Puglia,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,29.13,4072,52,1
2024-01-01,Puglia,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,119.52,13083,150,6
2024-01-01,Puglia,Meta Ads,RND_IT_META_PROSPECTING_DABA,173.98,22743,306,5
2024-01-01,Puglia,Meta Ads,RND_IT_META_RETARGETING_SITO,46.77,5550,115,4
2024-01-01,Puglia,Meta Ads,RND_IT_META_VIDEO_REELS,100.44,20244,183,4
2024-01-01,Sardegna,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,31.31,4290,54,1
2024-01-01,Sardegna,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,61.22,6496,82,2
2024-01-01,Sardegna,Meta Ads,RND_IT_META_PROSPECTING_DABA,77.69,10499,144,2
2024-01-01,Sardegna,Meta Ads,RND_IT_META_RETARGETING_SITO,43.62,5222,114,2
2024-01-01,Sardegna,Meta Ads,RND_IT_META_VIDEO_REELS,28.55,5881,52,1
2024-01-01,Sicilia,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,134.72,19304,253,8
2024-01-01,Sicilia,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,179.06,19664,236,13
2024-01-01,Sicilia,Meta Ads,RND_IT_META_PROSPECTING_DABA,173.67,23146,318,11
2024-01-01,Sicilia,Meta Ads,RND_IT_META_RETARGETING_SITO,91.73,11374,264,14
2024-01-01,Sicilia,Meta Ads,RND_IT_META_VIDEO_REELS,86.49,18177,172,6
2024-01-01,Toscana,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,48.53,6869,89,1
2024-01-01,Toscana,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,211.74,23182,316,7
2024-01-01,Toscana,Meta Ads,RND_IT_META_PROSPECTING_DABA,152.48,21010,296,4
2024-01-01,Toscana,Meta Ads,RND_IT_META_RETARGETING_SITO,76.17,9083,192,4
2024-01-01,Toscana,Meta Ads,RND_IT_META_VIDEO_REELS,58.79,11928,100,2
2024-01-01,Trentino-Alto Adige,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,18.64,2687,34,1
2024-01-01,Trentino-Alto Adige,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,33.28,3749,44,2
2024-01-01,Trentino-Alto Adige,Meta Ads,RND_IT_META_PROSPECTING_DABA,43.75,5929,80,1
2024-01-01,Trentino-Alto Adige,Meta Ads,RND_IT_META_RETARGETING_SITO,34.12,4029,84,3
2024-01-01,Trentino-Alto Adige,Meta Ads,RND_IT_META_VIDEO_REELS,13.56,2683,22,0
2024-01-01,Umbria,Meta Ads,RND_IT_META_ADVANTAGE_PLUS,13.44,1799,24,1
2024-01-01,Umbria,Meta Ads,RND_IT_META_LEAD_GEN_FORMS,12.35,1362,16,1
2024-01-01,Umbria,Meta Ads,RND_IT_META_PROSPECTING_DABA,26.32,3400,47,1
2024-01-01,Umbria,Meta Ads,RND_IT_META_RETARGETING_SITO,15.07,1694,37,1
2024-01-01,Umbria,Meta Ads,RND_IT_META_VIDEO_REELS,18.86,3679,32,1
