settimana,regione,richieste_clienti
2024-01-01,Abruzzo,47
2024-01-01,Basilicata,8
2024-01-01,Calabria,74
2024-01-01,Campania,187
2024-01-01,Emilia-Romagna,165
2024-01-01,Friuli-Venezia Giulia,39
2024-01-01,Lazio,207
2024-01-01,Liguria,16
2024-01-01,Lombardia,321
2024-01-01,Marche,69
2024-01-01,Molise,1
2024-01-01,Piemonte,165
2024-01-01,Puglia,131
2024-01-01,Sardegna,63
2024-01-01,Sicilia,182
2024-01-01,Toscana,119
2024-01-01,Trentino-Alto Adige,52
2024-01-01,Umbria,46
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,152
2024-01-08,Abruzzo,74
2024-01-08,Basilicata,12
2024-01-08,Calabria,80
2024-01-08,Campania,247
2024-01-08,Emilia-Romagna,150
2024-01-08,Friuli-Venezia Giulia,71
2024-01-08,Lazio,221
2024-01-08,Liguria,81
2024-01-08,Lombardia,322
2024-01-08,Marche,50
2024-01-08,Molise,0
2024-01-08,Piemonte,140
2024-01-08,Puglia,202
2024-01-08,Sardegna,63
2024-01-08,Sicilia,208
2024-01-08,Toscana,95
2024-01-08,Trentino-Alto Adige,30
2024-01-08,Umbria,44
2024-01-08,Valle d'Aosta,10
2024-01-08,Veneto,186
2024-01-15,Abruzzo,50
2024-01-15,Basilicata,16
2024-01-15,Calabria,77
2024-01-15,Campania,215
2024-01-15,Emilia-Romagna,180
2024-01-15,Friuli-Venezia Giulia,58
2024-01-15,Lazio,258
2024-01-15,Liguria,69
2024-01-15,Lombardia,473
2024-01-15,Marche,66
2024-01-15,Molise,24
2024-01-15,Piemonte,207
2024-01-15,Puglia,150
2024-01-15,Sardegna,79
2024-01-15,Sicilia,176
2024-01-15,Toscana,134
2024-01-15,Trentino-Alto Adige,37
2024-01-15,Umbria,27
2024-01-15,Valle d'Aosta,4
2024-01-15,Veneto,219
2024-01-22,Abruzzo,43
2024-01-22,Basilicata,9
2024-01-22,Calabria,33
2024-01-22,Campania,257
2024-01-22,Emilia-Romagna,171
2024-01-22,Friuli-Venezia Giulia,37
2024-01-22,Lazio,192
2024-01-22,Liguria,77
2024-01-22,Lombardia,337
2024-01-22,Marche,55
2024-01-22,Molise,19
2024-01-22,Piemonte,144
2024-01-22,Puglia,136
2024-01-22,Sardegna,55
2024-01-22,Sicilia,210
2024-01-22,Toscana,152
2024-01-22,Trentino-Alto Adige,56
2024-01-22,Umbria,39
2024-01-22,Valle d'Aosta,8
2024-01-22,Veneto,182
2024-01-29,Abruzzo,63
2024-01-29,Basilicata,43
2024-01-29,Calabria,75
2024-01-29,Campania,242
2024-01-29,Emilia-Romagna,175
2024-01-29,Friuli-Venezia Giulia,59
2024-01-29,Lazio,225
2024-01-29,Liguria,29
2024-01-29,Lombardia,443
2024-01-29,Marche,63
2024-01-29,Molise,16
2024-01-29,Piemonte,171
2024-01-29,Puglia,173
2024-01-29,Sardegna,50
2024-01-29,Sicilia,219
2024-01-29,Toscana,147
2024-01-29,Trentino-Alto Adige,23
2024-01-29,Umbria,21
2024-01-29,Valle d'Aosta,5
2024-01-29,Veneto,203
2024-02-05,Abruzzo,63
2024-02-05,Basilicata,24
2024-02-05,Calabria,89
2024-02-05,Campania,261
2024-02-05,Emilia-Romagna,151
2024-02-05,Friuli-Venezia Giulia,23
2024-02-05,Lazio,198
2024-02-05,Liguria,67
2024-02-05,Lombardia,405
2024-02-05,Marche,25
2024-02-05,Molise,14
2024-02-05,Piemonte,184
2024-02-05,Puglia,143
2024-02-05,Sardegna,73
2024-02-05,Sicilia,190
2024-02-05,Toscana,120
2024-02-05,Trentino-Alto Adige,14
2024-02-05,Umbria,20
2024-02-05,Valle d'Aosta,4
2024-02-05,Veneto,189
2024-02-12,Abruzzo,41
2024-02-12,Basilicata,20
2024-02-12,Calabria,82
2024-02-12,Campania,204
2024-02-12,Emilia-Romagna,203
2024-02-12,Friuli-Venezia Giulia,44
2024-02-12,Lazio,246
2024-02-12,Liguria,70
2024-02-12,Lombardia,431
2024-02-12,Marche,76
2024-02-12,Molise,4
2024-02-12,Piemonte,145
2024-02-12,Puglia,161
2024-02-12,Sardegna,55
2024-02-12,Sicilia,194
2024-02-12,Toscana,160
2024-02-12,Trentino-Alto Adige,49
2024-02-12,Umbria,14
2024-02-12,Valle d'Aosta,1
2024-02-12,Veneto,201
2024-02-19,Abruzzo,35
2024-02-19,Basilicata,31
2024-02-19,Calabria,84
2024-02-19,Campania,250
2024-02-19,Emilia-Romagna,191
2024-02-19,Friuli-Venezia Giulia,41
2024-02-19,Lazio,234
2024-02-19,Liguria,95
2024-02-19,Lombardia,407
2024-02-19,Marche,46
2024-02-19,Molise,10
2024-02-19,Piemonte,185
2024-02-19,Puglia,160
2024-02-19,Sardegna,68
2024-02-19,Sicilia,174
2024-02-19,Toscana,141
2024-02-19,Trentino-Alto Adige,64
2024-02-19,Umbria,35
2024-02-19,Valle d'Aosta,2
2024-02-19,Veneto,236
2024-02-26,Abruzzo,54
2024-02-26,Basilicata,10
2024-02-26,Calabria,88
2024-02-26,Campania,225
2024-02-26,Emilia-Romagna,180
2024-02-26,Friuli-Venezia Giulia,42
2024-02-26,Lazio,228
2024-02-26,Liguria,12
2024-02-26,Lombardia,348
2024-02-26,Marche,77
2024-02-26,Molise,11
2024-02-26,Piemonte,178
2024-02-26,Puglia,152
2024-02-26,Sardegna,63
2024-02-26,Sicilia,157
2024-02-26,Toscana,173
2024-02-26,Trentino-Alto Adige,68
2024-02-26,Umbria,24
2024-02-26,Valle d'Aosta,3
2024-02-26,Veneto,171
2024-03-04,Abruzzo,25
2024-03-04,Basilicata,39
2024-03-04,Calabria,69
2024-03-04,Campania,229
2024-03-04,Emilia-Romagna,152
2024-03-04,Friuli-Venezia Giulia,46
2024-03-04,Lazio,254
2024-03-04,Liguria,62
2024-03-04,Lombardia,390
2024-03-04,Marche,71
2024-03-04,Molise,10
2024-03-04,Piemonte,168
2024-03-04,Puglia,136
2024-03-04,Sardegna,61
2024-03-04,Sicilia,147
2024-03-04,Toscana,178
2024-03-04,Trentino-Alto Adige,30
2024-03-04,Umbria,35
2024-03-04,Valle d'Aosta,0
2024-03-04,Veneto,164
2024-03-11,Abruzzo,53
2024-03-11,Basilicata,18
2024-03-11,Calabria,46
2024-03-11,Campania,233
2024-03-11,Emilia-Romagna,208
2024-03-11,Friuli-Venezia Giulia,33
2024-03-11,Lazio,209
2024-03-11,Liguria,69
2024-03-11,Lombardia,408
2024-03-11,Marche,48
2024-03-11,Molise,16
2024-03-11,Piemonte,164
2024-03-11,Puglia,169
2024-03-11,Sardegna,91
2024-03-11,Sicilia,228
2024-03-11,Toscana,133
2024-03-11,Trentino-Alto Adige,38
2024-03-11,Umbria,30
2024-03-11,Valle d'Aosta,7
2024-03-11,Veneto,197
2024-03-18,Abruzzo,55
2024-03-18,Basilicata,14
2024-03-18,Calabria,73
2024-03-18,Campania,187
2024-03-18,Emilia-Romagna,182
2024-03-18,Friuli-Venezia Giulia,37
2024-03-18,Lazio,198
2024-03-18,Liguria,60
2024-03-18,Lombardia,407
2024-03-18,Marche,52
2024-03-18,Molise,11
2024-03-18,Piemonte,153
2024-03-18,Puglia,139
2024-03-18,Sardegna,53
2024-03-18,Sicilia,201
2024-03-18,Toscana,150
2024-03-18,Trentino-Alto Adige,15
2024-03-18,Umbria,48
2024-03-18,Valle d'Aosta,0
2024-03-18,Veneto,169
2024-03-25,Abruzzo,63
2024-03-25,Basilicata,18
2024-03-25,Calabria,84
2024-03-25,Campania,240
2024-03-25,Emilia-Romagna,160
2024-03-25,Friuli-Venezia Giulia,58
2024-03-25,Lazio,242
2024-03-25,Liguria,61
2024-03-25,Lombardia,399
2024-03-25,Marche,92
2024-03-25,Molise,10
2024-03-25,Piemonte,194
2024-03-25,Puglia,180
2024-03-25,Sardegna,81
