settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,5.34,656,13,0
2024-01-01,Abruzzo,Altre job board,RND_IT_CAREERJET_CPC,5.02,541,15,1
2024-01-01,Abruzzo,Altre job board,RND_IT_TALENT_COM_FEED,3.80,371,10,0
2024-01-01,Abruzzo,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.93,598,11,1
2024-01-01,Basilicata,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,2.66,331,7,0
2024-01-01,Basilicata,Altre job board,RND_IT_CAREERJET_CPC,1.51,174,5,0
2024-01-01,Basilicata,Altre job board,RND_IT_TALENT_COM_FEED,1.60,160,4,0
2024-01-01,Basilicata,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,3.77,323,6,0
2024-01-01,Calabria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,12.12,1489,31,1
2024-01-01,Calabria,Altre job board,RND_IT_CAREERJET_CPC,8.14,921,24,1
2024-01-01,Calabria,Altre job board,RND_IT_TALENT_COM_FEED,4.63,458,10,0
2024-01-01,Calabria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,8.07,627,13,1
2024-01-01,Campania,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,34.05,4109,72,3
2024-01-01,Campania,Altre job board,RND_IT_CAREERJET_CPC,16.74,1766,38,2
2024-01-01,Campania,Altre job board,RND_IT_TALENT_COM_FEED,10.53,1061,28,1
2024-01-01,Campania,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,25.83,2180,42,5
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,26.77,3376,62,1
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_CAREERJET_CPC,13.07,1454,36,1
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TALENT_COM_FEED,13.58,1354,32,1
2024-01-01,Emilia-Romagna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,29.95,2502,45,3
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,7.80,991,20,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_CAREERJET_CPC,4.58,499,14,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TALENT_COM_FEED,4.75,467,12,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,5.78,492,9,1
2024-01-01,Lazio,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,23.88,2955,58,1
2024-01-01,Lazio,Altre job board,RND_IT_CAREERJET_CPC,18.25,2049,53,1
2024-01-01,Lazio,Altre job board,RND_IT_TALENT_COM_FEED,15.96,1577,39,1
2024-01-01,Lazio,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,28.85,2392,40,3
2024-01-01,Liguria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,9.73,1215,26,1
2024-01-01,Liguria,Altre job board,RND_IT_CAREERJET_CPC,4.59,510,14,0
2024-01-01,Liguria,Altre job board,RND_IT_TALENT_COM_FEED,5.31,563,13,1
2024-01-01,Liguria,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.13,515,9,1
2024-01-01,Lombardia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,66.46,8461,177,2
2024-01-01,Lombardia,Altre job board,RND_IT_CAREERJET_CPC,36.51,4128,114,2
2024-01-01,Lombardia,Altre job board,RND_IT_TALENT_COM_FEED,30.97,3316,84,2
2024-01-01,Lombardia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,30.18,2544,43,3
2024-01-01,Marche,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,9.52,1170,21,0
2024-01-01,Marche,Altre job board,RND_IT_CAREERJET_CPC,6.82,793,22,1
2024-01-01,Marche,Altre job board,RND_IT_TALENT_COM_FEED,4.06,410,10,0
2024-01-01,Marche,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,6.77,564,11,1
2024-01-01,Molise,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,1.42,172,3,0
2024-01-01,Molise,Altre job board,RND_IT_CAREERJET_CPC,0.97,105,3,0
2024-01-01,Molise,Altre job board,RND_IT_TALENT_COM_FEED,1.03,103,2,0
2024-01-01,Molise,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,1.71,142,2,0
2024-01-01,Piemonte,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,32.58,4393,89,1
2024-01-01,Piemonte,Altre job board,RND_IT_CAREERJET_CPC,13.18,1470,42,1
2024-01-01,Piemonte,Altre job board,RND_IT_TALENT_COM_FEED,9.50,940,24,1
2024-01-01,Piemonte,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,18.03,1460,27,2
2024-01-01,Puglia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,24.74,3031,60,1
2024-01-01,Puglia,Altre job board,RND_IT_CAREERJET_CPC,18.59,1932,48,1
2024-01-01,Puglia,Altre job board,RND_IT_TALENT_COM_FEED,10.78,1078,27,1
2024-01-01,Puglia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,20.47,1700,30,2
2024-01-01,Sardegna,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,6.85,892,17,0
2024-01-01,Sardegna,Altre job board,RND_IT_CAREERJET_CPC,4.95,534,14,0
2024-01-01,Sardegna,Altre job board,RND_IT_TALENT_COM_FEED,4.17,428,12,0
2024-01-01,Sardegna,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,10.65,844,15,1
2024-01-01,Sicilia,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,26.68,3522,65,1
2024-01-01,Sicilia,Altre job board,RND_IT_CAREERJET_CPC,22.42,2484,64,1
2024-01-01,Sicilia,Altre job board,RND_IT_TALENT_COM_FEED,20.50,2107,55,1
2024-01-01,Sicilia,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,12.74,1086,21,1
2024-01-01,Toscana,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,19.73,2639,54,1
2024-01-01,Toscana,Altre job board,RND_IT_CAREERJET_CPC,17.55,1887,44,2
2024-01-01,Toscana,Altre job board,RND_IT_TALENT_COM_FEED,10.83,1126,26,1
2024-01-01,Toscana,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,16.63,1386,24,2
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,6.56,817,17,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_CAREERJET_CPC,2.92,340,9,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_TALENT_COM_FEED,2.63,257,6,1
2024-01-01,Trentino-Alto Adige,Altre job board,RND_IT_TROVOLAVORO_SPONSORED,5.51,464,9,1
2024-01-01,Umbria,Altre job board,RND_IT_BAKECA_LAVORO_ANNUNCI,4.39,552,11,0
2024-01-01,Umbria,Altre job board,RND_IT_CAREERJET_CPC,1.89,219,6,0
2024-01-01,Umbria,Altre job board,RND_IT_TALENT_COM_FEED,1.43,143,3,0
