settimana,regione,candidature
2024-01-01,Abruzzo,125
2024-01-01,Basilicata,64
2024-01-01,Calabria,188
2024-01-01,Campania,556
2024-01-01,Emilia-Romagna,341
2024-01-01,Friuli-Venezia Giulia,113
2024-01-01,Lazio,800
2024-01-01,Liguria,99
2024-01-01,Lombardia,949
2024-01-01,Marche,193
2024-01-01,Molise,25
2024-01-01,Piemonte,387
2024-01-01,Puglia,353
2024-01-01,Sardegna,189
2024-01-01,Sicilia,357
2024-01-01,Toscana,337
2024-01-01,Trentino-Alto Adige,119
2024-01-01,Umbria,80
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,488
2024-01-08,Abruzzo,212
2024-01-08,Basilicata,63
2024-01-08,Calabria,174
2024-01-08,Campania,547
2024-01-08,Emilia-Romagna,404
2024-01-08,Friuli-Venezia Giulia,169
2024-01-08,Lazio,872
2024-01-08,Liguria,230
2024-01-08,Lombardia,1269
2024-01-08,Marche,250
2024-01-08,Molise,19
2024-01-08,Piemonte,529
2024-01-08,Puglia,414
2024-01-08,Sardegna,173
2024-01-08,Sicilia,474
2024-01-08,Toscana,349
2024-01-08,Trentino-Alto Adige,101
2024-01-08,Umbria,72
2024-01-08,Valle d'Aosta,10
2024-01-08,Veneto,574
2024-01-15,Abruzzo,162
2024-01-15,Basilicata,83
2024-01-15,Calabria,221
2024-01-15,Campania,790
2024-01-15,Emilia-Romagna,379
2024-01-15,Friuli-Venezia Giulia,129
2024-01-15,Lazio,960
2024-01-15,Liguria,221
2024-01-15,Lombardia,1345
2024-01-15,Marche,227
2024-01-15,Molise,35
2024-01-15,Piemonte,506
2024-01-15,Puglia,418
2024-01-15,Sardegna,238
2024-01-15,Sicilia,407
2024-01-15,Toscana,401
2024-01-15,Trentino-Alto Adige,148
2024-01-15,Umbria,112
2024-01-15,Valle d'Aosta,20
2024-01-15,Veneto,623
2024-01-22,Abruzzo,154
2024-01-22,Basilicata,55
2024-01-22,Calabria,178
2024-01-22,Campania,712
2024-01-22,Emilia-Romagna,493
2024-01-22,Friuli-Venezia Giulia,133
2024-01-22,Lazio,1012
2024-01-22,Liguria,191
2024-01-22,Lombardia,1201
2024-01-22,Marche,195
2024-01-22,Molise,39
2024-01-22,Piemonte,534
2024-01-22,Puglia,411
2024-01-22,Sardegna,194
2024-01-22,Sicilia,531
2024-01-22,Toscana,361
2024-01-22,Trentino-Alto Adige,120
2024-01-22,Umbria,92
2024-01-22,Valle d'Aosta,11
2024-01-22,Veneto,607
2024-01-29,Abruzzo,130
2024-01-29,Basilicata,81
2024-01-29,Calabria,215
2024-01-29,Campania,694
2024-01-29,Emilia-Romagna,455
2024-01-29,Friuli-Venezia Giulia,131
2024-01-29,Lazio,1087
2024-01-29,Liguria,194
2024-01-29,Lombardia,1234
2024-01-29,Marche,237
2024-01-29,Molise,29
2024-01-29,Piemonte,542
2024-01-29,Puglia,430
2024-01-29,Sardegna,236
2024-01-29,Sicilia,558
2024-01-29,Toscana,373
2024-01-29,Trentino-Alto Adige,107
2024-01-29,Umbria,78
2024-01-29,Valle d'Aosta,4
2024-01-29,Veneto,508
2024-02-05,Abruzzo,163
2024-02-05,Basilicata,73
2024-02-05,Calabria,209
2024-02-05,Campania,660
2024-02-05,Emilia-Romagna,553
2024-02-05,Friuli-Venezia Giulia,134
2024-02-05,Lazio,865
2024-02-05,Liguria,202
2024-02-05,Lombardia,1409
2024-02-05,Marche,165
2024-02-05,Molise,39
2024-02-05,Piemonte,489
2024-02-05,Puglia,342
2024-02-05,Sardegna,237
2024-02-05,Sicilia,470
2024-02-05,Toscana,337
2024-02-05,Trentino-Alto Adige,129
2024-02-05,Umbria,99
