settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-08,Abruzzo,Google Ads,RND_IT_GOOGLE_DISPLAY,26.66,4405,27,0
2024-01-08,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,30.64,1002,88,0
2024-01-08,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,66.02,1201,58,1
2024-01-08,Abruzzo,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,33.01,692,30,1
2024-01-08,Basilicata,Google Ads,RND_IT_GOOGLE_DISPLAY,9.16,1532,8,0
2024-01-08,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,18.54,629,49,0
2024-01-08,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,35.57,641,33,1
2024-01-08,Basilicata,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,19.82,418,19,1
2024-01-08,Calabria,Google Ads,RND_IT_GOOGLE_DISPLAY,43.54,7551,43,1
2024-01-08,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,52.74,1765,127,2
2024-01-08,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,82.57,1531,78,3
2024-01-08,Calabria,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,33.79,727,35,2
2024-01-08,Campania,Google Ads,RND_IT_GOOGLE_DISPLAY,155.33,25956,155,2
2024-01-08,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,127.69,4199,357,5
2024-01-08,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,412.15,7735,397,14
2024-01-08,Campania,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,192.99,3887,152,11
2024-01-08,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_DISPLAY,124.55,20876,139,2
2024-01-08,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,151.31,4885,357,8
2024-01-08,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,170.79,3097,143,7
2024-01-08,Emilia-Romagna,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,108.81,2437,102,6
2024-01-08,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_DISPLAY,34.28,5778,37,1
2024-01-08,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,22.53,757,57,1
2024-01-08,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,63.80,1152,57,3
2024-01-08,Friuli-Venezia Giulia,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,26.38,541,25,2
2024-01-08,Lazio,Google Ads,RND_IT_GOOGLE_DISPLAY,123.10,21287,128,2
2024-01-08,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,89.42,2872,208,4
2024-01-08,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,328.08,6059,299,14
2024-01-08,Lazio,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,240.39,4955,232,14
2024-01-08,Liguria,Google Ads,RND_IT_GOOGLE_DISPLAY,19.69,3244,20,0
2024-01-08,Liguria,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,34.38,1161,97,2
2024-01-08,Liguria,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,74.10,1337,69,3
2024-01-08,Liguria,Google Ads,RND_IT_GOOGLE_SEARCH_LOCALE,35.30,709,30,2
2024-01-08,Lombardia,Google Ads,RND_IT_GOOGLE_DISPLAY,279.34,44596,266,4
2024-01-08,Lombardia,Google Ads,RND_IT_GOOGLE_SEARCH_BRAND,295.31,10619,791,10
2024-01-08,Lombardia,Google Ads,RND_IT_GOOGLE_SEARCH_GENERICA,719.94,12956,693,22
