settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_DISPLAY_RETE,13.45,2337,12,0
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,9.64,1068,18,1
2024-01-01,Abruzzo,Indeed,RND_IT_INDEED_SPONSORED_JOBS,72.81,3440,134,6
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_DISPLAY_RETE,4.04,659,3,0
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,4.64,527,10,0
2024-01-01,Basilicata,Indeed,RND_IT_INDEED_SPONSORED_JOBS,18.50,843,32,1
2024-01-01,Calabria,Indeed,RND_IT_INDEED_DISPLAY_RETE,15.68,2711,12,1
2024-01-01,Calabria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,19.67,2012,33,2
2024-01-01,Calabria,Indeed,RND_IT_INDEED_SPONSORED_JOBS,108.32,4942,215,8
2024-01-01,Campania,Indeed,RND_IT_INDEED_DISPLAY_RETE,63.00,10576,48,2
2024-01-01,Campania,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,23.93,2615,48,2
2024-01-01,Campania,Indeed,RND_IT_INDEED_SPONSORED_JOBS,158.11,6819,287,11
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_DISPLAY_RETE,25.46,4216,22,1
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,38.16,4525,83,2
2024-01-01,Emilia-Romagna,Indeed,RND_IT_INDEED_SPONSORED_JOBS,230.72,10296,446,14
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_DISPLAY_RETE,10.83,1777,10,0
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,6.92,804,16,1
2024-01-01,Friuli-Venezia Giulia,Indeed,RND_IT_INDEED_SPONSORED_JOBS,46.12,2211,87,4
2024-01-01,Lazio,Indeed,RND_IT_INDEED_DISPLAY_RETE,64.77,10717,57,3
2024-01-01,Lazio,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,55.51,5893,110,4
2024-01-01,Lazio,Indeed,RND_IT_INDEED_SPONSORED_JOBS,186.06,8057,329,13
2024-01-01,Liguria,Indeed,RND_IT_INDEED_DISPLAY_RETE,12.78,2120,11,0
2024-01-01,Liguria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,9.63,1019,21,1
2024-01-01,Liguria,Indeed,RND_IT_INDEED_SPONSORED_JOBS,40.45,1823,79,3
2024-01-01,Lombardia,Indeed,RND_IT_INDEED_DISPLAY_RETE,107.81,17220,95,6
2024-01-01,Lombardia,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,60.77,6447,109,6
2024-01-01,Lombardia,Indeed,RND_IT_INDEED_SPONSORED_JOBS,439.41,19814,766,48
2024-01-01,Marche,Indeed,RND_IT_INDEED_DISPLAY_RETE,12.93,2141,10,1
2024-01-01,Marche,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,9.93,1075,21,2
2024-01-01,Marche,Indeed,RND_IT_INDEED_SPONSORED_JOBS,33.20,1519,67,6
2024-01-01,Molise,Indeed,RND_IT_INDEED_DISPLAY_RETE,2.80,467,2,0
2024-01-01,Molise,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,2.99,332,6,0
2024-01-01,Molise,Indeed,RND_IT_INDEED_SPONSORED_JOBS,7.50,345,15,1
2024-01-01,Piemonte,Indeed,RND_IT_INDEED_DISPLAY_RETE,43.10,6914,32,3
2024-01-01,Piemonte,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,34.50,3934,74,5
2024-01-01,Piemonte,Indeed,RND_IT_INDEED_SPONSORED_JOBS,123.41,5511,246,17
2024-01-01,Puglia,Indeed,RND_IT_INDEED_DISPLAY_RETE,53.55,8800,44,3
2024-01-01,Puglia,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,40.54,4650,79,5
2024-01-01,Puglia,Indeed,RND_IT_INDEED_SPONSORED_JOBS,97.42,4537,198,12
2024-01-01,Sardegna,Indeed,RND_IT_INDEED_DISPLAY_RETE,12.18,2004,10,0
2024-01-01,Sardegna,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,13.22,1550,27,1
2024-01-01,Sardegna,Indeed,RND_IT_INDEED_SPONSORED_JOBS,89.10,3968,144,7
2024-01-01,Sicilia,Indeed,RND_IT_INDEED_DISPLAY_RETE,52.27,8362,44,2
2024-01-01,Sicilia,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,30.15,3489,66,2
2024-01-01,Sicilia,Indeed,RND_IT_INDEED_SPONSORED_JOBS,181.56,8383,330,12
2024-01-01,Toscana,Indeed,RND_IT_INDEED_DISPLAY_RETE,42.06,7264,31,2
2024-01-01,Toscana,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,42.18,4359,83,4
2024-01-01,Toscana,Indeed,RND_IT_INDEED_SPONSORED_JOBS,145.84,6311,216,14
2024-01-01,Trentino-Alto Adige,Indeed,RND_IT_INDEED_DISPLAY_RETE,8.58,1430,7,0
2024-01-01,Trentino-Alto Adige,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,13.27,1454,24,1
2024-01-01,Trentino-Alto Adige,Indeed,RND_IT_INDEED_SPONSORED_JOBS,44.41,1969,70,5
2024-01-01,Umbria,Indeed,RND_IT_INDEED_DISPLAY_RETE,5.58,883,5,0
2024-01-01,Umbria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,7.70,820,14,0
2024-01-01,Umbria,Indeed,RND_IT_INDEED_SPONSORED_JOBS,29.03,1258,48,2
2024-01-01,Valle d'Aosta,Indeed,RND_IT_INDEED_DISPLAY_RETE,1.13,191,1,0
2024-01-01,Valle d'Aosta,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,0.84,100,2,0
2024-01-01,Valle d'Aosta,Indeed,RND_IT_INDEED_SPONSORED_JOBS,5.91,270,12,0
2024-01-01,Veneto,Indeed,RND_IT_INDEED_DISPLAY_RETE,55.35,9030,45,3
2024-01-01,Veneto,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,61.67,6777,130,8
2024-01-01,Veneto,Indeed,RND_IT_INDEED_SPONSORED_JOBS,169.00,7740,317,19
2024-01-08,Abruzzo,Indeed,RND_IT_INDEED_DISPLAY_RETE,13.48,2157,11,1
2024-01-08,Abruzzo,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,13.83,1503,29,1
2024-01-08,Abruzzo,Indeed,RND_IT_INDEED_SPONSORED_JOBS,81.10,3635,154,5
2024-01-08,Basilicata,Indeed,RND_IT_INDEED_DISPLAY_RETE,4.25,706,4,0
2024-01-08,Basilicata,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,5.75,654,13,0
2024-01-08,Basilicata,Indeed,RND_IT_INDEED_SPONSORED_JOBS,20.36,931,37,1
2024-01-08,Calabria,Indeed,RND_IT_INDEED_DISPLAY_RETE,17.25,3026,18,1
2024-01-08,Calabria,Indeed,RND_IT_INDEED_RETARGETING_CANDIDATI,25.64,2829,51,2
