settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,5.86,491,14,1
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,1.32,161,3,0
2024-01-01,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,3.29,229,6,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,2.50,202,7,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,0.74,90,2,0
2024-01-01,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.71,130,3,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.32,718,23,1
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,1.82,220,4,0
2024-01-01,Calabria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.48,398,13,0
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,27.21,2253,67,2
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_RETARGETING,9.50,1220,24,1
2024-01-01,Campania,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,12.05,883,27,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,27.70,2169,67,3
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_RETARGETING,5.90,754,15,1
2024-01-01,Emilia-Romagna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,8.32,596,20,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,5.91,488,13,1
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_RETARGETING,1.29,162,3,0
2024-01-01,Friuli-Venezia Giulia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.57,182,5,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,56.84,4825,161,4
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_RETARGETING,5.80,749,16,0
2024-01-01,Lazio,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,12.79,869,25,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,5.38,437,13,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_RETARGETING,1.83,236,4,0
2024-01-01,Liguria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.61,195,6,0
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,45.00,3586,108,4
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_RETARGETING,12.99,1617,30,1
2024-01-01,Lombardia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,20.62,1490,38,1
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.28,685,21,1
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_RETARGETING,2.28,280,6,0
2024-01-01,Marche,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,4.65,330,9,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,0.94,83,2,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_RETARGETING,0.36,48,1,0
2024-01-01,Molise,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.77,57,2,0
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,18.14,1576,47,3
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_RETARGETING,3.56,442,7,1
2024-01-01,Piemonte,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,13.27,955,25,1
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,11.40,987,33,1
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_RETARGETING,3.73,471,9,1
2024-01-01,Puglia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,10.27,706,19,1
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,6.85,589,18,1
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_RETARGETING,2.24,281,5,0
2024-01-01,Sardegna,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.92,137,4,0
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,16.32,1353,39,2
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_RETARGETING,6.03,761,17,1
2024-01-01,Sicilia,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,13.15,926,25,1
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,17.34,1421,42,1
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_RETARGETING,5.49,697,14,0
2024-01-01,Toscana,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,14.72,1038,30,0
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,8.60,722,24,1
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_RETARGETING,0.96,114,2,0
2024-01-01,Trentino-Alto Adige,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.72,129,4,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,3.07,262,9,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_RETARGETING,0.78,95,2,0
2024-01-01,Umbria,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,1.43,104,3,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,0.78,63,2,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_RETARGETING,0.18,23,0,0
2024-01-01,Valle d'Aosta,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,0.28,20,1,0
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,18.22,1509,46,2
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_RETARGETING,6.85,841,16,1
2024-01-01,Veneto,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,15.68,1161,30,1
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,6.24,542,15,1
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_RETARGETING,2.33,289,6,0
2024-01-08,Abruzzo,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,5.01,365,10,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,2.59,221,7,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_RETARGETING,0.92,109,2,0
2024-01-08,Basilicata,Jooble,RND_IT_JOOBLE_SPONSORED_FEED,2.86,209,6,0
2024-01-08,Calabria,Jooble,RND_IT_JOOBLE_CPC_ANNUNCI,9.43,809,23,1
2024-01-08,Calabria,Jooble,RND_IT_JOOBLE_RETARGETING,2.37,295,6,0
