settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,19.62,562,5,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,40.22,1469,9,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,8.34,470,2,0
2024-01-01,Abruzzo,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,16.56,698,3,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,12.12,334,3,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,14.75,512,3,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,4.62,264,1,0
2024-01-01,Basilicata,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,4.68,182,1,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,24.43,676,5,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,58.23,2049,12,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,17.20,983,3,0
2024-01-01,Calabria,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,17.98,764,3,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,85.75,2535,23,1
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,225.88,8024,48,1
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,49.44,2603,9,0
2024-01-01,Campania,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,60.21,2562,9,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,84.01,2506,21,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,154.45,5643,34,1
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,27.57,1606,5,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,41.89,1677,9,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,28.74,850,9,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,35.92,1290,8,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,7.08,381,1,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,17.71,721,3,0
2024-01-01,Lazio,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,88.16,2560,20,1
2024-01-01,Lazio,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,147.51,5327,36,1
2024-01-01,Lazio,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,60.88,3447,11,0
2024-01-01,Lazio,LinkedIn Ads,RND_IT_LINKEDIN_VIDEO_EMPLOYER,79.92,3443,16,0
2024-01-01,Liguria,LinkedIn Ads,RND_IT_LINKEDIN_LEAD_GEN_FORMS,34.12,1013,8,0
2024-01-01,Liguria,LinkedIn Ads,RND_IT_LINKEDIN_SPONSORED_CONTENT,88.55,3246,20,0
2024-01-01,Liguria,LinkedIn Ads,RND_IT_LINKEDIN_TEXT_ADS,15.67,883,3,0
