settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,15.88,2177,28,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,44.24,4792,59,2
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_PROSPECTING_DABA,24.93,3192,50,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_RETARGETING_SITO,12.97,1474,32,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_VIDEO_REELS,18.11,3560,33,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,5.84,847,11,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,12.65,1442,18,1
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_PROSPECTING_DABA,13.46,1809,25,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_RETARGETING_SITO,5.93,687,16,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_VIDEO_REELS,7.23,1533,13,0
2024-01-01,Calabria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,22.77,3196,36,1
2024-01-01,Calabria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,65.93,7526,86,3
2024-01-01,Calabria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,35.25,4673,62,2
2024-01-01,Calabria,Meta Ads,AZ_IT_META_RETARGETING_SITO,24.42,2791,60,2
2024-01-01,Calabria,Meta Ads,AZ_IT_META_VIDEO_REELS,22.96,4753,45,1
2024-01-01,Campania,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,43.15,6139,78,2
2024-01-01,Campania,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,219.60,24206,300,14
2024-01-01,Campania,Meta Ads,AZ_IT_META_PROSPECTING_DABA,148.20,19575,315,8
2024-01-01,Campania,Meta Ads,AZ_IT_META_RETARGETING_SITO,80.88,10053,191,8
2024-01-01,Campania,Meta Ads,AZ_IT_META_VIDEO_REELS,74.27,14720,145,4
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,45.81,6869,97,2
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,149.78,16347,196,7
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_PROSPECTING_DABA,125.44,17347,237,5
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_RETARGETING_SITO,39.14,4708,107,3
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_VIDEO_REELS,35.47,7239,69,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,15.10,2164,27,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,37.83,4204,54,2
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,23.22,3203,42,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_RETARGETING_SITO,19.19,2235,51,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_VIDEO_REELS,18.04,3632,27,1
2024-01-01,Lazio,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,78.58,11139,142,3
2024-01-01,Lazio,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,221.81,24613,284,11
2024-01-01,Lazio,Meta Ads,AZ_IT_META_PROSPECTING_DABA,135.35,17548,239,4
2024-01-01,Lazio,Meta Ads,AZ_IT_META_RETARGETING_SITO,97.84,12004,257,8
2024-01-01,Lazio,Meta Ads,AZ_IT_META_VIDEO_REELS,66.19,13930,124,3
2024-01-01,Liguria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,19.69,2773,37,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,66.59,7538,103,3
2024-01-01,Liguria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,38.82,5245,71,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_RETARGETING_SITO,21.44,2449,61,2
2024-01-01,Liguria,Meta Ads,AZ_IT_META_VIDEO_REELS,24.03,4787,40,1
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,91.97,13387,160,3
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,209.26,21618,266,7
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,320.29,40701,620,8
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_RETARGETING_SITO,131.64,15333,325,7
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_VIDEO_REELS,159.12,32038,302,4
2024-01-01,Marche,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,17.70,2461,33,1
2024-01-01,Marche,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,46.03,5002,59,2
