settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Subito Lavoro,RND_IT_SUBITO_RETARGETING,1.96,275,3,0
2024-01-01,Abruzzo,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,9.37,901,11,1
2024-01-01,Abruzzo,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,10.92,834,16,1
2024-01-01,Basilicata,Subito Lavoro,RND_IT_SUBITO_RETARGETING,1.14,160,2,0
2024-01-01,Basilicata,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,4.00,361,5,0
2024-01-01,Basilicata,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,2.59,208,3,0
2024-01-01,Calabria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,3.28,487,6,0
2024-01-01,Calabria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,15.95,1524,22,2
2024-01-01,Calabria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,7.95,590,10,1
2024-01-01,Campania,Subito Lavoro,RND_IT_SUBITO_RETARGETING,15.56,2289,30,1
2024-01-01,Campania,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,20.85,1840,28,1
2024-01-01,Campania,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,35.09,2680,46,2
2024-01-01,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_RETARGETING,13.20,1828,23,1
2024-01-01,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,29.34,2796,41,2
2024-01-01,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,19.84,1512,27,2
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,1.67,255,3,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,5.82,558,7,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,5.15,394,8,0
2024-01-01,Lazio,Subito Lavoro,RND_IT_SUBITO_RETARGETING,10.52,1495,21,1
2024-01-01,Lazio,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,32.50,3136,48,2
2024-01-01,Lazio,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,13.24,998,17,1
2024-01-01,Liguria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,2.43,340,4,0
2024-01-01,Liguria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,15.44,1469,22,1
2024-01-01,Liguria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,4.80,369,6,0
2024-01-01,Lombardia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,18.48,2594,34,1
2024-01-01,Lombardia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,115.78,10660,152,9
2024-01-01,Lombardia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,42.82,3367,59,4
2024-01-01,Marche,Subito Lavoro,RND_IT_SUBITO_RETARGETING,3.38,461,6,0
2024-01-01,Marche,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,11.90,1088,17,1
2024-01-01,Marche,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,5.17,397,6,1
2024-01-01,Molise,Subito Lavoro,RND_IT_SUBITO_RETARGETING,0.58,81,1,0
2024-01-01,Molise,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,1.38,127,2,0
2024-01-01,Molise,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,1.09,85,2,0
2024-01-01,Piemonte,Subito Lavoro,RND_IT_SUBITO_RETARGETING,8.04,1210,15,0
2024-01-01,Piemonte,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,28.38,2509,35,2
2024-01-01,Piemonte,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,18.32,1452,29,1
2024-01-01,Puglia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,5.68,837,11,0
2024-01-01,Puglia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,43.94,3990,54,2
2024-01-01,Puglia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,14.80,1125,22,1
2024-01-01,Sardegna,Subito Lavoro,RND_IT_SUBITO_RETARGETING,4.07,584,7,0
2024-01-01,Sardegna,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,12.14,1141,15,1
2024-01-01,Sardegna,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,10.78,785,14,1
2024-01-01,Sicilia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,7.80,1154,13,1
2024-01-01,Sicilia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,29.68,2851,39,2
2024-01-01,Sicilia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,15.89,1206,19,1
2024-01-01,Toscana,Subito Lavoro,RND_IT_SUBITO_RETARGETING,7.59,1073,14,1
2024-01-01,Toscana,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,33.88,3064,45,3
2024-01-01,Toscana,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,17.55,1299,21,2
2024-01-01,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_RETARGETING,3.20,464,6,0
2024-01-01,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,8.21,743,9,1
2024-01-01,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,5.64,447,8,0
2024-01-01,Umbria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,1.67,243,3,0
2024-01-01,Umbria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,4.05,388,5,0
2024-01-01,Umbria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,3.36,258,4,0
2024-01-01,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_RETARGETING,0.26,39,0,0
2024-01-01,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,0.85,78,1,0
2024-01-01,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,0.46,36,1,0
2024-01-01,Veneto,Subito Lavoro,RND_IT_SUBITO_RETARGETING,8.77,1283,16,1
2024-01-01,Veneto,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,23.66,2107,29,1
2024-01-01,Veneto,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,12.93,1012,16,1
2024-01-08,Abruzzo,Subito Lavoro,RND_IT_SUBITO_RETARGETING,2.73,374,4,0
2024-01-08,Abruzzo,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,9.23,872,13,1
2024-01-08,Abruzzo,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,12.65,1005,16,1
2024-01-08,Basilicata,Subito Lavoro,RND_IT_SUBITO_RETARGETING,1.67,249,3,0
2024-01-08,Basilicata,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,4.21,384,5,0
2024-01-08,Basilicata,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,4.06,321,5,0
2024-01-08,Calabria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,4.34,616,8,1
2024-01-08,Calabria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,17.47,1614,22,2
2024-01-08,Calabria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,11.71,870,15,2
2024-01-08,Campania,Subito Lavoro,RND_IT_SUBITO_RETARGETING,21.11,2958,37,2
2024-01-08,Campania,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,21.08,1912,26,1
2024-01-08,Campania,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,45.51,3409,63,4
2024-01-08,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_RETARGETING,19.47,2561,29,2
2024-01-08,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,34.84,3228,47,3
2024-01-08,Emilia-Romagna,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,28.28,2170,38,3
2024-01-08,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,2.35,319,4,0
2024-01-08,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,7.08,624,9,1
2024-01-08,Friuli-Venezia Giulia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,8.10,652,12,1
2024-01-08,Lazio,Subito Lavoro,RND_IT_SUBITO_RETARGETING,16.40,2366,27,1
2024-01-08,Lazio,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,28.43,2571,34,3
2024-01-08,Lazio,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,19.61,1443,26,2
2024-01-08,Liguria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,3.46,485,6,0
2024-01-08,Liguria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,17.37,1586,23,1
2024-01-08,Liguria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,7.69,591,11,1
2024-01-08,Lombardia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,27.24,3769,48,2
2024-01-08,Lombardia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,136.12,12209,171,11
2024-01-08,Lombardia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,65.06,5103,79,5
2024-01-08,Marche,Subito Lavoro,RND_IT_SUBITO_RETARGETING,5.25,756,8,1
2024-01-08,Marche,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,12.30,1146,15,1
2024-01-08,Marche,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,7.29,554,9,1
2024-01-08,Molise,Subito Lavoro,RND_IT_SUBITO_RETARGETING,0.81,116,1,0
2024-01-08,Molise,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,1.29,124,2,0
2024-01-08,Molise,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,1.76,142,2,0
2024-01-08,Piemonte,Subito Lavoro,RND_IT_SUBITO_RETARGETING,13.15,1859,22,1
2024-01-08,Piemonte,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,31.07,2889,43,2
2024-01-08,Piemonte,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,26.07,1961,33,2
2024-01-08,Puglia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,9.76,1309,20,1
2024-01-08,Puglia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,43.54,3953,54,3
2024-01-08,Puglia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,19.41,1475,23,2
2024-01-08,Sardegna,Subito Lavoro,RND_IT_SUBITO_RETARGETING,5.64,791,10,0
2024-01-08,Sardegna,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,13.08,1175,16,1
2024-01-08,Sardegna,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,16.01,1253,23,1
2024-01-08,Sicilia,Subito Lavoro,RND_IT_SUBITO_RETARGETING,9.83,1350,16,1
2024-01-08,Sicilia,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,32.26,2772,40,2
2024-01-08,Sicilia,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,24.71,1880,35,2
2024-01-08,Toscana,Subito Lavoro,RND_IT_SUBITO_RETARGETING,8.13,1174,15,1
2024-01-08,Toscana,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,29.46,2615,34,3
2024-01-08,Toscana,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,22.34,1744,28,3
2024-01-08,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_RETARGETING,4.54,635,7,1
2024-01-08,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,8.61,775,11,1
2024-01-08,Trentino-Alto Adige,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,7.54,603,10,1
2024-01-08,Umbria,Subito Lavoro,RND_IT_SUBITO_RETARGETING,2.34,327,4,0
2024-01-08,Umbria,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,4.15,386,6,0
2024-01-08,Umbria,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,5.11,388,6,1
2024-01-08,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_RETARGETING,0.35,52,1,0
2024-01-08,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_SLOT_PREMIUM,0.76,67,1,0
2024-01-08,Valle d'Aosta,Subito Lavoro,RND_IT_SUBITO_SPONSORED_ANNUNCI,0.72,51,1,0
