settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,0.0
2024-01-01,Basilicata,Google Ads,0.0
2024-01-01,Calabria,Google Ads,0.0
2024-01-01,Campania,Google Ads,0.0
2024-01-01,Emilia-Romagna,Google Ads,0.0
2024-01-01,Friuli-Venezia Giulia,Google Ads,0.0
2024-01-01,Lazio,Google Ads,0.0
2024-01-01,Liguria,Google Ads,0.0
2024-01-01,Lombardia,Google Ads,0.0
2024-01-01,Marche,Google Ads,0.0
2024-01-01,Molise,Google Ads,0.0
2024-01-01,Piemonte,Google Ads,0.0
2024-01-01,Puglia,Google Ads,0.0
2024-01-01,Sardegna,Google Ads,0.0
2024-01-01,Sicilia,Google Ads,0.0
2024-01-01,Toscana,Google Ads,0.0
2024-01-01,Trentino-Alto Adige,Google Ads,0.0
2024-01-01,Umbria,Google Ads,0.0
2024-01-01,Valle d'Aosta,Google Ads,0.0
2024-01-01,Veneto,Google Ads,0.0
2024-01-08,Abruzzo,Google Ads,2.288
2024-01-08,Basilicata,Google Ads,1.36
2024-01-08,Calabria,Google Ads,5.961
2024-01-08,Campania,Google Ads,26.858
2024-01-08,Emilia-Romagna,Google Ads,20.051
2024-01-08,Friuli-Venezia Giulia,Google Ads,5.707
2024-01-08,Lazio,Google Ads,29.009
2024-01-08,Liguria,Google Ads,5.987
2024-01-08,Lombardia,Google Ads,39.363
2024-01-08,Marche,Google Ads,4.631
2024-01-08,Molise,Google Ads,1.862
2024-01-08,Piemonte,Google Ads,15.308
2024-01-08,Puglia,Google Ads,12.731
2024-01-08,Sardegna,Google Ads,5.031
2024-01-08,Sicilia,Google Ads,23.185
2024-01-08,Toscana,Google Ads,15.12
2024-01-08,Trentino-Alto Adige,Google Ads,2.89
2024-01-08,Umbria,Google Ads,3.834
2024-01-08,Valle d'Aosta,Google Ads,0.473
2024-01-08,Veneto,Google Ads,14.281
2024-01-15,Abruzzo,Google Ads,2.954
2024-01-15,Basilicata,Google Ads,1.854
2024-01-15,Calabria,Google Ads,9.233
2024-01-15,Campania,Google Ads,32.801
2024-01-15,Emilia-Romagna,Google Ads,25.715
2024-01-15,Friuli-Venezia Giulia,Google Ads,7.136
2024-01-15,Lazio,Google Ads,36.926
2024-01-15,Liguria,Google Ads,8.192
2024-01-15,Lombardia,Google Ads,49.69
2024-01-15,Marche,Google Ads,5.873
2024-01-15,Molise,Google Ads,2.372
2024-01-15,Piemonte,Google Ads,20.188
2024-01-15,Puglia,Google Ads,16.028
2024-01-15,Sardegna,Google Ads,7.008
2024-01-15,Sicilia,Google Ads,32.819
2024-01-15,Toscana,Google Ads,17.515
2024-01-15,Trentino-Alto Adige,Google Ads,4.6
2024-01-15,Umbria,Google Ads,4.639
2024-01-15,Valle d'Aosta,Google Ads,0.682
2024-01-15,Veneto,Google Ads,20.084
2024-01-22,Abruzzo,Google Ads,4.175
2024-01-22,Basilicata,Google Ads,2.149
2024-01-22,Calabria,Google Ads,10.34
2024-01-22,Campania,Google Ads,39.846
2024-01-22,Emilia-Romagna,Google Ads,29.884
2024-01-22,Friuli-Venezia Giulia,Google Ads,9.72
2024-01-22,Lazio,Google Ads,44.842
2024-01-22,Liguria,Google Ads,10.353
2024-01-22,Lombardia,Google Ads,55.238
2024-01-22,Marche,Google Ads,6.343
2024-01-22,Molise,Google Ads,2.929
2024-01-22,Piemonte,Google Ads,24.013
2024-01-22,Puglia,Google Ads,19.9
2024-01-22,Sardegna,Google Ads,8.074
2024-01-22,Sicilia,Google Ads,38.541
2024-01-22,Toscana,Google Ads,23.262
2024-01-22,Trentino-Alto Adige,Google Ads,5.187
2024-01-22,Umbria,Google Ads,5.998
2024-01-22,Valle d'Aosta,Google Ads,0.684
2024-01-22,Veneto,Google Ads,23.016
2024-01-29,Abruzzo,Google Ads,4.083
2024-01-29,Basilicata,Google Ads,2.652
2024-01-29,Calabria,Google Ads,11.629
2024-01-29,Campania,Google Ads,41.8
2024-01-29,Emilia-Romagna,Google Ads,35.519
2024-01-29,Friuli-Venezia Giulia,Google Ads,11.735
2024-01-29,Lazio,Google Ads,54.718
2024-01-29,Liguria,Google Ads,11.644
2024-01-29,Lombardia,Google Ads,54.583
2024-01-29,Marche,Google Ads,7.31
2024-01-29,Molise,Google Ads,3.323
2024-01-29,Piemonte,Google Ads,30.239
2024-01-29,Puglia,Google Ads,22.414
2024-01-29,Sardegna,Google Ads,9.323
2024-01-29,Sicilia,Google Ads,47.849
2024-01-29,Toscana,Google Ads,26.697
2024-01-29,Trentino-Alto Adige,Google Ads,5.591
2024-01-29,Umbria,Google Ads,6.563
2024-01-29,Valle d'Aosta,Google Ads,0.887
2024-01-29,Veneto,Google Ads,25.497
2024-02-05,Abruzzo,Google Ads,3.773
2024-02-05,Basilicata,Google Ads,2.004
2024-02-05,Calabria,Google Ads,9.155
2024-02-05,Campania,Google Ads,34.453
2024-02-05,Emilia-Romagna,Google Ads,29.146
2024-02-05,Friuli-Venezia Giulia,Google Ads,9.573
2024-02-05,Lazio,Google Ads,48.664
2024-02-05,Liguria,Google Ads,11.182
2024-02-05,Lombardia,Google Ads,46.301
2024-02-05,Marche,Google Ads,6.157
2024-02-05,Molise,Google Ads,2.616
2024-02-05,Piemonte,Google Ads,26.339
2024-02-05,Puglia,Google Ads,19.748
2024-02-05,Sardegna,Google Ads,7.871
2024-02-05,Sicilia,Google Ads,44.403
2024-02-05,Toscana,Google Ads,19.879
2024-02-05,Trentino-Alto Adige,Google Ads,5.21
2024-02-05,Umbria,Google Ads,5.831
2024-02-05,Valle d'Aosta,Google Ads,0.723
2024-02-05,Veneto,Google Ads,20.825
2024-02-12,Abruzzo,Google Ads,4.289
2024-02-12,Basilicata,Google Ads,2.543
