settimana,regione,candidature
2024-01-01,Abruzzo,130
2024-01-01,Basilicata,67
2024-01-01,Calabria,199
2024-01-01,Campania,601
2024-01-01,Emilia-Romagna,370
2024-01-01,Friuli-Venezia Giulia,121
2024-01-01,Lazio,845
2024-01-01,Liguria,106
2024-01-01,Lombardia,1009
2024-01-01,Marche,201
2024-01-01,Molise,27
2024-01-01,Piemonte,412
2024-01-01,Puglia,375
2024-01-01,Sardegna,199
2024-01-01,Sicilia,390
2024-01-01,Toscana,360
2024-01-01,Trentino-Alto Adige,126
2024-01-01,Umbria,85
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,514
2024-01-08,Abruzzo,215
2024-01-08,Basilicata,64
2024-01-08,Calabria,178
2024-01-08,Campania,564
2024-01-08,Emilia-Romagna,418
2024-01-08,Friuli-Venezia Giulia,174
2024-01-08,Lazio,892
2024-01-08,Liguria,235
2024-01-08,Lombardia,1302
2024-01-08,Marche,255
2024-01-08,Molise,20
2024-01-08,Piemonte,545
2024-01-08,Puglia,425
2024-01-08,Sardegna,178
2024-01-08,Sicilia,492
2024-01-08,Toscana,360
2024-01-08,Trentino-Alto Adige,103
2024-01-08,Umbria,74
2024-01-08,Valle d'Aosta,10
2024-01-08,Veneto,587
2024-01-15,Abruzzo,168
2024-01-15,Basilicata,86
2024-01-15,Calabria,232
2024-01-15,Campania,774
2024-01-15,Emilia-Romagna,443
2024-01-15,Friuli-Venezia Giulia,134
2024-01-15,Lazio,1022
2024-01-15,Liguria,220
2024-01-15,Lombardia,1318
2024-01-15,Marche,269
2024-01-15,Molise,33
2024-01-15,Piemonte,471
2024-01-15,Puglia,503
2024-01-15,Sardegna,233
2024-01-15,Sicilia,463
2024-01-15,Toscana,373
2024-01-15,Trentino-Alto Adige,166
2024-01-15,Umbria,103
2024-01-15,Valle d'Aosta,21
2024-01-15,Veneto,752
2024-01-22,Abruzzo,140
2024-01-22,Basilicata,62
2024-01-22,Calabria,169
2024-01-22,Campania,741
2024-01-22,Emilia-Romagna,527
2024-01-22,Friuli-Venezia Giulia,144
2024-01-22,Lazio,999
2024-01-22,Liguria,192
2024-01-22,Lombardia,1252
2024-01-22,Marche,227
2024-01-22,Molise,33
2024-01-22,Piemonte,512
2024-01-22,Puglia,453
2024-01-22,Sardegna,206
2024-01-22,Sicilia,572
2024-01-22,Toscana,359
2024-01-22,Trentino-Alto Adige,138
2024-01-22,Umbria,99
2024-01-22,Valle d'Aosta,6
2024-01-22,Veneto,644
2024-01-29,Abruzzo,144
2024-01-29,Basilicata,82
2024-01-29,Calabria,231
