settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_DISPLAY,31.96,5304,32,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,27.60,920,73,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,95.81,1772,90,1
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,36.95,740,34,1
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_DISPLAY,11.26,1845,12,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,22.18,748,61,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,51.58,915,46,1
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,23.73,487,22,1
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_DISPLAY,55.25,8969,59,1
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,54.20,1783,139,2
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,103.85,1813,95,3
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,48.04,1014,41,3
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_DISPLAY,184.25,30690,168,2
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,144.10,4849,380,5
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,522.91,9216,495,16
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,244.20,4889,215,11
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_DISPLAY,145.11,25207,146,2
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,164.36,5451,424,8
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,238.96,4382,226,10
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,125.72,2577,117,7
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_DISPLAY,40.03,6398,34,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,26.68,847,67,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,79.27,1437,76,3
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,34.48,709,30,2
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_DISPLAY,160.36,26686,181,2
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,130.47,4350,285,5
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,390.82,6651,324,16
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,277.47,5792,273,16
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_DISPLAY,24.98,3949,25,0
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,33.53,1081,73,1
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,101.34,1821,109,4
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,44.61,971,46,2
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_DISPLAY,342.71,56416,291,4
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,377.16,11918,848,12
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,789.51,14858,680,23
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,363.45,7504,325,17
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_DISPLAY,28.75,4830,29,0
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,46.04,1541,115,1
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,83.69,1501,72,2
