settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_DISPLAY_RETE,16.81,2919,15,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,12.05,1335,22,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,90.97,4298,167,7
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_DISPLAY_RETE,5.04,824,4,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,5.79,658,13,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,23.12,1053,40,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,19.60,3387,15,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,24.57,2513,41,2
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,135.33,6174,268,10
2024-01-01,Campania,Indeed,AZ_IT_INDEED_DISPLAY_RETE,78.70,13213,61,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,29.89,3267,60,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,197.54,8519,358,13
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,31.81,5267,27,1
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,47.68,5653,103,2
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,288.25,12864,557,17
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,13.53,2220,13,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,8.65,1004,20,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,57.62,2763,109,4
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_DISPLAY_RETE,80.91,13389,71,3
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,69.35,7362,137,6
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,232.44,10066,411,18
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,15.96,2649,14,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,12.03,1273,26,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,50.53,2277,98,3
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,134.70,21514,119,7
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,75.92,8055,136,7
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,548.97,24754,957,45
2024-01-01,Marche,Indeed,AZ_IT_INDEED_DISPLAY_RETE,16.15,2674,13,1
2024-01-01,Marche,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,12.40,1343,26,2
2024-01-01,Marche,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,41.48,1898,83,8
2024-01-01,Molise,Indeed,AZ_IT_INDEED_DISPLAY_RETE,3.50,583,3,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,3.74,415,8,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,9.38,431,18,1
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_DISPLAY_RETE,53.85,8637,40,3
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,43.11,4914,92,6
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,154.18,6885,308,18
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,66.91,10995,55,4
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,50.65,5810,99,6
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,121.71,5668,248,15
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,15.22,2504,12,0
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,16.51,1937,34,1
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,111.31,4958,180,6
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,65.31,10448,55,2
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,37.66,4359,82,2
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,226.83,10474,412,12
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_DISPLAY_RETE,52.55,9076,39,2
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,52.70,5446,103,4
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,182.21,7884,270,14
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_DISPLAY_RETE,10.72,1787,8,0
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,16.58,1817,31,2
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,55.49,2460,87,5
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,6.97,1103,6,0
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.62,1024,17,1
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,36.27,1571,60,2
2024-01-01,Valle d'Aosta,Indeed,AZ_IT_INDEED_DISPLAY_RETE,1.41,239,1,0
2024-01-01,Valle d'Aosta,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,1.05,125,2,0
2024-01-01,Valle d'Aosta,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,7.38,338,15,1
2024-01-01,Veneto,Indeed,AZ_IT_INDEED_DISPLAY_RETE,69.15,11282,57,3
2024-01-01,Veneto,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,77.05,8467,163,8
2024-01-01,Veneto,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,211.14,9670,396,22
2024-01-08,Abruzzo,Indeed,AZ_IT_INDEED_DISPLAY_RETE,16.91,2706,14,0
2024-01-08,Abruzzo,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,17.35,1886,37,1
2024-01-08,Abruzzo,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,101.74,4560,193,6
2024-01-08,Basilicata,Indeed,AZ_IT_INDEED_DISPLAY_RETE,5.33,886,5,0
2024-01-08,Basilicata,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,7.21,820,17,0
2024-01-08,Basilicata,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,25.54,1168,46,1
2024-01-08,Calabria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,21.64,3796,22,1
2024-01-08,Calabria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,32.16,3548,65,2
2024-01-08,Calabria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,152.15,6658,267,10
2024-01-08,Campania,Indeed,AZ_IT_INDEED_DISPLAY_RETE,86.16,14350,73,4
2024-01-08,Campania,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,44.75,5141,83,3
2024-01-08,Campania,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,212.07,9980,428,14
2024-01-08,Emilia-Romagna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,44.72,7314,38,1
2024-01-08,Emilia-Romagna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,73.60,8033,159,3
2024-01-08,Emilia-Romagna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,306.54,14284,578,17
2024-01-08,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,15.50,2638,13,1
2024-01-08,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,11.43,1308,23,1
