settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,8.73,731,21,1
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_RETARGETING,1.96,239,5,0
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,4.90,341,8,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,3.72,301,10,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_RETARGETING,1.11,134,3,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,2.55,194,5,0
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,12.40,1069,34,1
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_RETARGETING,2.71,328,7,0
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,8.16,593,19,0
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,40.54,3357,100,3
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_RETARGETING,14.16,1817,36,1
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,17.96,1315,40,1
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,41.27,3231,100,4
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_RETARGETING,8.78,1123,23,1
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,12.39,887,30,1
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,8.80,727,20,1
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_RETARGETING,1.93,241,5,0
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,3.84,271,7,0
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,84.68,7189,239,5
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_RETARGETING,8.65,1116,24,1
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,19.05,1295,37,0
2024-01-01,Liguria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,8.01,652,20,1
2024-01-01,Liguria,Jooble,AZ_IT_JOOBLE_RETARGETING,2.73,352,6,0
2024-01-01,Liguria,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,3.89,291,9,0
2024-01-01,Lombardia,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,67.04,5343,161,6
2024-01-01,Lombardia,Jooble,AZ_IT_JOOBLE_RETARGETING,19.36,2410,45,2
2024-01-01,Lombardia,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,30.72,2220,56,2
2024-01-01,Marche,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,12.34,1020,31,1
2024-01-01,Marche,Jooble,AZ_IT_JOOBLE_RETARGETING,3.39,417,8,0
2024-01-01,Marche,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,6.93,492,14,0
2024-01-01,Molise,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,1.40,124,4,0
2024-01-01,Molise,Jooble,AZ_IT_JOOBLE_RETARGETING,0.54,71,2,0
2024-01-01,Molise,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,1.15,85,2,0
2024-01-01,Piemonte,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,27.03,2348,70,4
2024-01-01,Piemonte,Jooble,AZ_IT_JOOBLE_RETARGETING,5.30,658,11,1
2024-01-01,Piemonte,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,19.77,1423,37,1
2024-01-01,Puglia,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,16.98,1470,48,3
2024-01-01,Puglia,Jooble,AZ_IT_JOOBLE_RETARGETING,5.56,702,14,1
2024-01-01,Puglia,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,15.31,1053,28,1
2024-01-01,Sardegna,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,10.21,877,27,1
2024-01-01,Sardegna,Jooble,AZ_IT_JOOBLE_RETARGETING,3.34,419,7,0
2024-01-01,Sardegna,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,2.86,204,6,0
2024-01-01,Sicilia,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,24.32,2016,58,2
2024-01-01,Sicilia,Jooble,AZ_IT_JOOBLE_RETARGETING,8.98,1134,26,1
2024-01-01,Sicilia,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,19.59,1380,37,1
2024-01-01,Toscana,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,25.83,2117,63,2
2024-01-01,Toscana,Jooble,AZ_IT_JOOBLE_RETARGETING,8.18,1039,20,1
2024-01-01,Toscana,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,21.93,1547,44,1
2024-01-01,Trentino-Alto Adige,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,12.81,1076,35,1
2024-01-01,Trentino-Alto Adige,Jooble,AZ_IT_JOOBLE_RETARGETING,1.43,170,3,0
2024-01-01,Trentino-Alto Adige,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,2.57,192,5,0
2024-01-01,Umbria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,4.57,390,13,0
2024-01-01,Umbria,Jooble,AZ_IT_JOOBLE_RETARGETING,1.16,142,3,0
2024-01-01,Umbria,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,2.13,155,4,0
2024-01-01,Valle d'Aosta,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,1.17,94,3,0
2024-01-01,Valle d'Aosta,Jooble,AZ_IT_JOOBLE_RETARGETING,0.27,34,1,0
2024-01-01,Valle d'Aosta,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,0.42,31,1,0
2024-01-01,Veneto,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,27.14,2248,68,3
2024-01-01,Veneto,Jooble,AZ_IT_JOOBLE_RETARGETING,10.20,1253,25,1
2024-01-01,Veneto,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,23.36,1730,45,1
2024-01-08,Abruzzo,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,8.15,708,19,1
2024-01-08,Abruzzo,Jooble,AZ_IT_JOOBLE_RETARGETING,3.04,378,8,0
2024-01-08,Abruzzo,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,6.54,478,14,0
2024-01-08,Basilicata,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,3.39,288,9,0
2024-01-08,Basilicata,Jooble,AZ_IT_JOOBLE_RETARGETING,1.20,143,3,0
2024-01-08,Basilicata,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,3.74,273,8,0
2024-01-08,Calabria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,12.33,1058,30,1
2024-01-08,Calabria,Jooble,AZ_IT_JOOBLE_RETARGETING,3.10,386,8,0
2024-01-08,Calabria,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,7.57,551,15,0
2024-01-08,Campania,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,32.91,2538,69,3
2024-01-08,Campania,Jooble,AZ_IT_JOOBLE_RETARGETING,16.98,2146,39,2
2024-01-08,Campania,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,21.71,1559,48,1
