settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,22.60,648,5,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,46.33,1692,10,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,9.61,541,2,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,19.08,804,3,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,13.96,385,3,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,16.99,590,4,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,5.32,304,1,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,5.39,210,1,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,28.13,778,6,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,67.07,2359,14,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,19.81,1132,4,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,20.71,880,3,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,98.77,2919,26,1
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,260.16,9242,56,1
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,56.94,2998,10,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,69.35,2951,11,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,96.76,2886,24,1
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,177.88,6499,40,1
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,31.75,1850,6,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,48.25,1932,10,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,33.10,979,10,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,41.37,1486,9,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,8.15,439,2,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,20.40,831,4,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,101.53,2948,24,1
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,169.89,6136,42,1
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,70.12,3970,13,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,92.05,3966,18,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,39.30,1167,9,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,101.99,3739,24,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,18.05,1017,4,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,18.97,767,4,0
