settimana,regione,ricerche_candidati
2024-01-01,Abruzzo,92
2024-01-01,Basilicata,44
2024-01-01,Calabria,127
2024-01-01,Campania,418
2024-01-01,Emilia-Romagna,338
2024-01-01,Friuli-Venezia Giulia,96
2024-01-01,Lazio,267
2024-01-01,Liguria,95
2024-01-01,Lombardia,824
2024-01-01,Marche,67
2024-01-01,Molise,35
2024-01-01,Piemonte,336
2024-01-01,Puglia,303
2024-01-01,Sardegna,134
2024-01-01,Sicilia,378
2024-01-01,Toscana,315
2024-01-01,Trentino-Alto Adige,94
2024-01-01,Umbria,50
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,430
2024-01-08,Abruzzo,121
2024-01-08,Basilicata,60
2024-01-08,Calabria,133
2024-01-08,Campania,427
2024-01-08,Emilia-Romagna,387
2024-01-08,Friuli-Venezia Giulia,104
2024-01-08,Lazio,522
2024-01-08,Liguria,140
2024-01-08,Lombardia,830
2024-01-08,Marche,175
2024-01-08,Molise,28
2024-01-08,Piemonte,373
2024-01-08,Puglia,217
2024-01-08,Sardegna,121
2024-01-08,Sicilia,303
2024-01-08,Toscana,230
2024-01-08,Trentino-Alto Adige,96
2024-01-08,Umbria,72
2024-01-08,Valle d'Aosta,16
2024-01-08,Veneto,455
2024-01-15,Abruzzo,111
2024-01-15,Basilicata,59
2024-01-15,Calabria,155
2024-01-15,Campania,553
2024-01-15,Emilia-Romagna,388
2024-01-15,Friuli-Venezia Giulia,124
2024-01-15,Lazio,531
2024-01-15,Liguria,122
2024-01-15,Lombardia,913
2024-01-15,Marche,125
2024-01-15,Molise,36
2024-01-15,Piemonte,371
2024-01-15,Puglia,286
2024-01-15,Sardegna,138
2024-01-15,Sicilia,412
2024-01-15,Toscana,338
2024-01-15,Trentino-Alto Adige,96
2024-01-15,Umbria,76
2024-01-15,Valle d'Aosta,27
2024-01-15,Veneto,421
2024-01-22,Abruzzo,43
2024-01-22,Basilicata,40
2024-01-22,Calabria,157
2024-01-22,Campania,512
2024-01-22,Emilia-Romagna,396
2024-01-22,Friuli-Venezia Giulia,105
2024-01-22,Lazio,502
2024-01-22,Liguria,102
2024-01-22,Lombardia,813
2024-01-22,Marche,168
2024-01-22,Molise,22
2024-01-22,Piemonte,388
2024-01-22,Puglia,359
2024-01-22,Sardegna,141
2024-01-22,Sicilia,414
2024-01-22,Toscana,313
2024-01-22,Trentino-Alto Adige,55
2024-01-22,Umbria,87
2024-01-22,Valle d'Aosta,8
2024-01-22,Veneto,419
2024-01-29,Abruzzo,103
2024-01-29,Basilicata,67
2024-01-29,Calabria,129
2024-01-29,Campania,464
2024-01-29,Emilia-Romagna,393
2024-01-29,Friuli-Venezia Giulia,124
2024-01-29,Lazio,478
2024-01-29,Liguria,119
2024-01-29,Lombardia,908
2024-01-29,Marche,137
2024-01-29,Molise,34
2024-01-29,Piemonte,338
2024-01-29,Puglia,327
2024-01-29,Sardegna,133
2024-01-29,Sicilia,481
2024-01-29,Toscana,377
2024-01-29,Trentino-Alto Adige,84
2024-01-29,Umbria,36
2024-01-29,Valle d'Aosta,0
2024-01-29,Veneto,411
2024-02-05,Abruzzo,92
2024-02-05,Basilicata,67
2024-02-05,Calabria,190
2024-02-05,Campania,570
2024-02-05,Emilia-Romagna,399
2024-02-05,Friuli-Venezia Giulia,47
2024-02-05,Lazio,469
2024-02-05,Liguria,95
2024-02-05,Lombardia,913
2024-02-05,Marche,103
2024-02-05,Molise,30
2024-02-05,Piemonte,350
2024-02-05,Puglia,308
2024-02-05,Sardegna,191
2024-02-05,Sicilia,415
2024-02-05,Toscana,297
2024-02-05,Trentino-Alto Adige,81
2024-02-05,Umbria,74
2024-02-05,Valle d'Aosta,19
2024-02-05,Veneto,511
2024-02-12,Abruzzo,97
2024-02-12,Basilicata,36
2024-02-12,Calabria,179
2024-02-12,Campania,493
2024-02-12,Emilia-Romagna,335
2024-02-12,Friuli-Venezia Giulia,64
2024-02-12,Lazio,428
2024-02-12,Liguria,114
2024-02-12,Lombardia,953
2024-02-12,Marche,88
2024-02-12,Molise,28
2024-02-12,Piemonte,381
2024-02-12,Puglia,375
2024-02-12,Sardegna,105
2024-02-12,Sicilia,376
2024-02-12,Toscana,331
2024-02-12,Trentino-Alto Adige,110
2024-02-12,Umbria,72
2024-02-12,Valle d'Aosta,12
2024-02-12,Veneto,448
2024-02-19,Abruzzo,65
2024-02-19,Basilicata,37
2024-02-19,Calabria,133
2024-02-19,Campania,482
2024-02-19,Emilia-Romagna,320
2024-02-19,Friuli-Venezia Giulia,89
2024-02-19,Lazio,476
2024-02-19,Liguria,128
2024-02-19,Lombardia,921
2024-02-19,Marche,187
2024-02-19,Molise,27
2024-02-19,Piemonte,318
2024-02-19,Puglia,347
2024-02-19,Sardegna,133
2024-02-19,Sicilia,426
2024-02-19,Toscana,318
2024-02-19,Trentino-Alto Adige,70
2024-02-19,Umbria,81
2024-02-19,Valle d'Aosta,17
2024-02-19,Veneto,429
2024-02-26,Abruzzo,129
2024-02-26,Basilicata,47
2024-02-26,Calabria,127
2024-02-26,Campania,494
2024-02-26,Emilia-Romagna,379
2024-02-26,Friuli-Venezia Giulia,105
2024-02-26,Lazio,479
2024-02-26,Liguria,120
2024-02-26,Lombardia,892
2024-02-26,Marche,152
2024-02-26,Molise,7
2024-02-26,Piemonte,385
2024-02-26,Puglia,394
2024-02-26,Sardegna,157
2024-02-26,Sicilia,409
2024-02-26,Toscana,313
2024-02-26,Trentino-Alto Adige,89
2024-02-26,Umbria,101
2024-02-26,Valle d'Aosta,9
2024-02-26,Veneto,375
2024-03-04,Abruzzo,107
2024-03-04,Basilicata,32
2024-03-04,Calabria,175
2024-03-04,Campania,434
2024-03-04,Emilia-Romagna,464
2024-03-04,Friuli-Venezia Giulia,122
2024-03-04,Lazio,431
2024-03-04,Liguria,127
2024-03-04,Lombardia,769
2024-03-04,Marche,118
2024-03-04,Molise,42
2024-03-04,Piemonte,300
2024-03-04,Puglia,283
2024-03-04,Sardegna,127
2024-03-04,Sicilia,406
2024-03-04,Toscana,307
2024-03-04,Trentino-Alto Adige,63
2024-03-04,Umbria,24
2024-03-04,Valle d'Aosta,18
2024-03-04,Veneto,424
