settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,2.525
2024-01-01,Basilicata,Google Ads,1.563
2024-01-01,Calabria,Google Ads,6.427
2024-01-01,Campania,Google Ads,29.291
2024-01-01,Emilia-Romagna,Google Ads,22.164
2024-01-01,Friuli-Venezia Giulia,Google Ads,5.961
2024-01-01,Lazio,Google Ads,33.175
2024-01-01,Liguria,Google Ads,6.738
2024-01-01,Lombardia,Google Ads,45.246
2024-01-01,Marche,Google Ads,4.856
2024-01-01,Molise,Google Ads,1.741
2024-01-01,Piemonte,Google Ads,15.886
2024-01-01,Puglia,Google Ads,14.775
2024-01-01,Sardegna,Google Ads,6.389
2024-01-01,Sicilia,Google Ads,27.682
2024-01-01,Toscana,Google Ads,14.499
2024-01-01,Trentino-Alto Adige,Google Ads,3.761
2024-01-01,Umbria,Google Ads,4.052
2024-01-01,Valle d'Aosta,Google Ads,0.569
2024-01-01,Veneto,Google Ads,14.174
2024-01-08,Abruzzo,Google Ads,3.365
2024-01-08,Basilicata,Google Ads,2.008
2024-01-08,Calabria,Google Ads,8.694
2024-01-08,Campania,Google Ads,38.719
2024-01-08,Emilia-Romagna,Google Ads,29.091
2024-01-08,Friuli-Venezia Giulia,Google Ads,8.224
2024-01-08,Lazio,Google Ads,42.764
2024-01-08,Liguria,Google Ads,8.993
2024-01-08,Lombardia,Google Ads,57.293
2024-01-08,Marche,Google Ads,6.816
2024-01-08,Molise,Google Ads,2.611
2024-01-08,Piemonte,Google Ads,22.256
2024-01-08,Puglia,Google Ads,18.654
2024-01-08,Sardegna,Google Ads,7.651
2024-01-08,Sicilia,Google Ads,34.497
2024-01-08,Toscana,Google Ads,21.805
2024-01-08,Trentino-Alto Adige,Google Ads,4.372
2024-01-08,Umbria,Google Ads,5.556
2024-01-08,Valle d'Aosta,Google Ads,0.698
2024-01-08,Veneto,Google Ads,20.559
2024-01-15,Abruzzo,Google Ads,3.543
2024-01-15,Basilicata,Google Ads,2.215
2024-01-15,Calabria,Google Ads,10.885
2024-01-15,Campania,Google Ads,39.066
2024-01-15,Emilia-Romagna,Google Ads,30.599
2024-01-15,Friuli-Venezia Giulia,Google Ads,8.501
2024-01-15,Lazio,Google Ads,44.298
2024-01-15,Liguria,Google Ads,9.905
2024-01-15,Lombardia,Google Ads,59.175
2024-01-15,Marche,Google Ads,7.078
2024-01-15,Molise,Google Ads,2.791
2024-01-15,Piemonte,Google Ads,24.094
2024-01-15,Puglia,Google Ads,19.156
2024-01-15,Sardegna,Google Ads,8.454
2024-01-15,Sicilia,Google Ads,39.173
2024-01-15,Toscana,Google Ads,21.083
2024-01-15,Trentino-Alto Adige,Google Ads,5.464
2024-01-15,Umbria,Google Ads,5.555
2024-01-15,Valle d'Aosta,Google Ads,0.81
2024-01-15,Veneto,Google Ads,23.776
2024-01-22,Abruzzo,Google Ads,4.762
2024-01-22,Basilicata,Google Ads,2.465
2024-01-22,Calabria,Google Ads,11.783
2024-01-22,Campania,Google Ads,45.397
2024-01-22,Emilia-Romagna,Google Ads,34.124
2024-01-22,Friuli-Venezia Giulia,Google Ads,11.032
2024-01-22,Lazio,Google Ads,51.435
2024-01-22,Liguria,Google Ads,11.972
2024-01-22,Lombardia,Google Ads,63.179
2024-01-22,Marche,Google Ads,7.349
2024-01-22,Molise,Google Ads,3.31
2024-01-22,Piemonte,Google Ads,27.516
2024-01-22,Puglia,Google Ads,22.709
2024-01-22,Sardegna,Google Ads,9.328
2024-01-22,Sicilia,Google Ads,44.15
2024-01-22,Toscana,Google Ads,26.706
2024-01-22,Trentino-Alto Adige,Google Ads,5.935
2024-01-22,Umbria,Google Ads,6.852
2024-01-22,Valle d'Aosta,Google Ads,0.785
2024-01-22,Veneto,Google Ads,26.282
2024-01-29,Abruzzo,Google Ads,4.647
2024-01-29,Basilicata,Google Ads,3.005
2024-01-29,Calabria,Google Ads,13.146
2024-01-29,Campania,Google Ads,47.352
2024-01-29,Emilia-Romagna,Google Ads,40.108
2024-01-29,Friuli-Venezia Giulia,Google Ads,13.165
2024-01-29,Lazio,Google Ads,62.042
2024-01-29,Liguria,Google Ads,13.371
2024-01-29,Lombardia,Google Ads,62.187
2024-01-29,Marche,Google Ads,8.395
