settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,2.21,272,5,0
2024-01-01,Abruzzo,Altre job board,AZ_IT_CAREERJET_CPC,1.28,138,4,0
2024-01-01,Abruzzo,Altre job board,AZ_IT_TALENT_COM_FEED,0.83,81,2,0
2024-01-01,Abruzzo,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,1.69,146,3,0
2024-01-01,Basilicata,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,1.30,162,3,0
2024-01-01,Basilicata,Altre job board,AZ_IT_CAREERJET_CPC,0.29,34,1,0
2024-01-01,Basilicata,Altre job board,AZ_IT_TALENT_COM_FEED,0.27,27,1,0
2024-01-01,Basilicata,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,0.71,61,1,0
2024-01-01,Calabria,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,2.36,290,6,0
2024-01-01,Calabria,Altre job board,AZ_IT_CAREERJET_CPC,1.06,120,3,0
2024-01-01,Calabria,Altre job board,AZ_IT_TALENT_COM_FEED,1.34,133,3,0
2024-01-01,Calabria,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,2.15,167,3,0
2024-01-01,Campania,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,9.00,1086,19,1
2024-01-01,Campania,Altre job board,AZ_IT_CAREERJET_CPC,5.00,527,11,1
2024-01-01,Campania,Altre job board,AZ_IT_TALENT_COM_FEED,2.64,266,7,0
2024-01-01,Campania,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,5.45,460,9,1
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,5.48,691,13,0
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_CAREERJET_CPC,4.38,487,12,0
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_TALENT_COM_FEED,4.44,443,10,0
2024-01-01,Emilia-Romagna,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,6.67,557,10,1
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,1.64,209,4,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_CAREERJET_CPC,0.90,98,3,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_TALENT_COM_FEED,1.03,102,3,0
2024-01-01,Friuli-Venezia Giulia,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,1.42,121,2,0
2024-01-01,Lazio,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,5.17,640,13,0
2024-01-01,Lazio,Altre job board,AZ_IT_CAREERJET_CPC,5.55,623,16,0
2024-01-01,Lazio,Altre job board,AZ_IT_TALENT_COM_FEED,3.84,380,9,0
2024-01-01,Lazio,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,6.25,518,9,0
2024-01-01,Liguria,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,1.44,179,4,0
2024-01-01,Liguria,Altre job board,AZ_IT_CAREERJET_CPC,1.45,161,4,0
2024-01-01,Liguria,Altre job board,AZ_IT_TALENT_COM_FEED,1.08,115,3,0
2024-01-01,Liguria,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,1.82,153,3,0
2024-01-01,Lombardia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,12.71,1618,34,0
2024-01-01,Lombardia,Altre job board,AZ_IT_CAREERJET_CPC,8.46,957,26,0
2024-01-01,Lombardia,Altre job board,AZ_IT_TALENT_COM_FEED,7.92,848,22,0
2024-01-01,Lombardia,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,10.18,858,15,1
2024-01-01,Marche,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,1.95,240,4,0
2024-01-01,Marche,Altre job board,AZ_IT_CAREERJET_CPC,1.50,174,5,0
2024-01-01,Marche,Altre job board,AZ_IT_TALENT_COM_FEED,1.05,106,3,0
2024-01-01,Marche,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,2.82,235,5,0
2024-01-01,Molise,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,0.44,54,1,0
2024-01-01,Molise,Altre job board,AZ_IT_CAREERJET_CPC,0.38,41,1,0
2024-01-01,Molise,Altre job board,AZ_IT_TALENT_COM_FEED,0.15,15,0,0
2024-01-01,Molise,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,0.29,24,0,0
2024-01-01,Piemonte,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,5.55,748,15,0
2024-01-01,Piemonte,Altre job board,AZ_IT_CAREERJET_CPC,4.28,477,14,0
2024-01-01,Piemonte,Altre job board,AZ_IT_TALENT_COM_FEED,2.45,243,6,0
2024-01-01,Piemonte,Altre job board,AZ_IT_TROVOLAVORO_SPONSORED,7.01,568,11,1
2024-01-01,Puglia,Altre job board,AZ_IT_BAKECA_LAVORO_ANNUNCI,5.31,650,13,0
2024-01-01,Puglia,Altre job board,AZ_IT_CAREERJET_CPC,3.50,364,9,0
2024-01-01,Puglia,Altre job board,AZ_IT_TALENT_COM_FEED,2.32,232,6,0
