settimana,regione,candidature
2024-01-01,Abruzzo,120
2024-01-01,Basilicata,63
2024-01-01,Calabria,178
2024-01-01,Campania,541
2024-01-01,Emilia-Romagna,331
2024-01-01,Friuli-Venezia Giulia,110
2024-01-01,Lazio,789
2024-01-01,Liguria,97
2024-01-01,Lombardia,925
2024-01-01,Marche,191
2024-01-01,Molise,24
2024-01-01,Piemonte,380
2024-01-01,Puglia,338
2024-01-01,Sardegna,183
2024-01-01,Sicilia,345
2024-01-01,Toscana,322
2024-01-01,Trentino-Alto Adige,114
2024-01-01,Umbria,79
2024-01-01,Valle d'Aosta,5
2024-01-01,Veneto,472
2024-01-08,Abruzzo,209
2024-01-08,Basilicata,63
2024-01-08,Calabria,171
2024-01-08,Campania,529
2024-01-08,Emilia-Romagna,397
2024-01-08,Friuli-Venezia Giulia,168
2024-01-08,Lazio,872
2024-01-08,Liguria,229
2024-01-08,Lombardia,1226
2024-01-08,Marche,249
2024-01-08,Molise,19
2024-01-08,Piemonte,531
2024-01-08,Puglia,407
2024-01-08,Sardegna,170
2024-01-08,Sicilia,474
2024-01-08,Toscana,339
2024-01-08,Trentino-Alto Adige,98
2024-01-08,Umbria,71
2024-01-08,Valle d'Aosta,9
2024-01-08,Veneto,555
2024-01-15,Abruzzo,166
2024-01-15,Basilicata,86
2024-01-15,Calabria,232
2024-01-15,Campania,832
2024-01-15,Emilia-Romagna,405
2024-01-15,Friuli-Venezia Giulia,139
2024-01-15,Lazio,1022
2024-01-15,Liguria,239
2024-01-15,Lombardia,1385
2024-01-15,Marche,241
2024-01-15,Molise,36
2024-01-15,Piemonte,543
2024-01-15,Puglia,436
2024-01-15,Sardegna,252
2024-01-15,Sicilia,450
2024-01-15,Toscana,421
2024-01-15,Trentino-Alto Adige,151
2024-01-15,Umbria,118
2024-01-15,Valle d'Aosta,21
2024-01-15,Veneto,644
2024-01-22,Abruzzo,152
2024-01-22,Basilicata,56
2024-01-22,Calabria,174
2024-01-22,Campania,700
2024-01-22,Emilia-Romagna,474
2024-01-22,Friuli-Venezia Giulia,129
2024-01-22,Lazio,995
2024-01-22,Liguria,188
2024-01-22,Lombardia,1172
2024-01-22,Marche,196
2024-01-22,Molise,37
2024-01-22,Piemonte,523
2024-01-22,Puglia,401
2024-01-22,Sardegna,192
2024-01-22,Sicilia,505
2024-01-22,Toscana,352
2024-01-22,Trentino-Alto Adige,119
2024-01-22,Umbria,90
2024-01-22,Valle d'Aosta,10
2024-01-22,Veneto,585
2024-01-29,Abruzzo,180
2024-01-29,Basilicata,94
2024-01-29,Calabria,251
2024-01-29,Campania,731
2024-01-29,Emilia-Romagna,495
2024-01-29,Friuli-Venezia Giulia,157
2024-01-29,Lazio,1048
2024-01-29,Liguria,196
2024-01-29,Lombardia,1271
2024-01-29,Marche,249
2024-01-29,Molise,39
2024-01-29,Piemonte,579
2024-01-29,Puglia,431
2024-01-29,Sardegna,243
2024-01-29,Sicilia,482
2024-01-29,Toscana,366
2024-01-29,Trentino-Alto Adige,124
2024-01-29,Umbria,67
2024-01-29,Valle d'Aosta,4
2024-01-29,Veneto,529
