settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_DISPLAY,20.69,3434,20,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,19.31,644,51,0
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,49.34,912,46,1
2024-01-01,Abruzzo,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,19.58,392,18,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_DISPLAY,8.62,1413,9,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,8.13,274,22,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,12.45,221,11,0
2024-01-01,Basilicata,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,12.03,247,11,0
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_DISPLAY,19.25,3125,21,0
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,30.28,996,78,1
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,75.33,1315,69,2
2024-01-01,Calabria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,24.23,511,20,1
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_DISPLAY,72.72,12113,66,1
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,83.03,2794,219,2
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,228.29,4024,216,6
2024-01-01,Campania,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,147.99,2963,130,5
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_DISPLAY,69.19,12020,70,1
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,55.52,1841,143,2
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,237.57,4356,225,7
2024-01-01,Emilia-Romagna,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,90.33,1851,84,3
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_DISPLAY,10.44,1670,9,0
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,22.94,728,58,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,41.29,749,40,1
2024-01-01,Friuli-Venezia Giulia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,13.89,286,12,0
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_DISPLAY,73.93,12303,83,1
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,64.91,2164,142,3
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,119.80,2039,99,5
2024-01-01,Lazio,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,120.04,2506,118,6
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_DISPLAY,19.92,3150,20,0
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,12.66,408,27,1
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,43.60,784,47,2
2024-01-01,Liguria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,24.73,538,26,2
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_DISPLAY,138.24,22756,117,2
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,92.69,2929,208,3
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,172.86,3253,149,6
2024-01-01,Lombardia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,121.57,2510,109,5
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_DISPLAY,24.25,4073,24,0
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,20.62,690,51,1
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,74.91,1344,65,2
2024-01-01,Marche,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,26.63,543,26,1
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_DISPLAY,3.05,484,3,0
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,3.19,108,8,0
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,10.04,182,10,0
2024-01-01,Molise,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,6.13,138,6,0
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_DISPLAY,54.58,8975,51,0
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,45.04,1525,117,1
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,188.33,3531,186,5
2024-01-01,Piemonte,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,92.97,1912,93,3
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_DISPLAY,52.17,8771,56,0
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,71.83,2435,197,1
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,131.37,2445,126,3
2024-01-01,Puglia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,89.43,1853,95,3
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_DISPLAY,19.29,3228,21,0
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,17.27,542,44,1
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,41.91,785,41,1
2024-01-01,Sardegna,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,21.40,441,18,1
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_DISPLAY,56.26,9472,58,1
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,51.62,1650,116,2
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,148.00,2467,105,5
2024-01-01,Sicilia,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,72.70,1502,71,4
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_DISPLAY,31.35,5073,29,0
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,49.58,1751,133,1
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,162.27,3104,172,4
2024-01-01,Toscana,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,63.22,1320,65,2
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_DISPLAY,11.59,1949,11,0
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,16.17,522,37,0
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,36.33,673,33,1
2024-01-01,Trentino-Alto Adige,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,13.83,296,12,0
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_DISPLAY,9.54,1561,9,0
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,14.54,494,37,0
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_GENERICA,25.57,499,27,1
2024-01-01,Umbria,Google Ads,AZ_IT_GOOGLE_SEARCH_LOCALE,14.26,301,13,1
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_DISPLAY,1.92,326,2,0
2024-01-01,Valle d'Aosta,Google Ads,AZ_IT_GOOGLE_SEARCH_BRAND,2.30,75,6,0
