settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_DISPLAY_RETE,13.32,2314,12,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,5.67,628,11,1
2024-01-01,Abruzzo,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,34.12,1612,63,3
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_DISPLAY_RETE,4.06,663,3,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,3.69,419,8,0
2024-01-01,Basilicata,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,14.34,653,25,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,8.36,1445,6,0
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,14.67,1500,25,1
2024-01-01,Calabria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,52.09,2377,103,4
2024-01-01,Campania,Indeed,AZ_IT_INDEED_DISPLAY_RETE,59.47,9985,46,2
2024-01-01,Campania,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,39.00,4263,78,3
2024-01-01,Campania,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,131.50,5671,238,9
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,28.66,4747,24,1
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,17.62,2090,38,1
2024-01-01,Emilia-Romagna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,109.50,4887,212,7
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,7.56,1240,7,0
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,7.86,913,18,1
2024-01-01,Friuli-Venezia Giulia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,35.98,1725,68,3
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_DISPLAY_RETE,55.88,9247,49,2
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,31.22,3314,62,2
2024-01-01,Lazio,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,204.63,8862,361,14
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,13.36,2217,12,0
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,10.10,1069,22,1
2024-01-01,Liguria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,49.51,2231,96,3
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,80.01,12780,71,4
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,92.56,9819,166,10
2024-01-01,Lombardia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,277.38,12508,484,30
2024-01-01,Marche,Indeed,AZ_IT_INDEED_DISPLAY_RETE,9.30,1541,7,1
2024-01-01,Marche,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,9.07,983,19,1
2024-01-01,Marche,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,39.93,1827,80,5
2024-01-01,Molise,Indeed,AZ_IT_INDEED_DISPLAY_RETE,2.10,350,2,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,1.60,177,3,0
2024-01-01,Molise,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,11.94,548,23,1
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_DISPLAY_RETE,32.08,5146,24,2
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,22.57,2574,48,3
2024-01-01,Piemonte,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,125.19,5590,250,14
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,24.86,4085,20,1
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,12.36,1417,24,1
2024-01-01,Puglia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,99.72,4644,203,8
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_DISPLAY_RETE,12.26,2018,10,1
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,10.01,1174,21,1
2024-01-01,Sardegna,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,43.27,1927,70,3
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_DISPLAY_RETE,23.68,3789,20,1
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,39.84,4611,87,2
2024-01-01,Sicilia,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,114.24,5275,208,5
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_DISPLAY_RETE,22.52,3889,17,1
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,21.87,2260,43,2
2024-01-01,Toscana,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,104.37,4516,155,8
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_DISPLAY_RETE,9.19,1533,7,1
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,7.02,769,13,1
2024-01-01,Trentino-Alto Adige,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,29.83,1323,47,4
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_DISPLAY_RETE,8.64,1367,8,0
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,4.59,489,8,0
2024-01-01,Umbria,Indeed,AZ_IT_INDEED_SPONSORED_JOBS,18.74,812,31,1
2024-01-01,Valle d'Aosta,Indeed,AZ_IT_INDEED_DISPLAY_RETE,1.19,202,1,0
2024-01-01,Valle d'Aosta,Indeed,AZ_IT_INDEED_RETARGETING_CANDIDATI,0.83,98,2,0
