settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,3.97,333,9,0
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_RETARGETING,0.70,86,2,0
2024-01-01,Abruzzo,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,0.98,68,2,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,1.43,116,4,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_RETARGETING,0.31,38,1,0
2024-01-01,Basilicata,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,0.97,74,2,0
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,5.37,463,15,1
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_RETARGETING,0.86,104,2,0
2024-01-01,Calabria,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,2.41,175,6,0
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,14.92,1235,37,1
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_RETARGETING,2.82,361,7,0
2024-01-01,Campania,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,5.58,409,12,0
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,8.33,652,20,1
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_RETARGETING,3.17,406,8,1
2024-01-01,Emilia-Romagna,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,6.13,439,15,0
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,3.83,316,9,0
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_RETARGETING,0.85,106,2,0
2024-01-01,Friuli-Venezia Giulia,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,1.96,138,4,0
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,11.13,945,31,1
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_RETARGETING,3.78,488,10,0
2024-01-01,Lazio,Jooble,AZ_IT_JOOBLE_SPONSORED_FEED,7.81,531,15,0
2024-01-01,Liguria,Jooble,AZ_IT_JOOBLE_CPC_ANNUNCI,2.74,223,7,0
2024-01-01,Liguria,Jooble,AZ_IT_JOOBLE_RETARGETING,0.90,116,2,0
