settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,9.53,273,2,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,19.06,696,4,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,7.12,401,1,0
2024-01-01,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,7.66,323,1,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,5.06,140,1,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,7.42,258,2,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,1.63,93,0,0
2024-01-01,Basilicata,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,2.11,82,0,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,11.89,329,3,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,18.91,665,4,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,4.79,274,1,0
2024-01-01,Calabria,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,8.47,360,1,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,26.36,779,7,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,48.31,1716,10,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,13.11,690,2,0
2024-01-01,Campania,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,37.40,1592,6,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,42.26,1260,10,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,64.77,2366,14,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,17.19,1001,3,0
2024-01-01,Emilia-Romagna,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,13.80,552,3,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,9.55,282,3,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,14.07,505,3,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,3.33,179,1,0
2024-01-01,Friuli-Venezia Giulia,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,4.46,182,1,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,51.58,1498,12,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,52.11,1882,13,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,17.92,1014,3,0
2024-01-01,Lazio,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,21.58,930,4,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,12.36,367,3,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,18.64,683,4,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,6.17,348,1,0
2024-01-01,Liguria,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,5.99,242,1,0
2024-01-01,Lombardia,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,102.93,2859,25,1
2024-01-01,Lombardia,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,142.03,5149,28,1
2024-01-01,Lombardia,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,36.12,2043,7,0
2024-01-01,Lombardia,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,46.71,2033,9,0
2024-01-01,Marche,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,11.27,312,2,0
2024-01-01,Marche,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,17.27,606,4,0
2024-01-01,Marche,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,6.23,344,1,0
2024-01-01,Marche,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,7.40,300,1,0
2024-01-01,Molise,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,1.79,50,0,0
2024-01-01,Molise,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,4.22,158,1,0
2024-01-01,Molise,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,1.15,66,0,0
2024-01-01,Molise,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,0.82,35,0,0
2024-01-01,Piemonte,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,28.79,842,8,0
2024-01-01,Piemonte,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,60.51,2038,12,0
2024-01-01,Piemonte,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,15.72,874,3,0
2024-01-01,Piemonte,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,19.26,780,4,0
2024-01-01,Puglia,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,37.66,1134,8,0
2024-01-01,Puglia,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,46.46,1704,9,0
2024-01-01,Puglia,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,17.66,1022,3,0
2024-01-01,Puglia,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,10.72,458,2,0
2024-01-01,Sardegna,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,18.58,530,5,0
2024-01-01,Sardegna,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,19.45,704,4,0
2024-01-01,Sardegna,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,3.89,209,1,0
2024-01-01,Sardegna,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,8.48,356,1,0
2024-01-01,Sicilia,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,37.10,1062,9,0
2024-01-01,Sicilia,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,70.01,2594,16,0
2024-01-01,Sicilia,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,12.56,735,3,0
2024-01-01,Sicilia,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,25.70,1079,4,0
2024-01-01,Toscana,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,39.98,1198,11,0
2024-01-01,Toscana,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,37.84,1342,8,0
2024-01-01,Toscana,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,13.15,692,2,0
2024-01-01,Toscana,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,22.70,916,4,0
2024-01-01,Trentino-Alto Adige,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,8.24,239,2,0
2024-01-01,Trentino-Alto Adige,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,10.16,357,2,0
2024-01-01,Trentino-Alto Adige,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,4.61,269,1,0
2024-01-01,Trentino-Alto Adige,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,5.98,249,1,0
2024-01-01,Umbria,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,5.53,163,2,0
2024-01-01,Umbria,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,17.82,615,4,0
2024-01-01,Umbria,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,2.52,138,0,0
2024-01-01,Umbria,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,5.69,232,1,0
2024-01-01,Valle d'Aosta,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,1.75,51,0,0
2024-01-01,Valle d'Aosta,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,2.21,76,0,0
2024-01-01,Valle d'Aosta,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,0.37,21,0,0
2024-01-01,Valle d'Aosta,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,0.55,22,0,0
2024-01-01,Veneto,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,46.68,1322,10,0
2024-01-01,Veneto,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,41.16,1463,8,0
2024-01-01,Veneto,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,18.34,1006,3,0
2024-01-01,Veneto,LinkedIn Ads,AZ_IT_LINKEDIN_VIDEO_EMPLOYER,15.92,689,3,0
2024-01-08,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_LEAD_GEN_FORMS,19.87,616,6,0
2024-01-08,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_SPONSORED_CONTENT,30.73,1070,6,0
2024-01-08,Abruzzo,LinkedIn Ads,AZ_IT_LINKEDIN_TEXT_ADS,12.76,690,2,0
