settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,7.51,1029,13,0
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,18.16,1967,24,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_PROSPECTING_DABA,21.66,2772,43,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_RETARGETING_SITO,10.16,1155,25,1
2024-01-01,Abruzzo,Meta Ads,AZ_IT_META_VIDEO_REELS,9.09,1787,17,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,3.94,571,7,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,6.62,754,10,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_PROSPECTING_DABA,8.97,1205,17,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_RETARGETING_SITO,3.58,416,10,0
2024-01-01,Basilicata,Meta Ads,AZ_IT_META_VIDEO_REELS,3.11,660,6,0
2024-01-01,Calabria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,9.71,1363,15,0
2024-01-01,Calabria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,24.86,2838,32,1
2024-01-01,Calabria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,26.39,3498,46,1
2024-01-01,Calabria,Meta Ads,AZ_IT_META_RETARGETING_SITO,9.39,1073,23,1
2024-01-01,Calabria,Meta Ads,AZ_IT_META_VIDEO_REELS,11.57,2396,23,1
2024-01-01,Campania,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,29.39,4180,53,2
2024-01-01,Campania,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,114.49,12620,156,8
2024-01-01,Campania,Meta Ads,AZ_IT_META_PROSPECTING_DABA,60.96,8052,130,3
2024-01-01,Campania,Meta Ads,AZ_IT_META_RETARGETING_SITO,38.29,4759,91,5
2024-01-01,Campania,Meta Ads,AZ_IT_META_VIDEO_REELS,39.40,7809,77,2
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,21.52,3228,46,1
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,74.79,8163,98,3
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_PROSPECTING_DABA,50.67,7007,96,2
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_RETARGETING_SITO,33.22,3996,91,2
2024-01-01,Emilia-Romagna,Meta Ads,AZ_IT_META_VIDEO_REELS,25.90,5285,50,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,8.04,1153,15,0
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,19.25,2140,28,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,20.58,2839,38,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_RETARGETING_SITO,7.55,879,20,1
2024-01-01,Friuli-Venezia Giulia,Meta Ads,AZ_IT_META_VIDEO_REELS,5.86,1180,9,0
2024-01-01,Lazio,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,21.68,3073,39,1
2024-01-01,Lazio,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,75.30,8356,96,3
2024-01-01,Lazio,Meta Ads,AZ_IT_META_PROSPECTING_DABA,68.48,8878,121,2
2024-01-01,Lazio,Meta Ads,AZ_IT_META_RETARGETING_SITO,37.40,4588,98,3
2024-01-01,Lazio,Meta Ads,AZ_IT_META_VIDEO_REELS,44.72,9412,84,2
2024-01-01,Liguria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,11.20,1578,21,0
2024-01-01,Liguria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,15.09,1708,23,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,23.56,3183,43,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_RETARGETING_SITO,14.66,1674,42,1
2024-01-01,Liguria,Meta Ads,AZ_IT_META_VIDEO_REELS,7.30,1453,12,0
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,80.00,11644,139,2
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,165.30,17077,210,5
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,149.48,18996,290,3
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_RETARGETING_SITO,83.25,9697,205,5
2024-01-01,Lombardia,Meta Ads,AZ_IT_META_VIDEO_REELS,48.68,9801,92,1
2024-01-01,Marche,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,6.28,874,12,0
2024-01-01,Marche,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,18.38,1997,24,1
2024-01-01,Marche,Meta Ads,AZ_IT_META_PROSPECTING_DABA,14.33,1820,22,0
2024-01-01,Marche,Meta Ads,AZ_IT_META_RETARGETING_SITO,7.28,879,21,1
2024-01-01,Marche,Meta Ads,AZ_IT_META_VIDEO_REELS,10.96,2139,19,0
2024-01-01,Molise,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,1.42,203,2,0
2024-01-01,Molise,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,5.59,603,7,0
2024-01-01,Molise,Meta Ads,AZ_IT_META_PROSPECTING_DABA,5.00,649,9,0
2024-01-01,Molise,Meta Ads,AZ_IT_META_RETARGETING_SITO,2.31,263,5,0
2024-01-01,Molise,Meta Ads,AZ_IT_META_VIDEO_REELS,1.40,280,3,0
2024-01-01,Piemonte,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,23.32,3325,42,1
2024-01-01,Piemonte,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,66.17,6797,82,4
2024-01-01,Piemonte,Meta Ads,AZ_IT_META_PROSPECTING_DABA,52.67,7011,98,2
2024-01-01,Piemonte,Meta Ads,AZ_IT_META_RETARGETING_SITO,35.21,4228,95,3
2024-01-01,Piemonte,Meta Ads,AZ_IT_META_VIDEO_REELS,19.10,3505,31,1
2024-01-01,Puglia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,23.86,3335,42,1
2024-01-01,Puglia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,74.55,8160,94,3
2024-01-01,Puglia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,38.01,4969,67,1
2024-01-01,Puglia,Meta Ads,AZ_IT_META_RETARGETING_SITO,23.70,2813,58,2
2024-01-01,Puglia,Meta Ads,AZ_IT_META_VIDEO_REELS,37.49,7556,68,1
2024-01-01,Sardegna,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,9.21,1262,16,0
2024-01-01,Sardegna,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,26.19,2779,35,1
2024-01-01,Sardegna,Meta Ads,AZ_IT_META_PROSPECTING_DABA,20.94,2830,39,1
2024-01-01,Sardegna,Meta Ads,AZ_IT_META_RETARGETING_SITO,13.53,1619,35,1
2024-01-01,Sardegna,Meta Ads,AZ_IT_META_VIDEO_REELS,10.05,2070,18,0
2024-01-01,Sicilia,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,19.81,2839,37,1
2024-01-01,Sicilia,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,58.12,6383,77,5
2024-01-01,Sicilia,Meta Ads,AZ_IT_META_PROSPECTING_DABA,83.50,11128,153,5
2024-01-01,Sicilia,Meta Ads,AZ_IT_META_RETARGETING_SITO,23.30,2888,67,3
2024-01-01,Sicilia,Meta Ads,AZ_IT_META_VIDEO_REELS,36.39,7647,72,2
2024-01-01,Toscana,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,31.86,4510,58,1
2024-01-01,Toscana,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,68.76,7529,103,3
2024-01-01,Toscana,Meta Ads,AZ_IT_META_PROSPECTING_DABA,50.20,6917,97,1
2024-01-01,Toscana,Meta Ads,AZ_IT_META_RETARGETING_SITO,21.43,2555,54,1
2024-01-01,Toscana,Meta Ads,AZ_IT_META_VIDEO_REELS,26.19,5313,45,1
2024-01-01,Trentino-Alto Adige,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,5.18,746,10,0
2024-01-01,Trentino-Alto Adige,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,15.68,1766,21,1
2024-01-01,Trentino-Alto Adige,Meta Ads,AZ_IT_META_PROSPECTING_DABA,10.39,1408,19,0
2024-01-01,Trentino-Alto Adige,Meta Ads,AZ_IT_META_RETARGETING_SITO,7.15,845,18,1
2024-01-01,Trentino-Alto Adige,Meta Ads,AZ_IT_META_VIDEO_REELS,7.51,1486,12,0
2024-01-01,Umbria,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,4.50,602,8,0
2024-01-01,Umbria,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,9.52,1050,12,0
2024-01-01,Umbria,Meta Ads,AZ_IT_META_PROSPECTING_DABA,11.14,1439,20,0
2024-01-01,Umbria,Meta Ads,AZ_IT_META_RETARGETING_SITO,6.04,679,15,0
2024-01-01,Umbria,Meta Ads,AZ_IT_META_VIDEO_REELS,5.49,1071,9,0
2024-01-01,Valle d'Aosta,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,0.39,54,1,0
2024-01-01,Valle d'Aosta,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,1.96,207,2,0
2024-01-01,Valle d'Aosta,Meta Ads,AZ_IT_META_PROSPECTING_DABA,1.81,248,3,0
2024-01-01,Valle d'Aosta,Meta Ads,AZ_IT_META_RETARGETING_SITO,0.58,69,2,0
2024-01-01,Valle d'Aosta,Meta Ads,AZ_IT_META_VIDEO_REELS,0.68,134,1,0
2024-01-01,Veneto,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,25.47,3738,41,1
2024-01-01,Veneto,Meta Ads,AZ_IT_META_LEAD_GEN_FORMS,59.30,6658,90,3
2024-01-01,Veneto,Meta Ads,AZ_IT_META_PROSPECTING_DABA,84.60,10988,177,4
2024-01-01,Veneto,Meta Ads,AZ_IT_META_RETARGETING_SITO,23.63,2740,61,2
2024-01-01,Veneto,Meta Ads,AZ_IT_META_VIDEO_REELS,50.78,9668,93,2
2024-01-08,Abruzzo,Meta Ads,AZ_IT_META_ADVANTAGE_PLUS,7.56,1028,13,0
