settimana,regione,canale,campagna,spesa,impressioni,clic,conversioni_piattaforma
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.73,243,3,0
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,8.44,811,10,0
2024-01-01,Abruzzo,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,3.90,297,6,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,0.95,133,2,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,2.83,255,3,0
2024-01-01,Basilicata,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,1.37,109,2,0
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.88,428,6,0
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,9.83,939,14,1
2024-01-01,Calabria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,4.44,329,6,0
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,5.02,738,10,0
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,23.02,2031,31,1
2024-01-01,Campania,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,15.95,1218,21,1
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,9.74,1349,17,1
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,14.73,1404,21,1
2024-01-01,Emilia-Romagna,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,9.99,761,13,1
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.08,165,2,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,4.77,458,6,0
2024-01-01,Friuli-Venezia Giulia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,3.04,232,5,0
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.23,602,8,0
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,14.28,1378,21,1
2024-01-01,Lazio,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,12.73,960,17,1
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.64,230,3,0
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,6.78,645,10,0
2024-01-01,Liguria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,2.92,225,4,0
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,10.96,1539,20,1
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,55.81,5139,73,3
2024-01-01,Lombardia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,21.79,1713,30,1
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.86,254,3,0
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,6.63,606,9,1
2024-01-01,Marche,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,3.94,302,4,0
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,0.36,50,1,0
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,0.98,90,1,0
2024-01-01,Molise,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,0.50,39,1,0
2024-01-01,Piemonte,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.93,743,9,0
2024-01-01,Piemonte,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,19.02,1682,23,1
2024-01-01,Piemonte,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,12.19,966,19,1
2024-01-01,Puglia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.09,603,8,0
2024-01-01,Puglia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,15.82,1436,20,1
2024-01-01,Puglia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,9.84,748,15,0
2024-01-01,Sardegna,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,2.44,350,4,0
2024-01-01,Sardegna,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,5.88,553,7,0
2024-01-01,Sardegna,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,4.80,350,6,0
2024-01-01,Sicilia,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,4.75,703,8,0
2024-01-01,Sicilia,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,35.11,3371,46,2
2024-01-01,Sicilia,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,15.43,1171,19,1
2024-01-01,Toscana,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,6.85,969,12,1
2024-01-01,Toscana,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,11.69,1057,16,1
2024-01-01,Toscana,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,10.93,809,13,1
2024-01-01,Trentino-Alto Adige,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,1.35,196,2,0
2024-01-01,Trentino-Alto Adige,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,6.50,588,7,0
2024-01-01,Trentino-Alto Adige,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,2.77,219,4,0
2024-01-01,Umbria,Subito Lavoro,AZ_IT_SUBITO_RETARGETING,0.99,144,2,0
2024-01-01,Umbria,Subito Lavoro,AZ_IT_SUBITO_SLOT_PREMIUM,3.39,324,4,0
2024-01-01,Umbria,Subito Lavoro,AZ_IT_SUBITO_SPONSORED_ANNUNCI,1.05,80,1,0
