settimana,regione,canale,candidature_incrementali_vere
2024-01-01,Abruzzo,Google Ads,1.478
2024-01-01,Basilicata,Google Ads,0.783
2024-01-01,Calabria,Google Ads,2.493
2024-01-01,Campania,Google Ads,11.71
2024-01-01,Emilia-Romagna,Google Ads,11.096
2024-01-01,Friuli-Venezia Giulia,Google Ads,1.865
2024-01-01,Lazio,Google Ads,12.877
2024-01-01,Liguria,Google Ads,3.933
2024-01-01,Lombardia,Google Ads,13.523
2024-01-01,Marche,Google Ads,3.611
2024-01-01,Molise,Google Ads,0.554
2024-01-01,Piemonte,Google Ads,7.914
2024-01-01,Puglia,Google Ads,6.242
2024-01-01,Sardegna,Google Ads,2.68
2024-01-01,Sicilia,Google Ads,10.081
2024-01-01,Toscana,Google Ads,6.369
2024-01-01,Trentino-Alto Adige,Google Ads,1.353
2024-01-01,Umbria,Google Ads,1.642
2024-01-01,Valle d'Aosta,Google Ads,0.283
2024-01-01,Veneto,Google Ads,7.563
2024-01-08,Abruzzo,Google Ads,3.351
2024-01-08,Basilicata,Google Ads,2.178
2024-01-08,Calabria,Google Ads,8.937
2024-01-08,Campania,Google Ads,23.89
2024-01-08,Emilia-Romagna,Google Ads,22.497
2024-01-08,Friuli-Venezia Giulia,Google Ads,7.087
2024-01-08,Lazio,Google Ads,41.09
2024-01-08,Liguria,Google Ads,10.025
2024-01-08,Lombardia,Google Ads,35.993
2024-01-08,Marche,Google Ads,7.954
2024-01-08,Molise,Google Ads,2.31
2024-01-08,Piemonte,Google Ads,28.002
2024-01-08,Puglia,Google Ads,17.363
2024-01-08,Sardegna,Google Ads,8.733
2024-01-08,Sicilia,Google Ads,37.86
2024-01-08,Toscana,Google Ads,22.038
2024-01-08,Trentino-Alto Adige,Google Ads,3.81
2024-01-08,Umbria,Google Ads,4.376
2024-01-08,Valle d'Aosta,Google Ads,0.631
2024-01-08,Veneto,Google Ads,18.391
2024-01-15,Abruzzo,Google Ads,5.27
2024-01-15,Basilicata,Google Ads,3.431
2024-01-15,Calabria,Google Ads,15.325
2024-01-15,Campania,Google Ads,54.661
2024-01-15,Emilia-Romagna,Google Ads,45.228
2024-01-15,Friuli-Venezia Giulia,Google Ads,14.679
2024-01-15,Lazio,Google Ads,87.03
2024-01-15,Liguria,Google Ads,25.012
2024-01-15,Lombardia,Google Ads,73.765
2024-01-15,Marche,Google Ads,14.069
2024-01-15,Molise,Google Ads,2.872
2024-01-15,Piemonte,Google Ads,44.487
2024-01-15,Puglia,Google Ads,27.568
2024-01-15,Sardegna,Google Ads,17.448
2024-01-15,Sicilia,Google Ads,66.948
2024-01-15,Toscana,Google Ads,34.613
2024-01-15,Trentino-Alto Adige,Google Ads,6.663
2024-01-15,Umbria,Google Ads,7.795
2024-01-15,Valle d'Aosta,Google Ads,1.245
2024-01-15,Veneto,Google Ads,34.768
2024-01-22,Abruzzo,Google Ads,2.027
2024-01-22,Basilicata,Google Ads,1.285
2024-01-22,Calabria,Google Ads,4.876
2024-01-22,Campania,Google Ads,22.888
2024-01-22,Emilia-Romagna,Google Ads,14.672
2024-01-22,Friuli-Venezia Giulia,Google Ads,4.701
2024-01-22,Lazio,Google Ads,28.975
2024-01-22,Liguria,Google Ads,8.425
2024-01-22,Lombardia,Google Ads,25.752
2024-01-22,Marche,Google Ads,5.436
2024-01-22,Molise,Google Ads,1.221
2024-01-22,Piemonte,Google Ads,16.239
2024-01-22,Puglia,Google Ads,10.987
2024-01-22,Sardegna,Google Ads,6.037
2024-01-22,Sicilia,Google Ads,20.131
2024-01-22,Toscana,Google Ads,13.41
2024-01-22,Trentino-Alto Adige,Google Ads,2.669
2024-01-22,Umbria,Google Ads,3.405
2024-01-22,Valle d'Aosta,Google Ads,0.432
2024-01-22,Veneto,Google Ads,16.879
2024-01-29,Abruzzo,Google Ads,2.181
2024-01-29,Basilicata,Google Ads,1.275
2024-01-29,Calabria,Google Ads,4.373
2024-01-29,Campania,Google Ads,27.233
2024-01-29,Emilia-Romagna,Google Ads,19.664
